"","tp","AOO","occupancy_area","occupancy_Ncells","relative_occupancy_area","relative_occupancy_Ncells","occupancy_area_scaled","occupancy_Ncells_scaled","relative_occupancy_area_scaled","relative_occupancy_Ncells_scaled","AOO_scaled"
"68",1,0.676,0.676,-1.102,0.669,0.57,0.358,0.371,0.352,0.338,0.358
"69",1,1.874,1.874,0,1.79,1.773,1,1,0.944,1,1
"70",1,0.73,0.73,-1.036,0.724,0.636,0.387,0.409,0.381,0.374,0.387
"71",1,0.068,0.068,-1.717,0.052,0.024,0.032,0.02,0.027,0.038,0.032
"72",1,0.112,0.112,-1.605,0.105,0.066,0.056,0.084,0.055,0.061,0.056
"73",1,0.187,0.187,-1.54,0.171,0.129,0.096,0.121,0.09,0.095,0.096
"74",1,0.025,0.025,-1.72,0.004,-0.02,0.009,0.018,0.002,0.013,0.009
"75",1,1.801,1.801,0,1.799,1.64,0.961,1,0.949,0.927,0.961
"76",1,1.161,1.161,-0.612,1.165,1.059,0.618,0.651,0.614,0.607,0.618
"77",1,0.132,0.132,-1.613,0.129,0.103,0.066,0.08,0.068,0.081,0.066
"78",1,0.077,0.077,-1.7,0.061,0.04,0.037,0.03,0.031,0.047,0.037
"79",1,0.945,0.945,-0.833,0.938,0.838,0.502,0.525,0.494,0.486,0.502
"80",1,0.323,0.323,-1.414,0.312,0.256,0.169,0.193,0.164,0.165,0.169
"81",1,0.109,0.109,-1.66,0.102,0.063,0.054,0.053,0.053,0.059,0.054
"82",1,0.371,0.371,-1.398,0.364,0.325,0.194,0.202,0.191,0.204,0.194
"83",1,0.038,0.038,-1.733,0.014,-0.011,0.016,0.011,0.007,0.019,0.016
"84",1,1.836,1.836,0,1.755,1.773,0.98,1,0.925,1,0.98
"85",1,0.154,0.154,-1.569,0.144,0.101,0.078,0.105,0.075,0.08,0.078
"86",1,0.016,0.016,-1.738,0.011,-0.013,0.004,0.008,0.005,0.018,0.004
"87",1,0.873,0.873,-0.864,0.871,0.801,0.463,0.507,0.459,0.465,0.463
"88",1,0.026,0.026,-1.718,0.004,-0.021,0.01,0.02,0.001,0.013,0.01
"89",1,0.397,0.397,-1.332,0.39,0.34,0.209,0.24,0.205,0.211,0.209
"90",1,0.13,0.13,-1.59,0.12,0.08,0.066,0.092,0.063,0.068,0.066
"91",1,0.747,0.747,-1.042,0.748,0.619,0.396,0.406,0.394,0.365,0.396
"92",1,0.052,0.052,-1.695,0.032,0.007,0.024,0.033,0.016,0.029,0.024
"93",1,0.874,0.874,-0.876,0.873,0.781,0.464,0.5,0.46,0.454,0.464
"94",1,1.493,1.493,-0.311,1.474,1.326,0.796,0.823,0.777,0.754,0.796
"95",1,0.008,0.008,-1.74,0.007,-0.017,0,0.007,0.003,0.015,0
"96",1,1.062,1.062,-0.688,1.061,0.976,0.565,0.607,0.559,0.562,0.565
"97",1,0.135,0.135,-1.594,0.12,0.075,0.068,0.091,0.063,0.066,0.068
"98",1,0.024,0.024,-1.721,0.003,-0.021,0.009,0.018,0.001,0.013,0.009
"99",1,1.117,1.117,-0.614,1.115,1.048,0.595,0.649,0.588,0.601,0.595
"100",1,1.11,1.11,-0.656,1.105,1.016,0.591,0.626,0.582,0.583,0.591
"101",1,0.36,0.36,-1.381,0.353,0.29,0.189,0.212,0.186,0.184,0.189
