"","x"
"236","Corvus corone"
"237","Corvus frugilegus"
"238","Corvus macrorhynchos"
"239","Corvus monedula"
"240","Corvus ossifragus"
"241","Coturnix coturnix"
"242","Crex crex"
"243","Cuculus canorus"
"244","Cuculus micropterus"
"245","Cuculus optatus"
"246","Cuculus poliocephalus"
"247","Cuculus saturatus"
"248","Cyanecula svecica"
"249","Cyanistes caeruleus"
"250","Cyanistes cyanus"
"251","Cyanistes teneriffae"
"252","Cyanocitta cristata"
"253","Cyanopica cooki"
"254","Cyanopica cyanus"
"255","Cyanoptila cyanomelana"
"256","Cygnus columbianus"
"257","Cygnus cygnus"
"258","Cygnus olor"
"259","Delichon dasypus"
"260","Delichon urbica"
"261","Delichon urbicum"
"262","Dendrocopos kizuki"
"263","Dendrocopos leucotos"
"264","Dendrocopos major"
"265","Dendrocopos medius"
"266","Dendrocopos minor"
"267","Dendrocopos syriacus"
"268","Dendroica caerulescens"
"269","Dendroica castanea"
"270","Dendroica cerulea"
"271","Dendroica coronata"
"272","Dendroica discolor"
"273","Dendroica dominica"
"274","Dendroica fusca"
"275","Dendroica magnolia"
"276","Dendroica palmarum"
"277","Dendroica pensylvanica"
"278","Dendroica petechia"
"279","Dendroica pinus"
"280","Dendroica striata"
"281","Dendroica tigrina"
"282","Dendroica virens"
"283","Dolichonyx oryzivorus"
"284","Dryobates minor"
"285","Dryocopus martius"
"286","Dryocopus pileatus"
"287","Dumetella carolinensis"
"288","Egretta caerulea"
"289","Egretta garzetta"
"290","Egretta intermedia"
"291","Egretta sacra"
"292","Egretta thula"
"293","Egretta tricolor"
"294","Elanus caeruleus"
"295","Emberiza aureola"
"296","Emberiza bruniceps"
"297","Emberiza caesia"
"298","Emberiza calandra"
"299","Emberiza cia"
"300","Emberiza cineracea"
"301","Emberiza cioides"
"302","Emberiza cirlus"
"303","Emberiza citrinella"
"304","Emberiza fucata"
"305","Emberiza hortulana"
"306","Emberiza melanocephala"
"307","Emberiza pallasi"
"308","Emberiza pusilla"
"309","Emberiza rustica"
"310","Emberiza schoeniclus"
"311","Emberiza spodocephala"
"312","Emberiza sulphurata"
"313","Emberiza variabilis"
"314","Emberiza yessoensis"
"315","Empidonax alnorum"
"316","Empidonax flaviventris"
"317","Empidonax minimus"
