"","sp_atlas_adapted","verbatim_name","sp_names_atlas_adapted_keep","sp_BirdTree","sp_BirdLife","sp_eBird","sp_group_eBird"
"15","Acridotheres cristatellus","Acridotheres cristatellus","Acridotheres cristatellus","Acridotheres cristatellus","Acridotheres cristatellus","Acridotheres cristatellus","Acridotheres cristatellus"
"16","Acrocephalus agricola","Acrocephalus agricola","Acrocephalus agricola","Acrocephalus agricola","Acrocephalus agricola","Acrocephalus agricola","Acrocephalus agricola"
"17","Acrocephalus arundinaceus","Acrocephalus arundinaceus","Acrocephalus arundinaceus","Acrocephalus arundinaceus","Acrocephalus arundinaceus","Acrocephalus arundinaceus","Acrocephalus arundinaceus"
"18","Acrocephalus arundinaceus","Acrocephalus arundinaceus","Acrocephalus arundinaceus","Acrocephalus arundinaceus","Acrocephalus orientalis","Acrocephalus arundinaceus","Acrocephalus arundinaceus"
"19","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps"
"20","Acrocephalus dumetorum","Acrocephalus dumetorum","Acrocephalus dumetorum","Acrocephalus dumetorum","Acrocephalus dumetorum","Acrocephalus dumetorum","Acrocephalus dumetorum"
"21","Acrocephalus melanopogon","Acrocephalus melanopogon","Acrocephalus melanopogon","Acrocephalus melanopogon","Acrocephalus melanopogon","Acrocephalus melanopogon","Acrocephalus melanopogon"
"22","Acrocephalus orientalis","Acrocephalus orientalis","Acrocephalus orientalis","Acrocephalus arundinaceus",NA,"Acrocephalus orientalis","Acrocephalus orientalis"
"23","Acrocephalus paludicola","Acrocephalus paludicola","Acrocephalus paludicola","Acrocephalus paludicola","Acrocephalus paludicola","Acrocephalus paludicola","Acrocephalus paludicola"
"24","Acrocephalus palustris","Acrocephalus palustris","Acrocephalus palustris","Acrocephalus palustris","Acrocephalus palustris","Acrocephalus palustris","Acrocephalus palustris"
"25","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus"
"26","Acrocephalus scirpaceus","Acrocephalus scirpaceus","Acrocephalus scirpaceus","Acrocephalus baeticatus","Acrocephalus scirpaceus","Acrocephalus baeticatus","Acrocephalus baeticatus"
"27","Acrocephalus scirpaceus","Acrocephalus scirpaceus","Acrocephalus scirpaceus","Acrocephalus scirpaceus","Acrocephalus scirpaceus","Acrocephalus scirpaceus","Acrocephalus scirpaceus"
"28","Actitis hypoleucos","Actitis hypoleucos","Actitis hypoleucos","Actitis hypoleucos","Actitis hypoleucos","Actitis hypoleucos","Actitis hypoleucos"
"29","Actitis macularius","Actitis macularius","Actitis macularius","Actitis macularius","Actitis macularius","Actitis macularius","Actitis macularius"
"30","Aegithalos caudatus","Aegithalos caudatus","Aegithalos caudatus","Aegithalos caudatus","Aegithalos glaucogularis","Aegithalos caudatus","Aegithalos caudatus"
"31","Aegithalos caudatus","Aegithalos caudatus","Aegithalos caudatus","Aegithalos caudatus","Aegithalos caudatus","Aegithalos caudatus","Aegithalos caudatus"
"32","Aegolius acadicus","Aegolius acadicus","Aegolius acadicus","Aegolius acadicus","Aegolius acadicus","Aegolius acadicus","Aegolius acadicus"
"33","Aegolius funereus","Aegolius funereus","Aegolius funereus","Aegolius funereus","Aegolius funereus","Aegolius funereus","Aegolius funereus"
"34","Aegypius monachus","Aegypius monachus","Aegypius monachus","Aegypius monachus","Aegypius monachus","Aegypius monachus","Aegypius monachus"
"35","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus"
"36","Agropsar philippensis","Agropsar philippensis","Agropsar philippensis","Sturnus philippensis",NA,"Agropsar philippensis","Agropsar philippensis"
"37","Aix galericulata","Aix galericulata","Aix galericulata","Aix galericulata","Aix galericulata","Aix galericulata","Aix galericulata"
"38","Aix sponsa","Aix sponsa","Aix sponsa","Aix sponsa","Aix sponsa","Aix sponsa","Aix sponsa"
"39","Alauda arvensis","Alauda arvensis","Alauda arvensis","Alauda arvensis","Alauda arvensis","Alauda arvensis","Alauda arvensis"
"40","Alauda arvensis","Alauda arvensis","Alauda arvensis","Alauda japonica","Alauda arvensis","Alauda arvensis","Alauda arvensis"
"41","Alauda leucoptera","Alauda leucoptera","Alauda leucoptera","Melanocorypha leucoptera",NA,"Alauda leucoptera","Alauda leucoptera"
"42","Alaudala rufescens","Alaudala rufescens","Alaudala rufescens","Calandrella cheleensis",NA,"Alaudala cheleensis","Alaudala cheleensis"
"43","Alaudala rufescens","Alaudala rufescens","Alaudala rufescens","Calandrella rufescens",NA,"Alaudala rufescens","Alaudala rufescens"
"44","Alca torda","Alca torda","Alca torda","Alca torda","Alca torda","Alca torda","Alca torda"
"45","Alcedo atthis","Alcedo atthis","Alcedo atthis","Alcedo atthis","Alcedo atthis","Alcedo atthis","Alcedo atthis"
"46","Alectoris barbara","Alectoris barbara","Alectoris barbara","Alectoris barbara","Alectoris barbara","Alectoris barbara","Alectoris barbara"
"47","Alectoris chukar","Alectoris chukar","Alectoris chukar","Alectoris chukar","Alectoris chukar","Alectoris chukar","Alectoris chukar"
"48","Alectoris graeca","Alectoris graeca","Alectoris graeca","Alectoris graeca","Alectoris graeca","Alectoris graeca","Alectoris graeca"
"49","Alectoris rufa","Alectoris rufa","Alectoris rufa","Alectoris rufa","Alectoris rufa","Alectoris rufa","Alectoris rufa"
"50","Alle alle","Alle alle","Alle alle","Alle alle","Alle alle","Alle alle","Alle alle"
"51","Alopochen aegyptiaca","Alopochen aegyptiaca","Alopochen aegyptiaca","Alopochen aegyptiaca","Alopochen aegyptiaca","Alopochen aegyptiaca","Alopochen aegyptiaca"
"52","Amandava amandava","Amandava amandava","Amandava amandava","Amandava amandava","Amandava amandava","Amandava amandava","Amandava amandava"
"53","Amaurornis phoenicurus","Amaurornis phoenicurus","Amaurornis phoenicurus","Amaurornis phoenicurus","Amaurornis phoenicurus","Amaurornis phoenicurus","Amaurornis phoenicurus"
"54","Ammodramus caudacutus","Ammodramus caudacutus","Ammodramus caudacutus",NA,"Ammospiza caudacuta","Ammospiza caudacuta","Ammospiza caudacuta"
"55","Ammodramus henslowii","Ammodramus henslowii","Ammodramus henslowii",NA,"Passerculus henslowii","Centronyx henslowii","Centronyx henslowii"
"56","Ammodramus maritimus","Ammodramus maritimus","Ammodramus maritimus",NA,"Ammospiza maritima","Ammospiza maritima","Ammospiza maritima"
"57","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum"
"58","Anas acuta","Anas acuta","Anas acuta","Anas acuta","Anas acuta","Anas acuta","Anas acuta"
"59","Anas americana","Anas americana","Anas americana",NA,"Mareca americana","Mareca americana","Mareca americana"
"60","Anas clypeata","Anas clypeata","Anas clypeata",NA,"Spatula clypeata","Spatula clypeata","Spatula clypeata"
"61","Anas crecca","Anas crecca","Anas crecca","Anas crecca",NA,"Anas crecca","Anas crecca"
"62","Anas crecca","Anas crecca","Anas crecca","Anas crecca","Anas carolinensis","Anas crecca","Anas crecca"
"63","Anas crecca","Anas crecca","Anas crecca","Anas crecca","Anas crecca","Anas crecca","Anas crecca"
"64","Anas discors","Anas discors","Anas discors",NA,"Spatula discors","Spatula discors","Spatula discors"
"65","Anas falcata","Anas falcata","Anas falcata",NA,"Mareca falcata","Mareca falcata","Mareca falcata"
"66","Anas platyrhynchos","Anas platyrhynchos","Anas platyrhynchos","Anas platyrhynchos","Anas platyrhynchos","Anas platyrhynchos","Anas platyrhynchos"
"67","Anas querquedula","Anas querquedula","Anas querquedula",NA,"Spatula querquedula","Spatula querquedula","Spatula querquedula"
"68","Anas rubripes","Anas rubripes","Anas rubripes","Anas rubripes","Anas rubripes","Anas rubripes","Anas rubripes"
"69","Anas strepera","Anas strepera","Anas strepera",NA,"Mareca strepera","Mareca strepera","Mareca strepera"
"70","Anas zonorhyncha","Anas zonorhyncha","Anas zonorhyncha","Anas poecilorhyncha",NA,"Anas zonorhyncha","Anas zonorhyncha"
"71","Anous stolidus","Anous stolidus","Anous stolidus","Anous stolidus","Anous stolidus","Anous stolidus","Anous stolidus"
"72","Anser albifrons","Anser albifrons","Anser albifrons","Anser albifrons","Anser albifrons","Anser albifrons","Anser albifrons"
"73","Anser anser","Anser anser","Anser anser","Anser anser","Anser anser","Anser anser","Anser anser"
"74","Anser brachyrhynchus","Anser brachyrhynchus","Anser brachyrhynchus","Anser brachyrhynchus","Anser brachyrhynchus","Anser brachyrhynchus","Anser brachyrhynchus"
"75","Anser erythropus","Anser erythropus","Anser erythropus","Anser erythropus","Anser erythropus","Anser erythropus","Anser erythropus"
"76","Anser fabalis","Anser fabalis","Anser fabalis","Anser fabalis","Anser fabalis","Anser fabalis","Anser fabalis/serrirostris"
"77","Anser fabalis","Anser fabalis","Anser fabalis","Anser fabalis","Anser fabalis",NA,"Anser fabalis/serrirostris"
"78","Anthropoides virgo","Anthropoides virgo","Anthropoides virgo","Grus virgo",NA,"Anthropoides virgo","Anthropoides virgo"
"79","Anthus berthelotii","Anthus berthelotii","Anthus berthelotii","Anthus berthelotii","Anthus berthelotii","Anthus berthelotii","Anthus berthelotii"
"80","Anthus campestris","Anthus campestris","Anthus campestris","Anthus campestris","Anthus campestris","Anthus campestris","Anthus campestris"
"81","Anthus cervinus","Anthus cervinus","Anthus cervinus","Anthus cervinus","Anthus cervinus","Anthus cervinus","Anthus cervinus"
"82","Anthus hodgsoni","Anthus hodgsoni","Anthus hodgsoni","Anthus hodgsoni","Anthus hodgsoni","Anthus hodgsoni","Anthus hodgsoni"
"83","Anthus petrosus","Anthus petrosus","Anthus petrosus","Anthus petrosus","Anthus petrosus","Anthus petrosus","Anthus petrosus"
"84","Anthus pratensis","Anthus pratensis","Anthus pratensis","Anthus pratensis","Anthus pratensis","Anthus pratensis","Anthus pratensis"
"85","Anthus spinoletta","Anthus spinoletta","Anthus spinoletta","Anthus spinoletta","Anthus spinoletta","Anthus spinoletta","Anthus spinoletta"
"86","Anthus trivialis","Anthus trivialis","Anthus trivialis","Anthus trivialis","Anthus trivialis","Anthus trivialis","Anthus trivialis"
"87","Apalopteron familiare","Apalopteron familiare","Apalopteron familiare","Apalopteron familiare","Apalopteron familiare","Apalopteron familiare","Apalopteron familiare"
"88","Apus apus","Apus apus","Apus apus","Apus apus","Apus apus","Apus apus","Apus apus"
"89","Apus caffer","Apus caffer","Apus caffer","Apus caffer","Apus caffer","Apus caffer","Apus caffer"
"90","Apus nipalensis","Apus nipalensis","Apus nipalensis","Apus nipalensis","Apus nipalensis","Apus nipalensis","Apus nipalensis"
"91","Apus pacificus","Apus pacificus","Apus pacificus","Apus pacificus","Apus pacificus","Apus pacificus","Apus pacificus"
"92","Apus pallidus","Apus pallidus","Apus pallidus","Apus pallidus","Apus pallidus","Apus pallidus","Apus pallidus"
"93","Apus unicolor","Apus unicolor","Apus unicolor","Apus unicolor","Apus unicolor","Apus unicolor","Apus unicolor"
"94","Aquila adalberti","Aquila adalberti","Aquila adalberti","Aquila adalberti","Aquila adalberti","Aquila adalberti","Aquila adalberti"
"95","Aquila chrysaetos","Aquila chrysaetos","Aquila chrysaetos","Aquila chrysaetos","Aquila chrysaetos","Aquila chrysaetos","Aquila chrysaetos"
"96","Aquila fasciata","Aquila fasciata","Aquila fasciata","Aquila fasciatus",NA,"Aquila fasciata","Aquila fasciata"
"97","Aquila heliaca","Aquila heliaca","Aquila heliaca","Aquila heliaca","Aquila heliaca","Aquila heliaca","Aquila heliaca"
"98","Aquila nipalensis","Aquila nipalensis","Aquila nipalensis","Aquila nipalensis","Aquila nipalensis","Aquila nipalensis","Aquila nipalensis"
"99","Aquila pomarina","Aquila pomarina","Aquila pomarina",NA,"Clanga pomarina","Clanga pomarina","Clanga pomarina"
"100","Archilochus colubris","Archilochus colubris","Archilochus colubris","Archilochus colubris","Archilochus colubris","Archilochus colubris","Archilochus colubris"
"101","Ardea alba","Ardea alba","Ardea alba","Casmerodius albus",NA,"Ardea alba","Ardea alba"
"102","Ardea cinerea","Ardea cinerea","Ardea cinerea","Ardea cinerea","Ardea cinerea","Ardea cinerea","Ardea cinerea"
"103","Ardea herodias","Ardea herodias","Ardea herodias","Ardea herodias",NA,"Ardea herodias","Ardea herodias"
"104","Ardea herodias","Ardea herodias","Ardea herodias","Ardea herodias","Ardea occidentalis","Ardea herodias","Ardea herodias"
"105","Ardea herodias","Ardea herodias","Ardea herodias","Ardea herodias","Ardea herodias","Ardea herodias","Ardea herodias"
"106","Ardea intermedia","Egretta intermedia","Ardea intermedia","Mesophoyx intermedia",NA,"Ardea intermedia","Ardea intermedia intermedia"
"107","Ardea purpurea","Ardea purpurea","Ardea purpurea","Ardea purpurea","Ardea purpurea","Ardea purpurea","Ardea purpurea"
"108","Ardeola ralloides","Ardeola ralloides","Ardeola ralloides","Ardeola ralloides","Ardeola ralloides","Ardeola ralloides","Ardeola ralloides"
"109","Arenaria interpres","Arenaria interpres","Arenaria interpres","Arenaria interpres","Arenaria interpres","Arenaria interpres","Arenaria interpres"
"110","Asio flammeus","Asio flammeus","Asio flammeus","Asio flammeus","Asio flammeus","Asio flammeus","Asio flammeus"
"111","Asio otus","Asio otus","Asio otus","Asio otus","Asio otus","Asio otus","Asio otus"
"112","Athene noctua","Athene noctua","Athene noctua","Athene noctua","Athene noctua","Athene noctua","Athene noctua"
"113","Aythya affinis","Aythya affinis","Aythya affinis","Aythya affinis","Aythya affinis","Aythya affinis","Aythya affinis"
"114","Aythya americana","Aythya americana","Aythya americana","Aythya americana","Aythya americana","Aythya americana","Aythya americana"
"115","Aythya collaris","Aythya collaris","Aythya collaris","Aythya collaris","Aythya collaris","Aythya collaris","Aythya collaris"
"116","Aythya ferina","Aythya ferina","Aythya ferina","Aythya ferina","Aythya ferina","Aythya ferina","Aythya ferina"
"117","Aythya fuligula","Aythya fuligula","Aythya fuligula","Aythya fuligula","Aythya fuligula","Aythya fuligula","Aythya fuligula"
"118","Aythya marila","Aythya marila","Aythya marila","Aythya marila","Aythya marila","Aythya marila","Aythya marila"
"119","Aythya nyroca","Aythya nyroca","Aythya nyroca","Aythya nyroca","Aythya nyroca","Aythya nyroca","Aythya nyroca"
"120","Aythya valisineria","Aythya valisineria","Aythya valisineria","Aythya valisineria","Aythya valisineria","Aythya valisineria","Aythya valisineria"
"121","Baeolophus bicolor","Baeolophus bicolor","Baeolophus bicolor","Baeolophus bicolor","Baeolophus bicolor","Baeolophus bicolor","Baeolophus bicolor"
"122","Bambusicola thoracicus","Bambusicola thoracicus","Bambusicola thoracicus","Bambusicola thoracicus","Bambusicola thoracicus","Bambusicola thoracicus","Bambusicola thoracicus"
"123","Bambusicola thoracicus","Bambusicola thoracicus","Bambusicola thoracicus","Bambusicola thoracicus","Bambusicola sonorivox","Bambusicola thoracicus","Bambusicola thoracicus"
"124","Bartramia longicauda","Bartramia longicauda","Bartramia longicauda","Bartramia longicauda","Bartramia longicauda","Bartramia longicauda","Bartramia longicauda"
"125","Bombycilla cedrorum","Bombycilla cedrorum","Bombycilla cedrorum","Bombycilla cedrorum","Bombycilla cedrorum","Bombycilla cedrorum","Bombycilla cedrorum"
"126","Bombycilla garrulus","Bombycilla garrulus","Bombycilla garrulus","Bombycilla garrulus","Bombycilla garrulus","Bombycilla garrulus","Bombycilla garrulus"
"127","Bonasa bonasia","Bonasa bonasia","Bonasa bonasia","Bonasa bonasia","Bonasa bonasia","Tetrastes bonasia","Tetrastes bonasia"
"128","Bonasa umbellus","Bonasa umbellus","Bonasa umbellus","Bonasa umbellus","Bonasa umbellus","Bonasa umbellus","Bonasa umbellus"
"129","Botaurus lentiginosus","Botaurus lentiginosus","Botaurus lentiginosus","Botaurus lentiginosus","Botaurus lentiginosus","Botaurus lentiginosus","Botaurus lentiginosus"
"130","Botaurus stellaris","Botaurus stellaris","Botaurus stellaris","Botaurus stellaris","Botaurus stellaris","Botaurus stellaris","Botaurus stellaris"
"131","Branta bernicla","Branta bernicla","Branta bernicla","Branta bernicla","Branta bernicla","Branta bernicla","Branta bernicla"
"132","Branta canadensis","Branta canadensis","Branta canadensis","Branta canadensis","Branta canadensis","Branta canadensis","Branta canadensis"
"133","Branta leucopsis","Branta leucopsis","Branta leucopsis","Branta leucopsis","Branta leucopsis","Branta leucopsis","Branta leucopsis"
"134","Bubo bubo","Bubo bubo","Bubo bubo","Bubo bubo","Bubo bubo","Bubo bubo","Bubo bubo"
"135","Bubo scandiacus","Bubo scandiacus","Bubo scandiacus","Bubo scandiaca",NA,"Bubo scandiacus","Bubo scandiacus"
"136","Bubo virginianus","Bubo virginianus","Bubo virginianus","Bubo virginianus","Bubo virginianus","Bubo virginianus","Bubo virginianus [virginianus Group]"
"137","Bubo virginianus","Bubo virginianus","Bubo virginianus","Bubo virginianus",NA,"Bubo virginianus","Bubo virginianus [virginianus Group]"
"138","Bubulcus ibis","Bubulcus ibis","Bubulcus ibis","Bubulcus ibis","Bubulcus ibis","Bubulcus ibis","Bubulcus ibis"
"139","Bucanetes githagineus","Bucanetes githagineus","Bucanetes githagineus","Bucanetes githagineus","Bucanetes githagineus","Bucanetes githagineus","Bucanetes githagineus"
"140","Bucanetes mongolicus","Bucanetes mongolicus","Bucanetes mongolicus","Eremopsaltria mongolicus",NA,"Bucanetes mongolicus","Bucanetes mongolicus"
"141","Bucephala clangula","Bucephala clangula","Bucephala clangula","Bucephala clangula","Bucephala clangula","Bucephala clangula","Bucephala clangula"
"142","Bucephala islandica","Bucephala islandica","Bucephala islandica","Bucephala islandica","Bucephala islandica","Bucephala islandica","Bucephala islandica"
"143","Bulweria bulwerii","Bulweria bulwerii","Bulweria bulwerii","Bulweria bulwerii","Bulweria bulwerii","Bulweria bulwerii","Bulweria bulwerii"
"144","Burhinus oedicnemus","Burhinus oedicnemus","Burhinus oedicnemus","Burhinus oedicnemus","Burhinus oedicnemus","Burhinus oedicnemus","Burhinus oedicnemus"
"145","Burhinus oedicnemus","Burhinus oedicnemus","Burhinus oedicnemus","Burhinus oedicnemus","Burhinus indicus","Burhinus oedicnemus","Burhinus oedicnemus"
"146","Butastur indicus","Butastur indicus","Butastur indicus","Butastur indicus","Butastur indicus","Butastur indicus","Butastur indicus"
"147","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo","Buteo japonicus","Buteo japonicus","Buteo sp."
"148","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo",NA,"Buteo sp."
"149","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo","Buteo socotraensis","Buteo socotraensis","Buteo sp."
"150","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo","Buteo sp."
"151","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo","Buteo refectus","Buteo refectus","Buteo sp."
"152","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo","Buteo japonicus","Buteo buteo","Buteo buteo"
"153","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo"
"154","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo","Buteo socotraensis","Buteo buteo","Buteo buteo"
"155","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo","Buteo refectus","Buteo buteo","Buteo buteo"
"156","Buteo jamaicensis","Buteo jamaicensis","Buteo jamaicensis","Buteo jamaicensis","Buteo jamaicensis","Buteo jamaicensis","Buteo jamaicensis"
"157","Buteo lagopus","Buteo lagopus","Buteo lagopus","Buteo lagopus","Buteo lagopus","Buteo lagopus","Buteo lagopus"
"158","Buteo lineatus","Buteo lineatus","Buteo lineatus","Buteo lineatus","Buteo lineatus","Buteo lineatus","Buteo lineatus"
"159","Buteo platypterus","Buteo platypterus","Buteo platypterus","Buteo platypterus","Buteo platypterus","Buteo platypterus","Buteo platypterus"
"160","Buteo rufinus","Buteo rufinus","Buteo rufinus","Buteo rufinus","Buteo rufinus","Buteo rufinus","Buteo rufinus"
"161","Butorides striata","Butorides striata","Butorides striata","Butorides virescens","Butorides striata","Butorides virescens","Butorides virescens/striata"
"162","Butorides striata","Butorides striata","Butorides striata","Butorides striata","Butorides striata","Butorides striata","Butorides virescens/striata"
"163","Butorides virescens","Butorides virescens","Butorides virescens",NA,"Butorides striata","Butorides virescens","Butorides virescens/striata"
"164","Calandrella brachydactyla","Calandrella brachydactyla","Calandrella brachydactyla","Calandrella brachydactyla","Calandrella brachydactyla","Calandrella brachydactyla","Calandrella brachydactyla"
"165","Calandrella brachydactyla","Calandrella brachydactyla","Calandrella brachydactyla","Calandrella brachydactyla","Calandrella dukhunensis","Calandrella brachydactyla","Calandrella brachydactyla"
"166","Calcarius lapponicus","Calcarius lapponicus","Calcarius lapponicus","Calcarius lapponicus","Calcarius lapponicus","Calcarius lapponicus","Calcarius lapponicus"
"167","Calidris alba","Calidris alba","Calidris alba","Calidris alba","Calidris alba","Calidris alba","Calidris alba"
"168","Calidris alpina","Calidris alpina","Calidris alpina","Calidris alpina","Calidris alpina","Calidris alpina","Calidris alpina"
"169","Calidris canutus","Calidris canutus","Calidris canutus","Calidris canutus","Calidris canutus","Calidris canutus","Calidris canutus"
"170","Calidris falcinellus","Calidris falcinellus","Calidris falcinellus","Limicola falcinellus",NA,"Calidris falcinellus","Calidris falcinellus"
"171","Calidris maritima","Calidris maritima","Calidris maritima","Calidris maritima","Calidris maritima","Calidris maritima","Calidris maritima"
"172","Calidris melanotos","Calidris melanotos","Calidris melanotos","Calidris melanotos","Calidris melanotos","Calidris melanotos","Calidris melanotos"
"173","Calidris minuta","Calidris minuta","Calidris minuta","Calidris minuta","Calidris minuta","Calidris minuta","Calidris minuta"
"174","Calidris pugnax","Calidris pugnax","Calidris pugnax","Philomachus pugnax",NA,"Calidris pugnax","Calidris pugnax"
"175","Calidris temminckii","Calidris temminckii","Calidris temminckii","Calidris temminckii","Calidris temminckii","Calidris temminckii","Calidris temminckii"
"176","Calliope calliope","Calliope calliope","Calliope calliope","Luscinia calliope",NA,"Calliope calliope","Calliope calliope"
"177","Callipepla californica","Callipepla californica","Callipepla californica","Callipepla californica","Callipepla californica","Callipepla californica","Callipepla californica"
"178","Calonectris borealis","Calonectris borealis","Calonectris borealis","Calonectris diomedea",NA,"Calonectris diomedea","Calonectris diomedea borealis"
"179","Calonectris diomedea","Calonectris diomedea","Calonectris diomedea","Calonectris diomedea","Calonectris borealis","Calonectris diomedea","Calonectris diomedea diomedea"
"180","Calonectris diomedea","Calonectris diomedea","Calonectris diomedea","Calonectris diomedea","Calonectris diomedea","Calonectris diomedea","Calonectris diomedea diomedea"
"181","Calonectris diomedea","Calonectris diomedea","Calonectris diomedea","Calonectris diomedea",NA,"Calonectris diomedea","Calonectris diomedea diomedea"
"182","Calonectris leucomelas","Calonectris leucomelas","Calonectris leucomelas","Calonectris leucomelas","Calonectris leucomelas","Calonectris leucomelas","Calonectris leucomelas"
"183","Caprimulgus carolinensis","Caprimulgus carolinensis","Caprimulgus carolinensis",NA,"Antrostomus carolinensis","Antrostomus carolinensis","Antrostomus carolinensis"
"184","Caprimulgus europaeus","Caprimulgus europaeus","Caprimulgus europaeus","Caprimulgus europaeus","Caprimulgus europaeus","Caprimulgus europaeus","Caprimulgus europaeus"
"185","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus phalaena","Caprimulgus indicus","Caprimulgus indicus"
"186","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus jotaka","Caprimulgus indicus","Caprimulgus indicus"
"187","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus indicus"
"188","Caprimulgus ruficollis","Caprimulgus ruficollis","Caprimulgus ruficollis","Caprimulgus ruficollis","Caprimulgus ruficollis","Caprimulgus ruficollis","Caprimulgus ruficollis"
"189","Caprimulgus vociferus","Caprimulgus vociferus","Caprimulgus vociferus",NA,"Antrostomus arizonae","Antrostomus arizonae","Antrostomus arizonae"
"190","Caprimulgus vociferus","Caprimulgus vociferus","Caprimulgus vociferus",NA,"Antrostomus vociferus","Antrostomus vociferus","Antrostomus vociferus"
"191","Cardinalis cardinalis","Cardinalis cardinalis","Cardinalis cardinalis","Cardinalis cardinalis","Cardinalis cardinalis","Cardinalis cardinalis","Cardinalis cardinalis"
"192","Carduelis cannabina","Carduelis cannabina","Carduelis cannabina",NA,"Linaria cannabina","Linaria cannabina","Linaria cannabina"
"193","Carduelis carduelis","Carduelis carduelis","Carduelis carduelis","Carduelis carduelis","Carduelis caniceps","Carduelis carduelis","Carduelis carduelis [carduelis Group]"
"194","Carduelis carduelis","Carduelis carduelis","Carduelis carduelis","Carduelis carduelis","Carduelis carduelis","Carduelis carduelis","Carduelis carduelis [carduelis Group]"
"195","Carduelis chloris","Carduelis chloris","Carduelis chloris",NA,"Chloris chloris","Chloris chloris","Chloris chloris"
"196","Carduelis citrinella","Carduelis citrinella","Carduelis citrinella","Carduelis citrinella","Carduelis citrinella","Carduelis citrinella","Carduelis citrinella"
"197","Carduelis corsicana","Carduelis corsicana","Carduelis corsicana","Carduelis corsicana","Carduelis corsicana","Carduelis corsicana","Carduelis corsicana"
"198","Carduelis flammea","Carduelis flammea","Carduelis flammea",NA,"Acanthis flammea","Acanthis cabaret","Acanthis hornemanni/flammea/cabaret"
"199","Carduelis flammea","Carduelis flammea","Carduelis flammea",NA,"Acanthis flammea","Acanthis flammea","Acanthis hornemanni/flammea/cabaret"
"200","Carduelis flammea","Carduelis flammea","Carduelis flammea",NA,"Acanthis flammea",NA,"Acanthis hornemanni/flammea/cabaret"
"201","Carduelis spinus","Carduelis spinus","Carduelis spinus",NA,"Spinus spinus","Spinus spinus","Spinus spinus"
"202","Carpodacus erythrinus","Carpodacus erythrinus","Carpodacus erythrinus","Carpodacus erythrinus","Carpodacus erythrinus","Carpodacus erythrinus","Carpodacus erythrinus"
"203","Carpodacus mexicanus","Carpodacus mexicanus","Carpodacus mexicanus",NA,"Haemorhous mexicanus","Haemorhous mexicanus","Haemorhous mexicanus"
"204","Carpodacus purpureus","Carpodacus purpureus","Carpodacus purpureus",NA,"Haemorhous purpureus","Haemorhous purpureus","Haemorhous purpureus"
"205","Carpodacus rubicilla","Carpodacus rubicilla","Carpodacus rubicilla","Carpodacus rubicilla","Carpodacus rubicilla","Carpodacus rubicilla","Carpodacus rubicilla"
"206","Catharacta skua","Catharacta skua","Catharacta skua","Catharacta skua","Catharacta skua","Stercorarius skua","Stercorarius skua"
"207","Cathartes aura","Cathartes aura","Cathartes aura","Cathartes aura","Cathartes aura","Cathartes aura","Cathartes aura"
"208","Catharus bicknelli","Catharus bicknelli","Catharus bicknelli","Catharus bicknelli","Catharus bicknelli","Catharus bicknelli","Catharus bicknelli"
"209","Catharus fuscescens","Catharus fuscescens","Catharus fuscescens","Catharus fuscescens","Catharus fuscescens","Catharus fuscescens","Catharus fuscescens"
"210","Catharus guttatus","Catharus guttatus","Catharus guttatus","Catharus guttatus","Catharus guttatus","Catharus guttatus","Catharus guttatus"
"211","Catharus ustulatus","Catharus ustulatus","Catharus ustulatus","Catharus ustulatus","Catharus ustulatus","Catharus ustulatus","Catharus ustulatus [ustulatus Group]"
"212","Catharus ustulatus","Catharus ustulatus","Catharus ustulatus","Catharus ustulatus",NA,"Catharus ustulatus","Catharus ustulatus [ustulatus Group]"
