"","dataset","tp","cell_grouping","scale","verbatim_name","Total_area","Total_area_samp","Total_Ncells_atlas","Total_Ncells_samp","occupancy_area","occupancy_Ncells","AOO","relative_occupancy_area","relative_occupancy_Ncells","mean_area","total_SR_atlas_AOOcalc","grain"
"1","Birds_Atlas_Czechia",1,"1",0.015625,"Accipiter gentilis",90569.1442272689,83907.5085275841,678,628,77122.3816667135,577,77122.3816667135,0.919135641375407,0.918789808917197,133.660973425847,200,"10"
"2","Birds_Atlas_Czechia",2,"1",0.015625,"Accipiter gentilis",90569.1442272689,83907.5085275841,678,628,75240.7810005811,563,75240.7810005811,0.896710941856248,0.896496815286624,133.642595027675,200,"10"
"3","Birds_Atlas_Czechia",1,"1",0.015625,"Accipiter nisus",90569.1442272689,83907.5085275841,678,628,76442.6679247639,572,76442.6679247639,0.911034891467833,0.910828025477707,133.641027840496,200,"10"
"4","Birds_Atlas_Czechia",2,"1",0.015625,"Accipiter nisus",90569.1442272689,83907.5085275841,678,628,80030.1356172906,599,80030.1356172906,0.953789917275177,0.953821656050955,133.606236422856,200,"10"
"5","Birds_Atlas_Czechia",2,"1",0.015625,"Acrocephalus arundinaceus",90569.1442272689,83907.5085275841,678,628,33714.376461846,252,33714.376461846,0.401804046544448,0.401273885350318,133.787208181929,200,"10"
"6","Birds_Atlas_Czechia",1,"1",0.015625,"Acrocephalus palustris",90569.1442272689,83907.5085275841,678,628,72444.8406020999,542,72444.8406020999,0.863389246962137,0.863057324840764,133.66206753155,200,"10"
"7","Birds_Atlas_Czechia",2,"1",0.015625,"Acrocephalus palustris",90569.1442272689,83907.5085275841,678,628,76978.284214406,576,76978.284214406,0.917418304574017,0.917197452229299,133.642854538899,200,"10"
"8","Birds_Atlas_Czechia",1,"1",0.015625,"Acrocephalus scirpaceus",90569.1442272689,83907.5085275841,678,628,57987.2558985154,434,57987.2558985154,0.691085421508522,0.691082802547771,133.611188706257,200,"10"
"9","Birds_Atlas_Czechia",2,"1",0.015625,"Acrocephalus scirpaceus",90569.1442272689,83907.5085275841,678,628,60431.5166784961,452,60431.5166784961,0.720215839308702,0.719745222929936,133.698045748885,200,"10"
"10","Birds_Atlas_Czechia",1,"1",0.015625,"Aegithalos caudatus",90569.1442272689,83907.5085275841,678,628,76161.0406773723,570,76161.0406773723,0.907678490445642,0.907643312101911,133.615860837495,200,"10"
"11","Birds_Atlas_Czechia",2,"1",0.015625,"Aegithalos caudatus",90569.1442272689,83907.5085275841,678,628,78982.4800359817,591,78982.4800359817,0.941304079002855,0.941082802547771,133.642098199631,200,"10"
"12","Birds_Atlas_Czechia",2,"1",0.015625,"Aegolius funereus",90569.1442272689,83907.5085275841,678,628,31263.2648347628,234,31263.2648347628,0.372591981139389,0.372611464968153,133.603695875055,200,"10"
"13","Birds_Atlas_Czechia",1,"1",0.015625,"Alauda arvensis",90569.1442272689,83907.5085275841,678,628,83776.3804420608,627,83776.3804420608,0.998437230614705,0.998407643312102,133.614641853367,200,"10"
"14","Birds_Atlas_Czechia",2,"1",0.015625,"Alauda arvensis",90569.1442272689,83907.5085275841,678,628,83503.2123271748,625,83503.2123271748,0.995181644557157,0.995222929936306,133.60513972348,200,"10"
"15","Birds_Atlas_Czechia",1,"1",0.015625,"Alcedo atthis",90569.1442272689,83907.5085275841,678,628,53216.1430257142,398,53216.1430257142,0.63422384908759,0.633757961783439,133.708902074659,200,"10"
"16","Birds_Atlas_Czechia",2,"1",0.015625,"Alcedo atthis",90569.1442272689,83907.5085275841,678,628,67512.6180352925,505,67512.6180352925,0.804607587807212,0.804140127388535,133.688352545134,200,"10"
"17","Birds_Atlas_Czechia",1,"1",0.015625,"Anas platyrhynchos",90569.1442272689,83907.5085275841,678,628,79503.3055729725,595,79503.3055729725,0.947511217626445,0.947452229299363,133.619000962979,200,"10"
"18","Birds_Atlas_Czechia",2,"1",0.015625,"Anas platyrhynchos",90569.1442272689,83907.5085275841,678,628,81366.5584600616,609,81366.5584600616,0.969717250433111,0.969745222929936,133.606828341645,200,"10"
"19","Birds_Atlas_Czechia",1,"1",0.015625,"Anthus pratensis",90569.1442272689,83907.5085275841,678,628,43145.8752662181,323,43145.8752662181,0.514207560483507,0.514331210191083,133.578561195722,200,"10"
"20","Birds_Atlas_Czechia",2,"1",0.015625,"Anthus pratensis",90569.1442272689,83907.5085275841,678,628,44747.1354482215,335,44747.1354482215,0.533291194476489,0.53343949044586,133.573538651407,200,"10"
"21","Birds_Atlas_Czechia",1,"1",0.015625,"Anthus trivialis",90569.1442272689,83907.5085275841,678,628,81375.0125339691,609,81375.0125339691,0.969818005109967,0.969745222929936,133.620710236402,200,"10"
"22","Birds_Atlas_Czechia",2,"1",0.015625,"Anthus trivialis",90569.1442272689,83907.5085275841,678,628,80718.4689576899,604,80718.4689576899,0.961993394561991,0.961783439490446,133.639849267698,200,"10"
"23","Birds_Atlas_Czechia",1,"1",0.015625,"Apus apus",90569.1442272689,83907.5085275841,678,628,80692.9590531526,604,80692.9590531526,0.961689370464686,0.961783439490446,133.597614326412,200,"10"
"24","Birds_Atlas_Czechia",2,"1",0.015625,"Apus apus",90569.1442272689,83907.5085275841,678,628,81890.3108749582,613,81890.3108749582,0.97595927124969,0.976114649681529,133.589414151645,200,"10"
"25","Birds_Atlas_Czechia",1,"1",0.015625,"Ardea cinerea",90569.1442272689,83907.5085275841,678,628,33597.7524642663,251,33597.7524642663,0.400414135204851,0.39968152866242,133.855587507037,200,"10"
"26","Birds_Atlas_Czechia",2,"1",0.015625,"Ardea cinerea",90569.1442272689,83907.5085275841,678,628,53230.4850427246,398,53230.4850427246,0.634394775590618,0.633757961783439,133.744937293278,200,"10"
"27","Birds_Atlas_Czechia",1,"1",0.015625,"Asio otus",90569.1442272689,83907.5085275841,678,628,66550.1953967013,498,66550.1953967013,0.793137545906553,0.792993630573248,133.634930515464,200,"10"
"28","Birds_Atlas_Czechia",2,"1",0.015625,"Asio otus",90569.1442272689,83907.5085275841,678,628,65790.0085688291,492,65790.0085688291,0.784077727051102,0.78343949044586,133.719529611441,200,"10"
"29","Birds_Atlas_Czechia",2,"1",0.015625,"Athene noctua",90569.1442272689,83907.5085275841,678,628,22440.2678603893,168,22440.2678603893,0.267440521762272,0.267515923566879,133.573022978508,200,"10"
"30","Birds_Atlas_Czechia",1,"1",0.015625,"Aythya ferina",90569.1442272689,83907.5085275841,678,628,51874.6040612137,388,51874.6040612137,0.618235542581511,0.617834394904459,133.697433147458,200,"10"
"31","Birds_Atlas_Czechia",1,"1",0.015625,"Aythya fuligula",90569.1442272689,83907.5085275841,678,628,58944.919931912,441,58944.919931912,0.702498750901824,0.702229299363057,133.661949958984,200,"10"
"32","Birds_Atlas_Czechia",2,"1",0.015625,"Aythya fuligula",90569.1442272689,83907.5085275841,678,628,60017.199706213,449,60017.199706213,0.715278057463507,0.714968152866242,133.668596227646,200,"10"
"33","Birds_Atlas_Czechia",2,"1",0.015625,"Bubo bubo",90569.1442272689,83907.5085275841,678,628,53027.5747587652,397,53027.5747587652,0.631976514251197,0.632165605095541,133.570717276487,200,"10"
"34","Birds_Atlas_Czechia",1,"1",0.015625,"Buteo buteo",90569.1442272689,83907.5085275841,678,628,83775.5539576502,627,83775.5539576502,0.998427380668912,0.998407643312102,133.613323696412,200,"10"
"35","Birds_Atlas_Czechia",2,"1",0.015625,"Buteo buteo",90569.1442272689,83907.5085275841,678,628,83637.6186350999,626,83637.6186350999,0.996783483418585,0.996815286624204,133.606419544888,200,"10"
"36","Birds_Atlas_Czechia",1,"1",0.015625,"Carduelis cannabina",90569.1442272689,83907.5085275841,678,628,77264.4168536936,578,77264.4168536936,0.920828400336704,0.920382165605096,133.675461684591,200,"10"
"37","Birds_Atlas_Czechia",2,"1",0.015625,"Carduelis cannabina",90569.1442272689,83907.5085275841,678,628,80453.7317989868,602,80453.7317989868,0.958838287666927,0.95859872611465,133.644072755792,200,"10"
"38","Birds_Atlas_Czechia",1,"1",0.015625,"Carduelis carduelis",90569.1442272689,83907.5085275841,678,628,82574.9219459483,618,82574.9219459483,0.984118386959401,0.984076433121019,133.616378553314,200,"10"
"39","Birds_Atlas_Czechia",2,"1",0.015625,"Carduelis carduelis",90569.1442272689,83907.5085275841,678,628,83242.5956917449,623,83242.5956917449,0.992075645582771,0.99203821656051,133.615723421741,200,"10"
"40","Birds_Atlas_Czechia",1,"1",0.015625,"Carduelis chloris",90569.1442272689,83907.5085275841,678,628,83773.6403648837,627,83773.6403648837,0.998404574691234,0.998407643312102,133.610271714328,200,"10"
"41","Birds_Atlas_Czechia",2,"1",0.015625,"Carduelis chloris",90569.1442272689,83907.5085275841,678,628,83907.5085275841,628,83907.5085275841,1,1,133.610682368764,200,"10"
"42","Birds_Atlas_Czechia",1,"1",0.015625,"Carduelis spinus",90569.1442272689,83907.5085275841,678,628,61436.4825205458,460,61436.4825205458,0.732192906196815,0.732484076433121,133.557570696839,200,"10"
"43","Birds_Atlas_Czechia",2,"1",0.015625,"Carduelis spinus",90569.1442272689,83907.5085275841,678,628,63157.9309055104,473,63157.9309055104,0.752708929317662,0.753184713375796,133.526280984166,200,"10"
"44","Birds_Atlas_Czechia",2,"1",0.015625,"Carpodacus erythrinus",90569.1442272689,83907.5085275841,678,628,16552.3306808308,124,16552.3306808308,0.197268766184248,0.197452229299363,133.486537748636,200,"10"
"45","Birds_Atlas_Czechia",1,"1",0.015625,"Certhia brachydactyla",90569.1442272689,83907.5085275841,678,628,54380.5037897241,407,54380.5037897241,0.648100566254412,0.648089171974522,133.613031424384,200,"10"
