"","x"
"211","Butorides virescens"
"212","Cardinalis cardinalis"
"213","Carpodacus mexicanus"
"214","Carpodacus purpureus"
"215","Cathartes aura"
"216","Catharus fuscescens"
"217","Certhia americana"
"218","Chaetura pelagica"
"219","Charadrius vociferus"
"220","Coccyzus americanus"
"221","Colaptes auratus"
"222","Contopus virens"
"223","Corvus brachyrhynchos"
"224","Cyanocitta cristata"
"225","Dendroica caerulescens"
"226","Dendroica coronata"
"227","Dendroica fusca"
"228","Dendroica magnolia"
"229","Dendroica pensylvanica"
"230","Dendroica petechia"
"231","Dendroica virens"
"232","Dolichonyx oryzivorus"
"233","Dryocopus pileatus"
"234","Dumetella carolinensis"
"235","Empidonax alnorum"
"236","Empidonax minimus"
"237","Empidonax traillii"
"238","Empidonax virescens"
"239","Falco sparverius"
"240","Geothlypis trichas"
"241","Hylocichla mustelina"
"242","Icterus galbula"
"243","Junco hyemalis"
"244","Megaceryle alcyon"
"245","Megascops asio"
"246","Melanerpes carolinus"
"247","Meleagris gallopavo"
"248","Melospiza georgiana"
"249","Melospiza melodia"
"250","Mimus polyglottos"
"251","Molothrus ater"
"252","Myiarchus crinitus"
"253","Oporornis philadelphia"
"254","Passerculus sandwichensis"
"255","Passerina cyanea"
"256","Pheucticus ludovicianus"
"257","Picoides pubescens"
"258","Pipilo erythrophthalmus"
"259","Piranga olivacea"
"260","Poecile atricapillus"
"261","Progne subis"
"262","Quiscalus quiscula"
"263","Sayornis phoebe"
"264","Seiurus aurocapilla"
"265","Seiurus motacilla"
"266","Setophaga ruticilla"
"267","Sialia sialis"
"268","Sitta canadensis"
"269","Sitta carolinensis"
"270","Sphyrapicus varius"
"271","Spinus tristis"
"272","Spizella passerina"
"273","Spizella pusilla"
"274","Sturnella magna"
"275","Tachycineta bicolor"
"276","Toxostoma rufum"
"277","Troglodytes aedon"
"278","Turdus migratorius"
"279","Tyrannus tyrannus"
"280","Vermivora pinus"
"281","Vireo gilvus"
"282","Vireo olivaceus"
"283","Wilsonia citrina"
"284","Zenaida macroura"
"285","Accipiter cooperii"
"286","Icterus spurius"
"287","Picoides villosus"
"288","Vireo solitarius"
"289","Buteo lineatus"
"290","Catharus guttatus"
"291","Coccyzus erythropthalmus"
"292","Seiurus noveboracensis"
"293","Stelgidopteryx serripennis"
"294","Accipiter striatus"
"295","Actitis macularius"
"296","Anas rubripes"
"297","Gallinago delicata"
"298","Protonotaria citrea"
"299","Scolopax minor"
"300","Fulica americana"
"301","Petrochelidon pyrrhonota"
"302","Ammodramus henslowii"
"303","Bubo virginianus"
"304","Melanerpes erythrocephalus"
"305","Thryothorus ludovicianus"
"306","Zonotrichia albicollis"
"307","Lophodytes cucullatus"
"308","Coccothraustes vespertinus"
"309","Haliaeetus leucocephalus"
"310","Strix varia"
"311","Wilsonia canadensis"
"312","Pooecetes gramineus"
"313","Spinus pinus"
"314","Bartramia longicauda"
"315","Mniotilta varia"
"316","Porzana carolina"
"317","Colinus virginianus"
"318","Polioptila caerulea"
"319","Ammodramus savannarum"
"320","Eremophila alpestris"
"321","Anas discors"
"322","Cistothorus palustris"
"323","Rallus limicola"
"324","Cistothorus platensis"
"325","Ixobrychus exilis"
"326","Vermivora ruficapilla"
"327","Vireo griseus"
"328","Vireo flavifrons"
"329","Regulus satrapa"
"330","Catharus ustulatus"
"331","Chordeiles minor"
