"","AtlasSp","ScientificName"
"456","Chloris chloris","Chloris chloris"
"457","Estrilda astrild","Estrilda astrild"
"458","Larus michahellis","Larus michahellis"
"459","Puffinus lherminieri","Puffinus lherminieri"
"460","Serinus canaria","Serinus canaria"
"461","Bulweria bulwerii","Bulweria bulwerii"
"462","Hydrobates castro","Hydrobates castro"
"463","Onychoprion fuscatus","Onychoprion fuscatus"
"464","Pterodroma deserta","Pterodroma deserta"
"465","Puffinus puffinus","Puffinus puffinus"
"466","Pyrrhula murina","Pyrrhula murina"
"467","Acrocephalus dumetorum","Acrocephalus dumetorum"
"468","Anser fabalis","Anser fabalis"
"469","Bombycilla garrulus","Bombycilla garrulus"
"470","Cyanistes caeruleus","Cyanistes caeruleus"
"471","Cygnus cygnus","Cygnus cygnus"
"472","Delichon urbicum","Delichon urbicum"
"473","Emberiza rustica","Emberiza rustica"
"474","Falco columbarius","Falco columbarius"
"475","Fringilla montifringilla","Fringilla montifringilla"
"476","Gavia arctica","Gavia arctica"
"477","Lagopus lagopus","Lagopus lagopus"
"478","Lophophanes cristatus","Lophophanes cristatus"
"479","Loxia pytyopsittacus","Loxia pytyopsittacus"
"480","Lyrurus tetrix","Lyrurus tetrix"
"481","Mareca penelope","Mareca penelope"
"482","Numenius phaeopus","Numenius phaeopus"
"483","Pluvialis apricaria","Pluvialis apricaria"
"484","Spinus spinus","Spinus spinus"
"485","Tringa glareola","Tringa glareola"
"486","Tringa nebularia","Tringa nebularia"
"487","Acanthis flammea","Acanthis flammea"
"488","Aythya marila","Aythya marila"
"489","Calidris alpina","Calidris alpina"
"490","Calidris maritima","Calidris maritima"
"491","Cepphus grylle","Cepphus grylle"
"492","Charadrius hiaticula","Charadrius hiaticula"
"493","Clangula hyemalis","Clangula hyemalis"
"494","Falco rusticolus","Falco rusticolus"
"495","Fulmarus glacialis","Fulmarus glacialis"
"496","Gavia stellata","Gavia stellata"
"497","Haematopus ostralegus","Haematopus ostralegus"
"498","Larus hyperboreus","Larus hyperboreus"
"499","Phalaropus lobatus","Phalaropus lobatus"
"500","Plectrophenax nivalis","Plectrophenax nivalis"
"501","Rissa tridactyla","Rissa tridactyla"
"502","Somateria mollissima","Somateria mollissima"
"503","Stercorarius parasiticus","Stercorarius parasiticus"
"504","Sterna paradisaea","Sterna paradisaea"
"505","Alca torda","Alca torda"
"506","Catharacta skua","Catharacta skua"
"507","Fratercula arctica","Fratercula arctica"
"508","Gulosus aristotelis","Gulosus aristotelis"
"509","Larus fuscus","Larus fuscus"
"510","Morus bassanus","Morus bassanus"
"511","Tadorna tadorna","Tadorna tadorna"
"512","Uria aalge","Uria aalge"
"513","Uria lomvia","Uria lomvia"
"514","Mareca strepera","Mareca strepera"
"515","Phalaropus fulicarius","Phalaropus fulicarius"
"516","Podiceps auritus","Podiceps auritus"
"517","Anser brachyrhynchus","Anser brachyrhynchus"
"518","Anthus petrosus","Anthus petrosus"
"519","Hydrobates leucorhous","Hydrobates leucorhous"
"520","Hydrobates pelagicus","Hydrobates pelagicus"
"521","Branta leucopsis","Branta leucopsis"
"522","Spatula clypeata","Spatula clypeata"
"523","Branta bernicla","Branta bernicla"
"524","Bucephala islandica","Bucephala islandica"
"525","Melanitta nigra","Melanitta nigra"
"526","Alle alle","Alle alle"
"527","Stercorarius longicaudus","Stercorarius longicaudus"
"528","Hydrocoloeus minutus","Hydrocoloeus minutus"
