"","AtlasSp","ScientificName"
"48","Ficedula hypoleuca","Ficedula hypoleuca"
"49","Ficedula parva","Ficedula parva"
"50","Fringilla coelebs","Fringilla coelebs"
"51","Fulica atra","Fulica atra"
"52","Gallinago gallinago","Gallinago gallinago"
"53","Gallinula chloropus","Gallinula chloropus"
"54","Garrulus glandarius","Garrulus glandarius"
"55","Glaucidium passerinum","Glaucidium passerinum"
"56","Haliaeetus albicilla","Haliaeetus albicilla"
"57","Hippolais icterina","Hippolais icterina"
"58","Hirundo rustica","Hirundo rustica"
"59","Jynx torquilla","Jynx torquilla"
"60","Lanius collurio","Lanius collurio"
"61","Larus ridibundus","Larus ridibundus"
"62","Locustella fluviatilis","Locustella fluviatilis"
"63","Locustella naevia","Locustella naevia"
"64","Loxia curvirostra","Loxia curvirostra"
"65","Lullula arborea","Lullula arborea"
"66","Milvus milvus","Milvus milvus"
"67","Motacilla alba","Motacilla alba"
"68","Motacilla cinerea","Motacilla cinerea"
"69","Muscicapa striata","Muscicapa striata"
"70","Nucifraga caryocatactes","Nucifraga caryocatactes"
"71","Parus major","Parus major"
"72","Passer domesticus","Passer domesticus"
"73","Passer montanus","Passer montanus"
"74","Phasianus colchicus","Phasianus colchicus"
"75","Phoenicurus ochruros","Phoenicurus ochruros"
"76","Phoenicurus phoenicurus","Phoenicurus phoenicurus"
"77","Phylloscopus collybita","Phylloscopus collybita"
"78","Phylloscopus sibilatrix","Phylloscopus sibilatrix"
"79","Phylloscopus trochilus","Phylloscopus trochilus"
"80","Pica pica","Pica pica"
"81","Picus canus","Picus canus"
"82","Picus viridis","Picus viridis"
"83","Podiceps cristatus","Podiceps cristatus"
"84","Prunella modularis","Prunella modularis"
"85","Pyrrhula pyrrhula","Pyrrhula pyrrhula"
"86","Rallus aquaticus","Rallus aquaticus"
"87","Regulus regulus","Regulus regulus"
"88","Saxicola rubetra","Saxicola rubetra"
"89","Serinus serinus","Serinus serinus"
"90","Sitta europaea","Sitta europaea"
"91","Streptopelia decaocto","Streptopelia decaocto"
"92","Streptopelia turtur","Streptopelia turtur"
"93","Strix aluco","Strix aluco"
"94","Sturnus vulgaris","Sturnus vulgaris"
"95","Sylvia atricapilla","Sylvia atricapilla"
"96","Sylvia borin","Sylvia borin"
"97","Tachybaptus ruficollis","Tachybaptus ruficollis"
"98","Troglodytes troglodytes","Troglodytes troglodytes"
"99","Turdus merula","Turdus merula"
"100","Turdus philomelos","Turdus philomelos"
"101","Turdus pilaris","Turdus pilaris"
"102","Turdus viscivorus","Turdus viscivorus"
"103","Vanellus vanellus","Vanellus vanellus"
"104","Actitis hypoleucos","Actitis hypoleucos"
"105","Caprimulgus europaeus","Caprimulgus europaeus"
"106","Falco peregrinus","Falco peregrinus"
"107","Grus grus","Grus grus"
"108","Oriolus oriolus","Oriolus oriolus"
"109","Scolopax rusticola","Scolopax rusticola"
"110","Tyto alba","Tyto alba"
"111","Circus pygargus","Circus pygargus"
"112","Lanius excubitor","Lanius excubitor"
"113","Milvus migrans","Milvus migrans"
"114","Oenanthe oenanthe","Oenanthe oenanthe"
"115","Perdix perdix","Perdix perdix"
"116","Pernis apivorus","Pernis apivorus"
"117","Circus cyaneus","Circus cyaneus"
"118","Luscinia megarhynchos","Luscinia megarhynchos"
"119","Remiz pendulinus","Remiz pendulinus"
"120","Tringa ochropus","Tringa ochropus"
"121","Riparia riparia","Riparia riparia"
"122","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus"
"123","Anas crecca","Anas crecca"
"124","Ixobrychus minutus","Ixobrychus minutus"
"125","Phylloscopus trochiloides","Phylloscopus trochiloides"
"126","Podiceps nigricollis","Podiceps nigricollis"
"127","Botaurus stellaris","Botaurus stellaris"
"128","Chlidonias niger","Chlidonias niger"
"129","Galerida cristata","Galerida cristata"
"130","Locustella luscinioides","Locustella luscinioides"
"131","Motacilla flava","Motacilla flava"
"132","Tetrao urogallus","Tetrao urogallus"
"133","Turdus torquatus","Turdus torquatus"
"134","Podiceps grisegena","Podiceps grisegena"
"135","Corvus frugilegus","Corvus frugilegus"
"136","Aythya nyroca","Aythya nyroca"
"137","Falco subbuteo","Falco subbuteo"
"138","Netta rufina","Netta rufina"
"139","Phalacrocorax carbo","Phalacrocorax carbo"
"140","Upupa epops","Upupa epops"
"141","Turdus iliacus","Turdus iliacus"
"142","Bucephala clangula","Bucephala clangula"
"143","Anthus spinoletta","Anthus spinoletta"
"144","Emberiza hortulana","Emberiza hortulana"
"145","Luscinia svecica","Luscinia svecica"
"146","Prunella collaris","Prunella collaris"
"147","Anthus campestris","Anthus campestris"
"148","Anser anser","Anser anser"
"149","Mergus merganser","Mergus merganser"
"150","Panurus biarmicus","Panurus biarmicus"
"151","Porzana porzana","Porzana porzana"
"152","Tringa totanus","Tringa totanus"
"153","Anas acuta","Anas acuta"
"154","Merops apiaster","Merops apiaster"
"155","Asio flammeus","Asio flammeus"
"156","Numenius arquata","Numenius arquata"
"157","Picoides tridactylus","Picoides tridactylus"
"158","Larus canus","Larus canus"
"159","Larus cachinnans","Larus cachinnans"
"160","Sterna hirundo","Sterna hirundo"
"161","Luscinia luscinia","Luscinia luscinia"
"162","Limosa limosa","Limosa limosa"
"163","Nycticorax nycticorax","Nycticorax nycticorax"
"164","Dendrocopos syriacus","Dendrocopos syriacus"
"165","Larus melanocephalus","Larus melanocephalus"
"166","Ardea purpurea","Ardea purpurea"
"167","Dendrocopos leucotos","Dendrocopos leucotos"
"168","Falco cherrug","Falco cherrug"
"169","Otus scops","Otus scops"
"170","Recurvirostra avosetta","Recurvirostra avosetta"
"171","Himantopus himantopus","Himantopus himantopus"
"172","Strix uralensis","Strix uralensis"
"173","Egretta garzetta","Egretta garzetta"
"174","Platalea leucorodia","Platalea leucorodia"
"175","Agelaius phoeniceus","Agelaius phoeniceus"
"176","Aix sponsa","Aix sponsa"
"177","Archilochus colubris","Archilochus colubris"
"178","Ardea herodias","Ardea herodias"
"179","Baeolophus bicolor","Baeolophus bicolor"
"180","Bombycilla cedrorum","Bombycilla cedrorum"
"181","Bonasa umbellus","Bonasa umbellus"
"182","Branta canadensis","Branta canadensis"
"183","Buteo jamaicensis","Buteo jamaicensis"
"184","Buteo platypterus","Buteo platypterus"
"185","Cardinalis cardinalis","Cardinalis cardinalis"
"186","Cathartes aura","Cathartes aura"
"187","Catharus fuscescens","Catharus fuscescens"
"188","Certhia americana","Certhia americana"
"189","Chaetura pelagica","Chaetura pelagica"
"190","Charadrius vociferus","Charadrius vociferus"
"191","Coccyzus americanus","Coccyzus americanus"
"192","Colaptes auratus","Colaptes auratus"
"193","Contopus virens","Contopus virens"
"194","Corvus brachyrhynchos","Corvus brachyrhynchos"
"195","Cyanocitta cristata","Cyanocitta cristata"
"196","Dolichonyx oryzivorus","Dolichonyx oryzivorus"
"197","Dumetella carolinensis","Dumetella carolinensis"
"198","Empidonax alnorum","Empidonax alnorum"
"199","Empidonax minimus","Empidonax minimus"
"200","Empidonax traillii","Empidonax traillii"
"201","Empidonax virescens","Empidonax virescens"
"202","Falco sparverius","Falco sparverius"
"203","Geothlypis trichas","Geothlypis trichas"
"204","Hylocichla mustelina","Hylocichla mustelina"
"205","Icterus galbula","Icterus galbula"
"206","Junco hyemalis","Junco hyemalis"
"207","Megaceryle alcyon","Megaceryle alcyon"
"208","Megascops asio","Megascops asio"
"209","Melanerpes carolinus","Melanerpes carolinus"
"210","Meleagris gallopavo","Meleagris gallopavo"
"211","Melospiza georgiana","Melospiza georgiana"
"212","Melospiza melodia","Melospiza melodia"
"213","Mimus polyglottos","Mimus polyglottos"
"214","Molothrus ater","Molothrus ater"
"215","Myiarchus crinitus","Myiarchus crinitus"
"216","Passerculus sandwichensis","Passerculus sandwichensis"
"217","Passerina cyanea","Passerina cyanea"
"218","Pheucticus ludovicianus","Pheucticus ludovicianus"
"219","Pipilo erythrophthalmus","Pipilo erythrophthalmus"
"220","Piranga olivacea","Piranga olivacea"
"221","Poecile atricapillus","Poecile atricapillus"
"222","Progne subis","Progne subis"
"223","Quiscalus quiscula","Quiscalus quiscula"
"224","Sayornis phoebe","Sayornis phoebe"
"225","Seiurus aurocapilla","Seiurus aurocapilla"
"226","Setophaga ruticilla","Setophaga ruticilla"
"227","Sialia sialis","Sialia sialis"
"228","Sitta canadensis","Sitta canadensis"
"229","Sitta carolinensis","Sitta carolinensis"
"230","Sphyrapicus varius","Sphyrapicus varius"
"231","Spinus tristis","Spinus tristis"
"232","Spizella passerina","Spizella passerina"
"233","Spizella pusilla","Spizella pusilla"
"234","Sturnella magna","Sturnella magna"
"235","Tachycineta bicolor","Tachycineta bicolor"
"236","Toxostoma rufum","Toxostoma rufum"
"237","Troglodytes aedon","Troglodytes aedon"
"238","Turdus migratorius","Turdus migratorius"
"239","Tyrannus tyrannus","Tyrannus tyrannus"
"240","Vireo gilvus","Vireo gilvus"
"241","Vireo olivaceus","Vireo olivaceus"
"242","Zenaida macroura","Zenaida macroura"
"243","Accipiter cooperii","Accipiter cooperii"
"244","Icterus spurius","Icterus spurius"
"245","Vireo solitarius","Vireo solitarius"
"246","Buteo lineatus","Buteo lineatus"
"247","Catharus guttatus","Catharus guttatus"
"248","Coccyzus erythropthalmus","Coccyzus erythropthalmus"
"249","Stelgidopteryx serripennis","Stelgidopteryx serripennis"
"250","Accipiter striatus","Accipiter striatus"
"251","Actitis macularius","Actitis macularius"
"252","Anas rubripes","Anas rubripes"
"253","Gallinago delicata","Gallinago delicata"
"254","Protonotaria citrea","Protonotaria citrea"
"255","Scolopax minor","Scolopax minor"
"256","Fulica americana","Fulica americana"
"257","Petrochelidon pyrrhonota","Petrochelidon pyrrhonota"
"258","Bubo virginianus","Bubo virginianus"
"259","Melanerpes erythrocephalus","Melanerpes erythrocephalus"
"260","Thryothorus ludovicianus","Thryothorus ludovicianus"
"261","Zonotrichia albicollis","Zonotrichia albicollis"
"262","Lophodytes cucullatus","Lophodytes cucullatus"
"263","Haliaeetus leucocephalus","Haliaeetus leucocephalus"
"264","Strix varia","Strix varia"
"265","Pooecetes gramineus","Pooecetes gramineus"
"266","Spinus pinus","Spinus pinus"
"267","Bartramia longicauda","Bartramia longicauda"
"268","Mniotilta varia","Mniotilta varia"
"269","Porzana carolina","Porzana carolina"
"270","Colinus virginianus","Colinus virginianus"
"271","Polioptila caerulea","Polioptila caerulea"
"272","Ammodramus savannarum","Ammodramus savannarum"
"273","Eremophila alpestris","Eremophila alpestris"
"274","Cistothorus palustris","Cistothorus palustris"
"275","Rallus limicola","Rallus limicola"
"276","Cistothorus platensis","Cistothorus platensis"
"277","Ixobrychus exilis","Ixobrychus exilis"
"278","Vireo griseus","Vireo griseus"
"279","Vireo flavifrons","Vireo flavifrons"
"280","Regulus satrapa","Regulus satrapa"
"281","Catharus ustulatus","Catharus ustulatus"
"282","Chordeiles minor","Chordeiles minor"
"283","Pandion haliaetus","Pandion haliaetus"
"284","Podilymbus podiceps","Podilymbus podiceps"
"285","Aythya collaris","Aythya collaris"
"286","Botaurus lentiginosus","Botaurus lentiginosus"
"287","Oxyura jamaicensis","Oxyura jamaicensis"
"288","Gavia immer","Gavia immer"
"289","Spizella pallida","Spizella pallida"
"290","Spiza americana","Spiza americana"
"291","Icteria virens","Icteria virens"
"292","Larus argentatus","Larus argentatus"
"293","Larus marinus","Larus marinus"
"294","Vermivora chrysoptera","Vermivora chrysoptera"
"295","Aegolius acadicus","Aegolius acadicus"
"296","Rallus elegans","Rallus elegans"
"297","Larus delawarensis","Larus delawarensis"
"298","Ardea alba","Ardea alba"
"299","Aquila chrysaetos","Aquila chrysaetos"
"300","Egretta thula","Egretta thula"
"301","Helmitheros vermivorum","Helmitheros vermivorum"
"302","Aythya americana","Aythya americana"
"303","Aythya affinis","Aythya affinis"
"304","Lanius ludovicianus","Lanius ludovicianus"
"305","Sturnella neglecta","Sturnella neglecta"
"306","Loxia leucoptera","Loxia leucoptera"
"307","Corvus ossifragus","Corvus ossifragus"
"308","Mergus serrator","Mergus serrator"
"309","Aythya valisineria","Aythya valisineria"
"310","Bubulcus ibis","Bubulcus ibis"
"311","Charadrius melodus","Charadrius melodus"
"312","Contopus cooperi","Contopus cooperi"
"313","Empidonax flaviventris","Empidonax flaviventris"
"314","Melospiza lincolnii","Melospiza lincolnii"
"315","Vireo philadelphicus","Vireo philadelphicus"
"316","Euphagus carolinus","Euphagus carolinus"
"317","Poecile hudsonicus","Poecile hudsonicus"
"318","Picoides arcticus","Picoides arcticus"
"319","Perisoreus canadensis","Perisoreus canadensis"
"320","Catharus bicknelli","Catharus bicknelli"
"321","Passerina caerulea","Passerina caerulea"
"322","Myiopsitta monachus","Myiopsitta monachus"
"323","Quiscalus major","Quiscalus major"
"324","Rallus longirostris","Rallus longirostris"
