"","verbatim_name","dataset","log_R2_1","tp1_AOO_1","tp2_AOO_1"
"63","Ammodramus savannarum","Birds_Atlas_New_York",-0.544170788256649,20550.1659036366,11925.7297017252
"64","Anas acuta","Birds_Atlas_Czechia",0.000992090673383979,1341.09185257825,1342.4229974964
"65","Anas acuta","Birds_atlas_EBBA",-0.27636551703547,1549468.39498904,1175326.97336954
"66","Anas acuta","Birds_Atlas_New_York",-1.25269327744596,875.178089973997,250.068309765387
"67","Anas americana","Birds_Atlas_New_York",-0.646860450483645,1050.00484691653,549.874246176532
"68","Anas clypeata","Birds_Atlas_Czechia",-0.0850334114705441,17930.2570207222,16468.6110863024
"69","Anas clypeata","Birds_atlas_Japan",-0.698566604415768,2440.63660882007,1213.72277041919
"70","Anas clypeata","Birds_Atlas_New_York",0.274414210425644,475.056543135094,625.060250290483
"71","Anas crecca","Birds_Atlas_Czechia",-0.180130222362952,32078.5501369476,26790.7683703259
"72","Anas crecca","Birds_atlas_EBBA",-0.0186354206184789,3886645.27449813,3814886.7072294
"73","Anas crecca","Birds_atlas_Japan",-0.197256378445674,6053.14201320538,4969.5092849527
"74","Anas crecca","Birds_Atlas_New_York",-0.597716503135712,3000.33827876996,1650.38490879587
"75","Anas discors","Birds_Atlas_New_York",-1.00113516997458,11500.8139185038,4226.11291692533
"76","Anas falcata","Birds_atlas_Japan",0.39033942083046,2391.98444738119,3534.11443655156
"77","Anas platyrhynchos","Birds_Atlas_Czechia",0.0231657585357421,79503.3055729725,81366.5584600616
"78","Anas platyrhynchos","Birds_atlas_EBBA",0.060979386229416,6406806.00023867,6809646.76711866
"79","Anas platyrhynchos","Birds_atlas_Japan",-0.0117256939816462,39147.6747925538,38691.3218937862
"80","Anas platyrhynchos","Birds_Atlas_New_York",0.235657451949044,79520.0616634259,100651.775245808
"81","Anas querquedula","Birds_Atlas_Czechia",0.032125932982107,25142.2426626815,25963.0750734494
"82","Anas rubripes","Birds_Atlas_New_York",-0.415914263018079,27562.5919835614,18184.0571143106
"83","Anas strepera","Birds_Atlas_Czechia",0.321053833028191,26527.6782501773,36570.5211649304
"84","Anas strepera","Birds_atlas_Japan",1.1783528405658,371.842990046036,1208.12462066223
"85","Anas strepera","Birds_Atlas_New_York",0.00889931434099039,2850.35946908852,2875.83892065364
"86","Anas zonorhyncha","Birds_atlas_Japan",0.30416937788319,127643.779915216,173020.968565069
"87","Anous stolidus","Birds_atlas_Japan",0,466.859936054382,466.859936054382
"88","Anser anser","Birds_Atlas_Czechia",0.720339628530981,6472.62163741396,13302.085852618
"89","Anser anser","Birds_atlas_EBBA",0.606830196440358,1882870.23333666,3454326.58825752
"90","Anser brachyrhynchus","Birds_atlas_EBBA",0.222733989835088,159061.179697581,198745.059630302
"91","Anser erythropus","Birds_atlas_EBBA",-1.39337935372799,33584.7638575387,8336.91424897088
"92","Anser fabalis","Birds_atlas_EBBA",-0.00174735680091474,404038.299799479,403332.917185525
"93","Anthropoides virgo","Birds_atlas_EBBA",0.352754205100972,44206.6649855113,62905.2593289784
"94","Anthus berthelotii","Birds_atlas_EBBA",0,12502.7183666435,12502.7183666435
"95","Anthus campestris","Birds_Atlas_Czechia",-0.361933935698617,2668.22999586231,1857.96424052055
"96","Anthus campestris","Birds_atlas_EBBA",0.0736170921047033,2526136.869457,2719120.00076763
