"","FP","tip.label","verbatim_name"
"644",26.9688501030344,"Psophia_crepitans","Psophia crepitans"
"645",19.3780477930344,"Psophia_leucoptera","Psophia leucoptera"
"646",19.3780477930344,"Psophia_viridis","Psophia viridis"
"647",24.3018074113678,"Aramus_guarauna","Aramus guarauna"
"648",9.30237263651455,"Grus_canadensis","Grus canadensis"
"649",7.58110656451456,"Grus_japonensis","Grus japonensis"
"650",6.31307731426456,"Grus_americana","Grus americana"
"651",5.31509152779789,"Grus_monacha","Grus monacha"
"652",5.31509152779789,"Grus_nigricollis","Grus nigricollis"
"653",5.92281309419789,"Grus_grus","Grus grus"
"654",6.48080702144789,"Grus_antigone","Grus antigone"
"655",6.48080702144789,"Grus_rubicunda","Grus rubicunda"
"656",6.94778165699789,"Grus_vipio","Grus vipio"
"657",6.90322087249789,"Grus_paradisea","Grus paradisea"
"658",6.90322087249789,"Grus_virgo","Grus virgo"
"659",8.06977965099789,"Grus_carunculatus","Grus carunculatus"
"660",10.1186423415729,"Grus_leucogeranus","Grus leucogeranus"
"661",12.2631801780344,"Balearica_regulorum","Balearica regulorum"
"662",12.2631801780344,"Balearica_pavonina","Balearica pavonina"
"663",27.3373778655917,"Chlamydotis_undulata","Chlamydotis undulata"
"664",27.3373778655917,"Otis_tarda","Otis tarda"
"665",18.7330477499759,"Eupodotis_humilis","Eupodotis humilis"
"666",18.7330477499759,"Tetrax_tetrax","Tetrax tetrax"
"667",15.9112482797638,"Eupodotis_savilei","Eupodotis savilei"
"668",15.9112482797638,"Eupodotis_gindiana","Eupodotis gindiana"
"669",22.1081975227638,"Eupodotis_ruficrista","Eupodotis ruficrista"
"670",17.4759203995971,"Eupodotis_hartlaubii","Eupodotis hartlaubii"
"671",17.4759203995971,"Eupodotis_melanogaster","Eupodotis melanogaster"
"672",13.6222355119971,"Eupodotis_afra","Eupodotis afra"
"673",13.6222355119971,"Eupodotis_afraoides","Eupodotis afraoides"
"674",18.4365085945971,"Eupodotis_senegalensis","Eupodotis senegalensis"
