occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Acanthiza robustirostris","Acanthiza robustirostris Milligan, 1903","5230411","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza robustirostris","Acanthiza robustirostris","Milligan, 1903","5230411",
,"Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris (Latham, 1801)","5230466","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Acanthorhynchus","Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris","(Latham, 1801) ","5230466",
,"Acrocephalus familiaris","Acrocephalus familiaris (Rothschild, 1892)","5231335","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus familiaris","Acrocephalus familiaris","(Rothschild, 1892) ","5231335",
,"Agriornis lividus","Agriornis lividus (Kittlitz, 1835)","2483470","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Agriornis","Agriornis lividus","Agriornis lividus","(Kittlitz, 1835) ","2483470",
,"Acrocephalus atyphus","Acrocephalus atyphus (Wetmore, 1919)","5231318","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus atyphus","Acrocephalus atyphus","(Wetmore, 1919) ","5231318",
,"Acrocephalus kerearako","Acrocephalus kerearako Holyoak, 1974","5231338","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus kerearako","Acrocephalus kerearako","Holyoak, 1974","5231338",
,"Acrocephalus newtoni","Acrocephalus newtoni (Hartlaub, 1863)","5231323","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus newtoni","Acrocephalus newtoni","(Hartlaub, 1863) ","5231323",
,"Bradypterus barratti","Bradypterus barratti Sharpe, 1876","5231352","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Locustellidae","Bradypterus","Bradypterus barratti","Bradypterus barratti","Sharpe, 1876","5231352",
,"Acrocephalus rehsei","Acrocephalus rehsei (Finsch, 1883)","5231324","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus rehsei","Acrocephalus rehsei","(Finsch, 1883) ","5231324",
,"Aegithina viridissima","Aegithina viridissima (Bonaparte, 1850)","2484095","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Aegithinidae","Aegithina","Aegithina viridissima","Aegithina viridissima","(Bonaparte, 1850) ","2484095",
