original_verbatim_name,name_in_data,wordCount,cellID,submitted_name,Birds of the World,eBird/Clements,American Ornithological Society,GBIF,BirdLife
Ammoperdix griseogularis,Ammoperdix griseogularis,2,NA,Ammoperdix griseogularis,Ammoperdix griseogularis,NA,Ammoperdix griseogularis,Ammoperdix griseogularis,Ammoperdix griseogularis
Anas acuta,Anas acuta,2,NA,Anas acuta,Anas acuta,Anas acuta,Anas acuta,Anas acuta,Anas acuta
Anas bahamensis,Anas bahamensis,2,NA,Anas bahamensis,Anas bahamensis,Anas bahamensis,Anas bahamensis,Anas bahamensis,Anas bahamensis
Anas crecca,Anas crecca,2,NA,Anas crecca,Anas crecca,Anas crecca,Anas crecca,Anas crecca,Anas crecca
Anas platyrhynchos,Anas platyrhynchos,2,NA,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos
Anas rubripes,Anas rubripes,2,NA,Anas rubripes,Anas rubripes,Anas rubripes,Anas rubripes,Anas rubripes,Anas rubripes
Anser albifrons,Anser albifrons,2,NA,Anser albifrons,Anser albifrons,Anser albifrons,Anser albifrons,Anser albifrons,Anser albifrons
Anser anser,Anser anser,2,NA,Anser anser,Anser anser,Anser anser,Anser anser,Anser anser,Anser anser
Anser brachyrhynchus,Anser brachyrhynchus,2,NA,Anser brachyrhynchus,Anser brachyrhynchus,Anser brachyrhynchus,Anser brachyrhynchus,Anser brachyrhynchus,Anser brachyrhynchus
Anser caerulescens,Anser caerulescens,2,NA,Anser caerulescens,Anser caerulescens,Anser caerulescens,Anser caerulescens,NA,Anser caerulescens
Anser canagicus,Anser canagicus,2,NA,Anser canagicus,Anser canagicus,Anser canagicus,Anser canagicus,NA,Anser canagicus
Anser cygnoid,Anser cygnoid,2,NA,Anser cygnoid,NA,NA,Anser cygnoid,NA,Anser cygnoid
Anser erythropus,Anser erythropus,2,NA,Anser erythropus,Anser erythropus,Anser erythropus,Anser erythropus,Anser erythropus,Anser erythropus
Anser fabalis,Anser fabalis,2,NA,Anser fabalis,Anser fabalis,Anser fabalis,Anser fabalis,Anser fabalis,Anser fabalis
Anser indicus,Anser indicus,2,NA,Anser indicus,Anser indicus,NA,Anser indicus,Anser indicus,Anser indicus
Anthropoides virgo,Anthropoides virgo,2,NA,Anthropoides virgo,Anthropoides virgo,NA,Anthropoides virgo,NA,Anthropoides virgo
Anthus berthelotii,Anthus berthelotii,2,NA,Anthus berthelotii,Anthus berthelotii,NA,Anthus berthelotii,Anthus berthelotii,Anthus berthelotii
Anthus campestris,Anthus campestris,2,NA,Anthus campestris,Anthus campestris,NA,Anthus campestris,Anthus campestris,Anthus campestris
Anthus cervinus,Anthus cervinus,2,NA,Anthus cervinus,Anthus cervinus,Anthus cervinus,Anthus cervinus,Anthus cervinus,Anthus cervinus
Anthus hodgsoni,Anthus hodgsoni,2,NA,Anthus hodgsoni,Anthus hodgsoni,Anthus hodgsoni,Anthus hodgsoni,Anthus hodgsoni,Anthus hodgsoni
Anthus petrosus,Anthus petrosus,2,NA,Anthus petrosus,Anthus petrosus,NA,Anthus petrosus,Anthus petrosus,Anthus petrosus
Anthus pratensis,Anthus pratensis,2,NA,Anthus pratensis,Anthus pratensis,Anthus pratensis,Anthus pratensis,Anthus pratensis,Anthus pratensis
Anthus spinoletta,Anthus spinoletta,2,NA,Anthus spinoletta,Anthus spinoletta,NA,Anthus spinoletta,Anthus spinoletta,Anthus spinoletta
Anthus trivialis,Anthus trivialis,2,NA,Anthus trivialis,Anthus trivialis,Anthus trivialis,Anthus trivialis,Anthus trivialis,Anthus trivialis
Apus affinis,Apus affinis,2,NA,Apus affinis,Apus affinis,NA,Apus affinis,Apus affinis,Apus affinis
Apus apus,Apus apus,2,NA,Apus apus,Apus apus,Apus apus,Apus apus,Apus apus,Apus apus
Apus caffer,Apus caffer,2,NA,Apus caffer,Apus caffer,NA,Apus caffer,Apus caffer,Apus caffer
Apus pallidus,Apus pallidus,2,NA,Apus pallidus,Apus pallidus,NA,Apus pallidus,Apus pallidus,Apus pallidus
Apus unicolor,Apus unicolor,2,NA,Apus unicolor,Apus unicolor,NA,Apus unicolor,Apus unicolor,Apus unicolor
Aquila adalberti,Aquila adalberti,2,NA,Aquila adalberti,Aquila adalberti,NA,Aquila adalberti,Aquila adalberti,Aquila adalberti
Aquila chrysaetos,Aquila chrysaetos,2,NA,Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos
Aquila fasciata,Aquila fasciata,2,NA,Aquila fasciata,Aquila fasciata,NA,Aquila fasciata,Aquila fasciata,Aquila fasciata
Aquila heliaca,Aquila heliaca,2,NA,Aquila heliaca,Aquila heliaca,NA,Aquila heliaca,Aquila heliaca,Aquila heliaca
Aquila nipalensis,Aquila nipalensis,2,NA,Aquila nipalensis,Aquila nipalensis,NA,Aquila nipalensis,Aquila nipalensis,Aquila nipalensis
Aratinga nenday,Aratinga nenday,2,NA,Aratinga nenday,Aratinga nenday,Aratinga nenday,Aratinga nenday,NA,Aratinga nenday
Ardea alba,Ardea alba,2,NA,Ardea alba,Ardea alba,Ardea alba,Ardea alba,Ardea alba,Ardea alba
Ardea cinerea,Ardea cinerea,2,NA,Ardea cinerea,Ardea cinerea,Ardea cinerea,Ardea cinerea,Ardea cinerea,Ardea cinerea
Ardea purpurea,Ardea purpurea,2,NA,Ardea purpurea,Ardea purpurea,Ardea purpurea,Ardea purpurea,Ardea purpurea,Ardea purpurea
Ardeola ralloides,Ardeola ralloides,2,NA,Ardeola ralloides,Ardeola ralloides,NA,Ardeola ralloides,Ardeola ralloides,Ardeola ralloides
Arenaria interpres,Arenaria interpres,2,NA,Arenaria interpres,Arenaria interpres,Arenaria interpres,Arenaria interpres,Arenaria interpres,Arenaria interpres
Argya altirostris,Argya altirostris,2,NA,Argya altirostris,Argya altirostris,NA,Argya altirostris,NA,NA
Asio flammeus,Asio flammeus,2,NA,Asio flammeus,Asio flammeus,Asio flammeus,Asio flammeus,Asio flammeus,Asio flammeus
Asio otus,Asio otus,2,NA,Asio otus,Asio otus,Asio otus,Asio otus,Asio otus,Asio otus
Athene noctua,Athene noctua,2,NA,Athene noctua,Athene noctua,NA,Athene noctua,Athene noctua,Athene noctua
Aythya affinis,Aythya affinis,2,NA,Aythya affinis,Aythya affinis,Aythya affinis,Aythya affinis,Aythya affinis,Aythya affinis
Aythya collaris,Aythya collaris,2,NA,Aythya collaris,Aythya collaris,Aythya collaris,Aythya collaris,Aythya collaris,Aythya collaris
