original_verbatim_name,name_in_data,wordCount,cellID,submitted_name,Birds of the World,eBird/Clements,American Ornithological Society,GBIF,BirdLife
Phylloscopus coronatus,Phylloscopus coronatus,2,NA,Phylloscopus coronatus,Phylloscopus coronatus,Phylloscopus coronatus,NA,Phylloscopus coronatus,Phylloscopus coronatus
Phylloscopus examinandus,Phylloscopus examinandus,2,NA,Phylloscopus examinandus,Phylloscopus examinandus,Phylloscopus examinandus,Phylloscopus examinandus,Phylloscopus examinandus,NA
Phylloscopus ijimae,Phylloscopus ijimae,2,NA,Phylloscopus ijimae,Phylloscopus ijimae,Phylloscopus ijimae,NA,Phylloscopus ijimae,Phylloscopus ijimae
Phylloscopus xanthodryas,Phylloscopus xanthodryas,2,NA,Phylloscopus xanthodryas,Phylloscopus xanthodryas,Phylloscopus xanthodryas,NA,Phylloscopus xanthodryas,Phylloscopus xanthodryas
Pica pica,Pica pica,2,NA,Pica pica,Pica pica,Pica pica,NA,Pica pica,Pica pica
Picus awokera,Picus awokera,2,NA,Picus awokera,Picus awokera,Picus awokera,NA,Picus awokera,Picus awokera
Picus canus,Picus canus,2,NA,Picus canus,Picus canus,Picus canus,NA,Picus canus,Picus canus
Pinicola enucleator,Pinicola enucleator,2,NA,Pinicola enucleator,Pinicola enucleator,Pinicola enucleator,Pinicola enucleator,Pinicola enucleator,Pinicola enucleator
Pitta nympha,Pitta nympha,2,NA,Pitta nympha,Pitta nympha,Pitta nympha,NA,Pitta nympha,Pitta nympha
Podiceps cristatus,Podiceps cristatus,2,NA,Podiceps cristatus,Podiceps cristatus,Podiceps cristatus,NA,Podiceps cristatus,Podiceps cristatus
Podiceps grisegena,Podiceps grisegena,2,NA,Podiceps grisegena,Podiceps grisegena,Podiceps grisegena,Podiceps grisegena,Podiceps grisegena,Podiceps grisegena
Poecile montanus,Poecile montanus,2,NA,Poecile montanus,Poecile montanus,Poecile montanus,NA,Poecile montanus,NA
Poecile palustris,Poecile palustris,2,NA,Poecile palustris,Poecile palustris,Poecile palustris,NA,Poecile palustris,NA
Poecile varius,Poecile varius,2,NA,Poecile varius,Poecile varius,NA,NA,Poecile varius,NA
Porzana fusca,Porzana fusca,2,NA,Porzana fusca,Porzana fusca,NA,NA,Porzana fusca,Porzana fusca
Prunella collaris,Prunella collaris,2,NA,Prunella collaris,Prunella collaris,Prunella collaris,NA,Prunella collaris,Prunella collaris
Prunella rubida,Prunella rubida,2,NA,Prunella rubida,Prunella rubida,Prunella rubida,NA,Prunella rubida,Prunella rubida
Psittacula krameri,Psittacula krameri,2,NA,Psittacula krameri,Psittacula krameri,Psittacula krameri,Psittacula krameri,Psittacula krameri,Psittacula krameri
Pycnonotus sinensis,Pycnonotus sinensis,2,NA,Pycnonotus sinensis,Pycnonotus sinensis,Pycnonotus sinensis,NA,Pycnonotus sinensis,Pycnonotus sinensis
Pyrrhula pyrrhula,Pyrrhula pyrrhula,2,NA,Pyrrhula pyrrhula,Pyrrhula pyrrhula,Pyrrhula pyrrhula,Pyrrhula pyrrhula,Pyrrhula pyrrhula,Pyrrhula pyrrhula
Rallina eurizonoides,Rallina eurizonoides,2,NA,Rallina eurizonoides,Rallina eurizonoides,Rallina eurizonoides,NA,Rallina eurizonoides,Rallina eurizonoides
Rallus aquaticus,Rallus aquaticus,2,NA,Rallus aquaticus,Rallus aquaticus,Rallus aquaticus,Rallus aquaticus,Rallus aquaticus,Rallus aquaticus
Regulus regulus,Regulus regulus,2,NA,Regulus regulus,Regulus regulus,Regulus regulus,NA,Regulus regulus,Regulus regulus
Riparia riparia,Riparia riparia,2,NA,Riparia riparia,Riparia riparia,Riparia riparia,Riparia riparia,Riparia riparia,Riparia riparia
Rostratula benghalensis,Rostratula benghalensis,2,NA,Rostratula benghalensis,Rostratula benghalensis,Rostratula benghalensis,NA,Rostratula benghalensis,Rostratula benghalensis
Sapheopipo noguchii,Sapheopipo noguchii,2,NA,Sapheopipo noguchii,Sapheopipo noguchii,NA,NA,Sapheopipo noguchii,Sapheopipo noguchii
Saxicola torquatus,Saxicola torquatus,2,NA,Saxicola torquatus,Saxicola torquatus,Saxicola torquatus,Saxicola torquatus,Saxicola torquatus,Saxicola torquatus
Scolopax mira,Scolopax mira,2,NA,Scolopax mira,Scolopax mira,Scolopax mira,NA,Scolopax mira,Scolopax mira
Scolopax rusticola,Scolopax rusticola,2,NA,Scolopax rusticola,Scolopax rusticola,Scolopax rusticola,Scolopax rusticola,Scolopax rusticola,Scolopax rusticola
Sitta europaea,Sitta europaea,2,NA,Sitta europaea,Sitta europaea,Sitta europaea,NA,Sitta europaea,Sitta europaea
Spilornis cheela,Spilornis cheela,2,NA,Spilornis cheela,Spilornis cheela,Spilornis cheela,NA,Spilornis cheela,Spilornis cheela
Spodiopsar cineraceus,Spodiopsar cineraceus,2,NA,Spodiopsar cineraceus,Spodiopsar cineraceus,Spodiopsar cineraceus,NA,Spodiopsar cineraceus,NA
Sterna albifrons,Sterna albifrons,2,NA,Sterna albifrons,NA,NA,NA,Sterna albifrons,Sterna albifrons
Sterna anaethetus,Sterna anaethetus,2,NA,Sterna anaethetus,NA,NA,NA,Sterna anaethetus,Sterna anaethetus
Sterna dougallii,Sterna dougallii,2,NA,Sterna dougallii,Sterna dougallii,Sterna dougallii,Sterna dougallii,Sterna dougallii,Sterna dougallii
Sterna hirundo,Sterna hirundo,2,NA,Sterna hirundo,Sterna hirundo,Sterna hirundo,Sterna hirundo,Sterna hirundo,Sterna hirundo
Sterna sumatrana,Sterna sumatrana,2,NA,Sterna sumatrana,Sterna sumatrana,Sterna sumatrana,NA,Sterna sumatrana,Sterna sumatrana
Streptopelia decaocto,Streptopelia decaocto,2,NA,Streptopelia decaocto,Streptopelia decaocto,Streptopelia decaocto,Streptopelia decaocto,Streptopelia decaocto,Streptopelia decaocto
Streptopelia orientalis,Streptopelia orientalis,2,NA,Streptopelia orientalis,Streptopelia orientalis,Streptopelia orientalis,Streptopelia orientalis,Streptopelia orientalis,Streptopelia orientalis
Strix uralensis,Strix uralensis,2,NA,Strix uralensis,Strix uralensis,Strix uralensis,NA,Strix uralensis,Strix uralensis
Sula leucogaster,Sula leucogaster,2,NA,Sula leucogaster,Sula leucogaster,Sula leucogaster,Sula leucogaster,Sula leucogaster,Sula leucogaster
Synthliboramphus antiquus,Synthliboramphus antiquus,2,NA,Synthliboramphus antiquus,Synthliboramphus antiquus,Synthliboramphus antiquus,Synthliboramphus antiquus,Synthliboramphus antiquus,Synthliboramphus antiquus
Syrmaticus soemmerringii,Syrmaticus soemmerringii,2,NA,Syrmaticus soemmerringii,Syrmaticus soemmerringii,Syrmaticus soemmerringii,NA,Syrmaticus soemmerringii,Syrmaticus soemmerringii
Tachybaptus ruficollis,Tachybaptus ruficollis,2,NA,Tachybaptus ruficollis,Tachybaptus ruficollis,Tachybaptus ruficollis,NA,Tachybaptus ruficollis,Tachybaptus ruficollis
Tarsiger cyanurus,Tarsiger cyanurus,2,NA,Tarsiger cyanurus,Tarsiger cyanurus,Tarsiger cyanurus,Tarsiger cyanurus,Tarsiger cyanurus,Tarsiger cyanurus
Terpsiphone atrocaudata,Terpsiphone atrocaudata,2,NA,Terpsiphone atrocaudata,Terpsiphone atrocaudata,Terpsiphone atrocaudata,NA,Terpsiphone atrocaudata,Terpsiphone atrocaudata
Tetrastes bonasia,Tetrastes bonasia,2,NA,Tetrastes bonasia,Tetrastes bonasia,Tetrastes bonasia,NA,Tetrastes bonasia,NA
Treron formosae,Treron formosae,2,NA,Treron formosae,Treron formosae,Treron formosae,NA,Treron formosae,Treron formosae
Treron sieboldii,Treron sieboldii,2,NA,Treron sieboldii,Treron sieboldii,Treron sieboldii,NA,Treron sieboldii,Treron sieboldii
Tringa totanus,Tringa totanus,2,NA,Tringa totanus,Tringa totanus,Tringa totanus,Tringa totanus,Tringa totanus,Tringa totanus
Troglodytes troglodytes,Troglodytes troglodytes,2,NA,Troglodytes troglodytes,Troglodytes troglodytes,Troglodytes troglodytes,NA,Troglodytes troglodytes,Troglodytes troglodytes
Turdus cardis,Turdus cardis,2,NA,Turdus cardis,Turdus cardis,Turdus cardis,NA,Turdus cardis,Turdus cardis
Turdus celaenops,Turdus celaenops,2,NA,Turdus celaenops,Turdus celaenops,Turdus celaenops,NA,Turdus celaenops,Turdus celaenops
Turdus chrysolaus,Turdus chrysolaus,2,NA,Turdus chrysolaus,Turdus chrysolaus,Turdus chrysolaus,NA,Turdus chrysolaus,Turdus chrysolaus
Turdus hortulorum,Turdus hortulorum,2,NA,Turdus hortulorum,Turdus hortulorum,Turdus hortulorum,NA,Turdus hortulorum,Turdus hortulorum
Turdus pallidus,Turdus pallidus,2,NA,Turdus pallidus,Turdus pallidus,Turdus pallidus,NA,Turdus pallidus,Turdus pallidus
Turnix suscitator,Turnix suscitator,2,NA,Turnix suscitator,Turnix suscitator,Turnix suscitator,NA,Turnix suscitator,Turnix suscitator
Uragus sibiricus,Uragus sibiricus,2,NA,Uragus sibiricus,Uragus sibiricus,NA,NA,Uragus sibiricus,Uragus sibiricus
Uria aalge,Uria aalge,2,NA,Uria aalge,Uria aalge,Uria aalge,Uria aalge,Uria aalge,Uria aalge
Urocissa erythrorhyncha,Urocissa erythrorhyncha,2,NA,Urocissa erythrorhyncha,NA,NA,NA,NA,Urocissa erythrorhyncha
Urosphena squameiceps,Urosphena squameiceps,2,NA,Urosphena squameiceps,Urosphena squameiceps,Urosphena squameiceps,NA,Urosphena squameiceps,Urosphena squameiceps
Vanellus cinereus,Vanellus cinereus,2,NA,Vanellus cinereus,Vanellus cinereus,Vanellus cinereus,NA,Vanellus cinereus,Vanellus cinereus
Vanellus vanellus,Vanellus vanellus,2,NA,Vanellus vanellus,Vanellus vanellus,Vanellus vanellus,Vanellus vanellus,Vanellus vanellus,Vanellus vanellus
Zoothera dauma,Zoothera dauma,2,NA,Zoothera dauma,Zoothera dauma,Zoothera dauma,NA,Zoothera dauma,Zoothera dauma
Zoothera sibirica,Zoothera sibirica,2,NA,Zoothera sibirica,NA,NA,NA,Zoothera sibirica,Zoothera sibirica
Zosterops japonicus,Zosterops japonicus,2,NA,Zosterops japonicus,Zosterops japonicus,Zosterops japonicus,Zosterops japonicus,Zosterops japonicus,Zosterops japonicus
