scientificName
Dendrocolaptes certhia
Dicaeum australe
Dicaeum bicolor
Dicaeum cruentatum
Dicaeum erythrorhynchos
Dicaeum hypoleucum
Dicaeum nehrkorni
Dicaeum nitidum
Dicaeum pygmaeum
Dicaeum trigonostigma
Dicaeum tristrami
Dicaeum trochileum
Dicrurus menagei
Aethia pygmaea
Dichrozona cincta
Dicrurus andamanensis
Dicrurus atripennis
Dicrurus balicassius
Dicrurus caerulescens
Diglossa humeralis
Diglossa sittoides
Doliornis sclateri
Donacospiza albifrons
Drepanis pacifica
Drymodes brunneopygia
Drymophila ferruginea
Drymophila malura
Dryoscopus cubla
Dryoscopus gambensis
Dulus dominicus
Inezia inornata
Dysithamnus striaticeps
Dysmorodrepanis munroi
Elaenia cristata
Elaenia dayi
Inezia subflava
Elminia albonotata
Elaenia pelzelni
Elaenia spectabilis
Elminia nigromitrata
Emberiza affinis
Emberiza cabanisi
Inezia tenuirostris
Iodopleura fusca
Iodopleura isabellae
Euphagus cyanocephalus
Enicurus leschenaulti
Enicurus ruficapillus
Enicurus schistaceus
Epinecrophylla erythrura
Epthianura crocea
Eremomela scotops
Enicurus velatus
Eopsaltria australis
Eopsaltria griseogularis
Eremophila bilopha
Eremopterix griseus
Eremopterix leucopareia
Eremopterix verticalis
Erpornis zantholeuca
Estrilda poliopareia
Erythrura kleinschmidti
Erythrura papuana
Erythrura prasina
Estrilda charmosyna
Estrilda paludicola
Estrilda perreini
Estrilda rhodopyga
Estrilda rufibarba
Grus rubicunda
Eumyias sordidus
Euphonia cayennensis
Euphonia finschi
Euphonia fulvicrissa
Euphonia gouldi
Euplectes capensis
Euphonia jamaica
Euphonia luteicapilla
Euplectes gierowii
Euplectes macroura
Euphonia mesochrysa
Pterorhinus davidi
Eurocephalus anguitimens
Euryceros prevostii
Aquila rapax
Euryptila subcinnamomea
Euschistospiza cinereovinacea
Ficedula buruensis
Melanocichla lugubris
Aquila spilogaster
Ficedula nigrorufa
Geothlypis poliocephala
Geothlypis rostrata
Ficedula platenae
Ficedula timorensis
Ficedula zanthopygia
Formicarius colma
Aquila verreauxii
Formicarius rufifrons
Formicivora melanogaster
Fraseria ocreata
Aramides calopterus
Frederickena unduliger
Frederickena viridis
Furnarius torridus
Gampsorhynchus rufulus
Gerygone insularis
Gerygone levigaster
Aramides mangle
Garrulax annamensis
Oreoscoptes montanus
Garrulax ferrarius
Garrulax leucolophus
Ianthocincla lunulata
Garrulax merulinus
Garrulax milleti
Oreostruthus fuliginosus
Pterorhinus nuchalis
Pterorhinus pectoralis
Pterorhinus perspicillatus
Garrulus lanceolatus
Pterorhinus poecilorhynchus
Garrulax strepitans
Oriolus chlorocephalus
Aramides saracura
Aramides wolfi
Garrulax taewanus
Geositta tenuirostris
Geospiza fortis
Aramides ypecaha
Aramidopsis plateni
Gerygone fusca
Gerygone igata
Gerygone inornata
Gerygone olivacea
Gerygone palpebrosa
Gerygone tenebrosa
Grallaria albigula
Grallaria carrikeri
Grallaria chthonia
Grallaria eludens
Grallaria erythroleuca
Grallaria flavotincta
Grallaricula loricata
Grallaria watkinsi
Granatellus sallaei
Gubernetes yetapa
Gymnoderus foetidus
Helmitheros vermivorum
Haplospiza unicolor
Heleia crassirostris
Saxicola macrorhynchus
Hemitriccus minor
Hemitesia neumanni
Hemithraupis guira
Hemithraupis ruficapilla
Herpsilochmus longirostris
Vireo caribaeus
Heteromunia pectoralis
Herpsilochmus dugandi
Cercococcyx montanus
Tangara dowii
Heterocercus flavivertex
Heteromirafra ruddi
Heterophasia auricularis
Hirundo nigrita
Heterophasia picaoides
Heterospingus xanthopygius
Hirundo nigrorufa
Hyliota usambara
Hylophilus brunneiceps
Hylophylax naevius
Lophospingus pusillus
Hypocnemis subflava
Hypocnemoides maculicauda
Ceuthmochares aereus
Ceuthmochares australis
Hypergerus atriceps
Hypocnemis ochrogyna
Ceyx azureus
Hypositta corallirostris
Melanocorypha yeltoniensis
Hypsipetes crassirostris
Icterus auricapillus
Melanodera xanthogramma
Melanopareia elegans
Icterus bonana
Icterus cucullatus
Icterus gularis
Piranga ludoviciana
Aramus guarauna
Ceyx solitarius
Icterus graceannae
Icterus maculialatus
Icterus leucopteryx
Icterus melanopsis
Icterus mesomelas
Zosterops mouroniensis
Icterus pustulatus
Icterus pyrrhopterus
Aburria aburri
Icterus wagleri
Chaetura pelagica
Icterus portoricensis
Ilicura militaris
Illadopsis albipectus
Illadopsis pyrrhoptera
Incana incana
Incaspiza ortizi
Phylloscopus ricketti
Inezia caudata
Iodopleura pipra
Iole propinqua
Irania gutturalis
Irena cyanogastra
Iridophanes pulcherrimus
Iridosornis analis
Iridosornis jelskii
Ixos malaccensis
Junco vulcani
Kakamega poliothorax
Kenopia striata
Knipolegus cyanirostris
Kupeornis chapini
Ptiloprora mayri
Knipolegus hudsoni
Knipolegus poecilocercus
Ptiloprora meekiana
Knipolegus lophotes
Knipolegus striaticeps
Pycnonotus aurigaster
Pycnonotus blanfordi
