"","sp_atlas","Accepted_SPNAME","sp_sci_name"
"102","Aythya fuligula","Aythya fuligula","Aythya fuligula"
"103","Aythya marila","Aythya marila","Aythya marila"
"104","Aythya nyroca","Aythya nyroca","Aythya nyroca"
"105","Aythya valisineria","Aythya valisineria","Aythya valisineria"
"106","Baeolophus bicolor","Baeolophus bicolor","Baeolophus bicolor"
"107","Bambusicola thoracicus","Bambusicola thoracicus","Bambusicola sonorivox"
"108","Bambusicola thoracicus","Bambusicola thoracicus","Bambusicola thoracicus"
"109","Bartramia longicauda","Bartramia longicauda","Bartramia longicauda"
"110","Bombycilla cedrorum","Bombycilla cedrorum","Bombycilla cedrorum"
"111","Bombycilla garrulus","Bombycilla garrulus","Bombycilla garrulus"
"112","Bonasa bonasia","Tetrastes bonasia","Tetrastes bonasia"
"113","Bonasa umbellus","Bonasa umbellus","Bonasa umbellus"
"114","Botaurus lentiginosus","Botaurus lentiginosus","Botaurus lentiginosus"
"115","Botaurus stellaris","Botaurus stellaris","Botaurus stellaris"
"116","Branta bernicla","Branta bernicla","Branta bernicla"
"117","Branta canadensis","Branta canadensis","Branta canadensis"
"118","Branta leucopsis","Branta leucopsis","Branta leucopsis"
"119","Bubo bubo","Bubo bubo","Bubo bubo"
"120","Bubo scandiacus","Bubo scandiacus","Bubo scandiacus"
"121","Bubo virginianus","Bubo virginianus","Bubo virginianus"
"122","Bubulcus ibis","Bubulcus ibis","Bubulcus ibis"
"123","Bucanetes githagineus","Bucanetes githagineus","Bucanetes githagineus"
"124","Bucephala clangula","Bucephala clangula","Bucephala clangula"
"125","Bulweria bulwerii","Bulweria bulwerii","Bulweria bulwerii"
"126","Burhinus oedicnemus","Burhinus oedicnemus","Burhinus oedicnemus"
"127","Butastur indicus","Butastur indicus","Butastur indicus"
"128","Buteo buteo","Buteo buteo","Buteo buteo"
"129","Buteo jamaicensis","Buteo jamaicensis","Buteo jamaicensis"
"130","Buteo lagopus","Buteo lagopus","Buteo lagopus"
"131","Buteo lagopus","Buteo lagopus","Buteo plagiatus"
"132","Buteo lineatus","Buteo lineatus","Buteo lineatus"
"133","Buteo platypterus","Buteo platypterus","Buteo platypterus"
"134","Buteo rufinus","Buteo rufinus","Buteo rufinus"
"135","Buteo rufinus","Buteo rufinus","Buteo refectus"
"136","Butorides striata","Butorides striata","Butorides striata"
"137","Butorides virescens","Butorides virescens",NA
"138","Calandrella brachydactyla","Calandrella brachydactyla","Calandrella brachydactyla"
"139","Calcarius lapponicus","Calcarius lapponicus","Calcarius lapponicus"
"140","Calidris alpina","Calidris alpina","Calidris alpina"
"141","Calidris alpina","Calidris alpina","Calidris pugnax"
"142","Calidris falcinellus","Calidris fuscicollis","Calidris falcinellus"
"143","Calidris falcinellus","Calidris fuscicollis","Calidris fuscicollis"
"144","Calidris maritima","Calidris maritima","Calidris maritima"
"145","Calidris minuta","Calidris minuta","Calidris virgata"
"146","Calidris minuta","Calidris minuta","Calidris minuta"
"147","Calidris pugnax","Calidris alba","Calidris alba"
"148","Calidris temminckii","Calidris temminckii","Calidris temminckii"
"149","Calonectris borealis","Calonectris diomedea","Calonectris borealis"
"150","Calonectris borealis","Calonectris diomedea","Calonectris diomedea"
"151","Calonectris diomedea","Calonectris diomedea","Calonectris borealis"
"152","Calonectris diomedea","Calonectris diomedea","Calonectris diomedea"
"153","Calonectris leucomelas","Calonectris leucomelas","Calonectris leucomelas"
"154","Caprimulgus carolinensis","Antrostomus carolinensis","Antrostomus carolinensis"
"155","Caprimulgus europaeus","Caprimulgus europaeus","Caprimulgus europaeus"
"156","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus indicus"
"157","Caprimulgus ruficollis","Caprimulgus ruficollis","Caprimulgus ruficollis"
"158","Caprimulgus vociferus","Antrostomus vociferus","Antrostomus vociferus"
"159","Cardinalis cardinalis","Cardinalis cardinalis","Cardinalis cardinalis"
"160","Carduelis cannabina","Linaria cannabina","Linaria cannabina"
"161","Carduelis carduelis","Carduelis carduelis","Carduelis carduelis"
"162","Carduelis chloris","Chloris chloris","Chloris chloris"
"163","Carduelis citrinella","Carduelis citrinella","Carduelis citrinella"
"164","Carduelis flammea","Acanthis flammea","Acanthis flammea"
"165","Carduelis spinus","Spinus spinus","Spinus spinus"
"166","Carpodacus erythrinus","Carpodacus erythrinus","Carpodacus erythrinus"
"167","Carpodacus mexicanus","Haemorhous mexicanus","Haemorhous mexicanus"
"168","Carpodacus purpureus","Haemorhous purpureus","Haemorhous purpureus"
"169","Catharacta skua","Stercorarius skua","Catharacta skua"
"170","Cathartes aura","Cathartes aura","Cathartes aura"
"171","Catharus bicknelli","Catharus bicknelli","Catharus bicknelli"
"172","Catharus fuscescens","Catharus fuscescens","Catharus fuscescens"
"173","Catharus guttatus","Catharus guttatus","Catharus guttatus"
"174","Catharus ustulatus","Catharus ustulatus","Catharus maculatus"
"175","Catharus ustulatus","Catharus ustulatus","Catharus ustulatus"
"176","Cecropis daurica","Cecropis daurica","Cecropis daurica"
"177","Cepphus carbo","Cepphus carbo","Cepphus carbo"
"178","Cepphus grylle","Cepphus grylle","Cepphus grylle"
"179","Cercotrichas galactotes","Erythropygia galactotes","Cercotrichas galactotes"
"180","Cerorhinca monocerata","Cerorhinca monocerata","Cerorhinca monocerata"
"181","Certhia americana","Certhia americana","Certhia americana"
"182","Certhia brachydactyla","Certhia brachydactyla","Certhia brachydactyla"
"183","Certhia familiaris","Certhia familiaris","Certhia familiaris"
"184","Cettia cetti","Cettia cetti","Cettia cetti"
"185","Cettia diphone","Horornis diphone","Horornis diphone"
"186","Chaetura pelagica","Chaetura pelagica","Hirundo javanica"
"187","Chaetura pelagica","Chaetura pelagica","Chaetura pelagica"
"188","Chalcophaps indica","Chalcophaps indica","Chalcophaps indica"
"189","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius alexandrinus"
"190","Charadrius dubius","Charadrius dubius","Charadrius dubius"
"191","Charadrius hiaticula","Charadrius hiaticula","Charadrius hiaticula"
"192","Charadrius melodus","Charadrius melodus","Charadrius melodus"
"193","Charadrius morinellus","Charadrius morinellus","Eudromias morinellus"
"194","Charadrius placidus","Charadrius placidus","Charadrius placidus"
"195","Charadrius vociferus","Charadrius vociferus","Charadrius vociferus"
"196","Chersophilus duponti","Chersophilus duponti","Chersophilus duponti"
"197","Chlidonias hybrida","Chlidonias hybrida","Chlidonias hybrida"
"198","Chlidonias leucopterus","Chlidonias leucopterus","Chlidonias leucopterus"
"199","Chlidonias niger","Chlidonias niger","Chlidonias niger"
"200","Chloris chloris","Chloris chloris","Chloris chloris"
"201","Chloris sinica","Chloris sinica","Chloris sinica"
"202","Chordeiles minor","Chordeiles minor","Chordeiles minor"
"203","Ciconia ciconia","Ciconia ciconia","Ciconia microscelis"
"204","Ciconia ciconia","Ciconia ciconia","Ciconia ciconia"
"205","Ciconia nigra","Ciconia nigra","Ciconia nigra"
"206","Cinclus cinclus","Cinclus cinclus","Cinclus cinclus"
"207","Cinclus pallasii","Cinclus pallasii","Cinclus pallasii"
"208","Circaetus gallicus","Circaetus gallicus","Circaetus gallicus"
"209","Circus aeruginosus","Circus aeruginosus","Circus aeruginosus"
"210","Circus cyaneus","Circus cyaneus","Circus cyaneus"
"211","Circus macrourus","Circus macrourus","Circus macrourus"
"212","Circus pygargus","Circus pygargus","Circus pygargus"
"213","Circus spilonotus","Circus spilonotus","Circus spilonotus"
"214","Cisticola juncidis","Cisticola juncidis","Cisticola juncidis"
"215","Cistothorus palustris","Cistothorus palustris","Cistothorus palustris"
"216","Cistothorus platensis","Cistothorus platensis","Cistothorus platensis"
"217","Clamator glandarius","Clamator glandarius","Clamator glandarius"
"218","Clangula hyemalis","Clangula hyemalis","Clangula hyemalis"
"219","Coccothraustes coccothraustes","Coccothraustes coccothraustes","Coccothraustes coccothraustes"
"220","Coccothraustes vespertinus","Hesperiphona vespertina","Hesperiphona vespertina"
"221","Coccyzus americanus","Coccyzus americanus","Coccyzus americanus"
"222","Coccyzus erythropthalmus","Coccyzus erythropthalmus","Coccyzus erythropthalmus"
"223","Colaptes auratus","Colaptes auratus","Colaptes cafer"
"224","Colaptes auratus","Colaptes auratus","Colaptes auratus"
"225","Colinus virginianus","Colinus virginianus","Colinus virginianus"
"226","Columba janthina","Columba janthina","Columba janthina"
"227","Columba livia","Columba livia","Columba livia"
"228","Columba oenas","Columba oenas","Columba oenas"
"229","Columba palumbus","Columba palumbus","Columba palumbus"
"230","Contopus cooperi","Contopus cooperi","Contopus cooperi"
"231","Contopus virens","Contopus virens","Contopus virens"
"232","Coracias garrulus","Coracias garrulus","Coracias garrulus"
"233","Corvus brachyrhynchos","Corvus brachyrhynchos","Corvus brachyrhynchos"
"234","Corvus corax","Corvus corax","Corvus corax"
"235","Corvus corone","Corvus corone","Corvus corone"
"236","Corvus frugilegus","Corvus frugilegus","Corvus frugilegus"
"237","Corvus macrorhynchos","Corvus macrorhynchos","Corvus macrorhynchos"
"238","Corvus monedula","Coloeus monedula","Corvus monedula"
"239","Corvus ossifragus","Corvus ossifragus","Corvus ossifragus"
"240","Coturnix coturnix","Coturnix coturnix","Coturnix coturnix"
"241","Crex crex","Crex crex","Crex crex"
"242","Cuculus canorus","Cuculus canorus","Cuculus canorus"
"243","Cuculus micropterus","Cuculus micropterus","Cuculus micropterus"
"244","Cuculus optatus","Cuculus optatus","Cuculus optatus"
"245","Cuculus poliocephalus","Cuculus poliocephalus","Cuculus poliocephalus"
"246","Cyanistes caeruleus","Cyanistes caeruleus","Cyanistes caeruleus"
"247","Cyanistes cyanus","Cyanistes cyanus","Cyanistes cyanus"
"248","Cyanocitta cristata","Cyanocitta cristata","Cyanocitta cristata"
"249","Cyanopica cooki","Cyanopica cooki","Cyanopica cooki"
"250","Cyanopica cyanus","Cyanopica cyanus","Cyanopica cyanus"
"251","Cyanoptila cyanomelana","Cyanoptila cyanomelana","Cyanoptila cyanomelana"
"252","Cygnus cygnus","Cygnus cygnus","Cygnus cygnus"
"253","Cygnus olor","Cygnus olor","Cygnus olor"
"254","Delichon dasypus","Delichon dasypus","Delichon lagopodum"
"255","Delichon dasypus","Delichon dasypus","Delichon dasypus"
"256","Delichon urbica","Delichon urbicum","Delichon urbicum"
"257","Delichon urbicum","Delichon urbicum","Delichon urbicum"
"258","Dendrocopos kizuki","Yungipicus kizuki",NA
"259","Dendrocopos leucotos","Dendrocopos leucotos","Dendrocopos leucotos"
"260","Dendrocopos major","Dendrocopos major","Dendrocopos major"
"261","Dendrocopos medius","Dendrocoptes medius",NA
"262","Dendrocopos minor","Dryobates minor","Dendrocopos owstoni"
"263","Dendrocopos minor","Dryobates minor","Dryobates minor"
"264","Dendrocopos syriacus","Dendrocopos syriacus","Dendrocopos syriacus"
"265","Dendroica caerulescens","Setophaga caerulescens","Setophaga caerulescens"
"266","Dendroica castanea","Setophaga castanea","Setophaga castanea"
"267","Dendroica cerulea","Setophaga cerulea","Setophaga cerulea"
"268","Dendroica coronata","Setophaga coronata","Setophaga coronata"
"269","Dendroica discolor","Setophaga discolor","Setophaga discolor"
"270","Dendroica dominica","Setophaga dominica","Setophaga dominica"
"271","Dendroica fusca","Setophaga fusca","Setophaga fusca"
"272","Dendroica magnolia","Setophaga magnolia","Setophaga magnolia"
"273","Dendroica palmarum","Setophaga palmarum","Setophaga palmarum"
"274","Dendroica pensylvanica","Setophaga pensylvanica","Setophaga pensylvanica"
"275","Dendroica petechia","Setophaga petechia","Setophaga petechia"
"276","Dendroica pinus","Setophaga pinus","Setophaga pinus"
"277","Dendroica striata","Setophaga striata","Setophaga striata"
"278","Dendroica tigrina","Setophaga tigrina","Setophaga tigrina"
"279","Dendroica virens","Setophaga virens","Setophaga virens"
