"","sp_atlas","Accepted_SPNAME","sp_sci_name"
"421","Iduna pallida","Iduna pallida","Iduna pallida"
"422","Ixobrychus cinnamomeus","Ixobrychus cinnamomeus","Ixobrychus cinnamomeus"
"423","Ixobrychus exilis","Ixobrychus exilis","Ixobrychus exilis"
"424","Ixobrychus minutus","Ixobrychus minutus","Ixobrychus minutus"
"425","Ixobrychus sinensis","Ixobrychus sinensis","Ixobrychus sinensis"
"426","Junco hyemalis","Junco hyemalis","Junco hyemalis"
"427","Jynx torquilla","Jynx torquilla","Jynx torquilla"
"428","Lagopus lagopus","Lagopus lagopus","Lagopus lagopus"
"429","Lagopus muta","Lagopus muta","Lagopus muta"
"430","Lanius bucephalus","Lanius bucephalus","Lanius bucephalus"
"431","Lanius collurio","Lanius collurio","Lanius collurio"
"432","Lanius cristatus","Lanius cristatus","Lanius cristatus"
"433","Lanius excubitor","Lanius excubitor","Lanius excubitor"
"434","Lanius ludovicianus","Lanius ludovicianus","Lanius ludovicianus"
"435","Lanius meridionalis","Lanius meridionalis","Lanius meridionalis"
"436","Lanius minor","Lanius minor","Lalage minor"
"437","Lanius minor","Lanius minor","Lanius minor"
"438","Lanius nubicus","Lanius nubicus","Lanius nubicus"
"439","Lanius senator","Lanius senator","Lanius senator"
"440","Lanius tigrinus","Lanius tigrinus","Lanius giganteus"
"441","Lanius tigrinus","Lanius tigrinus","Lanius tigrinus"
"442","Larus argentatus","Larus argentatus","Larus argentatus"
"443","Larus audouinii","Ichthyaetus audouinii","Larus audouinii"
"444","Larus cachinnans","Larus cachinnans","Larus cachinnans"
"445","Larus canus","Larus canus","Larus canus"
"446","Larus crassirostris","Larus crassirostris","Larus crassirostris"
"447","Larus delawarensis","Larus delawarensis","Larus delawarensis"
"448","Larus fuscus","Larus fuscus","Larus fuscus"
"449","Larus genei","Chroicocephalus genei","Larus genei"
"450","Larus hyperboreus","Larus hyperboreus","Larus hyperboreus"
"451","Larus ichthyaetus","Ichthyaetus ichthyaetus","Larus ichthyaetus"
"452","Larus marinus","Larus marinus","Larus marinus"
"453","Larus melanocephalus","Ichthyaetus melanocephalus","Larus melanocephalus"
"454","Larus michahellis","Larus michahellis","Larus michahellis"
"455","Larus ridibundus","Chroicocephalus ridibundus","Larus ridibundus"
"456","Larus schistisagus","Larus schistisagus","Larus schistisagus"
"457","Laterallus jamaicensis","Laterallus jamaicensis","Laterallus jamaicensis"
"458","Leiopicus medius","Leiopicus mahrattensis","Leiopicus auriceps"
"459","Leiopicus medius","Leiopicus mahrattensis","Leiopicus mahrattensis"
"460","Leiopicus medius","Leiopicus mahrattensis","Leiopicus medius"
"461","Leiothrix lutea","Leiothrix lutea","Leiothrix laurinae"
"462","Leiothrix lutea","Leiothrix lutea","Leiothrix lutea"
"463","Leucophaeus atricilla","Leucophaeus atricilla","Larus atricilla"
"464","Limosa lapponica","Limosa lapponica","Limosa lapponica"
"465","Limosa limosa","Limosa limosa","Limosa limosa"
"466","Linaria cannabina","Linaria cannabina","Linaria cannabina"
"467","Linaria flavirostris","Linaria flavirostris","Linaria flavirostris"
"468","Locustella fasciolata","Locustella fasciolata",NA
"469","Locustella fluviatilis","Locustella fluviatilis","Locustella fluviatilis"
"470","Locustella lanceolata","Locustella lanceolata","Locustella lanceolata"
"471","Locustella luscinioides","Locustella luscinioides","Locustella luscinioides"
"472","Locustella naevia","Locustella naevia","Locustella naevia"
"473","Locustella ochotensis","Locustella ochotensis",NA
"474","Locustella pleskei","Locustella pleskei","Locustella alfredi"
"475","Locustella pryeri","Locustella pryeri",NA
"476","Lonchura punctulata","Lonchura punctulata","Lonchura punctulata"
"477","Lophodytes cucullatus","Lophodytes cucullatus","Lophodytes cucullatus"
"478","Lophophanes cristatus","Lophophanes cristatus","Lophophanes cristatus"
"479","Loxia curvirostra","Loxia curvirostra","Loxia curvirostra"
"480","Loxia leucoptera","Loxia leucoptera","Loxia leucoptera"
"481","Loxia pytyopsittacus","Loxia pytyopsittacus","Loxia pytyopsittacus"
"482","Lullula arborea","Lullula arborea","Lullula arborea"
"483","Luscinia akahige","Luscinia cyane",NA
"484","Luscinia calliope","Luscinia calliope",NA
"485","Luscinia cyane","Luscinia cyane",NA
"486","Luscinia komadori","Luscinia obscura",NA
"487","Luscinia luscinia","Luscinia luscinia","Luscinia luscinia"
"488","Luscinia megarhynchos","Luscinia megarhynchos","Luscinia megarhynchos"
"489","Luscinia svecica","Luscinia svecica","Luscinia svecica"
"490","Lymnocryptes minimus","Lymnocryptes minimus","Lymnocryptes minimus"
"491","Lyrurus tetrix","Lyrurus tetrix","Lyrurus tetrix"
"492","Mareca penelope","Anas americana","Mareca americana"
"493","Mareca penelope","Anas americana","Mareca falcata"
"494","Mareca penelope","Anas americana","Mareca penelope"
"495","Mareca penelope","Anas americana","Mareca sibilatrix"
"496","Mareca penelope","Anas americana","Mareca strepera"
"497","Mareca strepera","Anas americana","Mareca americana"
"498","Mareca strepera","Anas americana","Mareca falcata"
"499","Mareca strepera","Anas americana","Mareca penelope"
"500","Mareca strepera","Anas americana","Mareca sibilatrix"
"501","Mareca strepera","Anas americana","Mareca strepera"
"502","Marmaronetta angustirostris","Marmaronetta angustirostris","Marmaronetta angustirostris"
"503","Megaceryle alcyon","Megaceryle alcyon","Megaceryle alcyon"
"504","Megaceryle lugubris","Megaceryle lugubris","Megaceryle lugubris"
"505","Megascops asio","Megascops asio","Megascops asio"
"506","Melanerpes carolinus","Melanerpes carolinus","Melanerpes carolinus"
"507","Melanerpes erythrocephalus","Melanerpes erythrocephalus","Melanerpes erythrocephalus"
"508","Melanitta fusca","Melanitta fusca","Melanitta fusca"
"509","Melanitta nigra","Melanitta nigra","Melanitta nigra"
"510","Melanitta nigra","Melanitta nigra","Melanitta stejnegeri"
"511","Melanocorypha calandra","Melanocorypha calandra","Melanocorypha calandra"
"512","Meleagris gallopavo","Meleagris gallopavo","Meleagris gallopavo"
"513","Melospiza georgiana","Melospiza georgiana","Melospiza georgiana"
"514","Melospiza lincolnii","Melospiza lincolnii","Melospiza lincolnii"
"515","Melospiza melodia","Melospiza melodia","Melospiza melodia"
"516","Mergellus albellus","Mergellus albellus","Mergellus albellus"
"517","Mergus merganser","Mergus merganser","Mergus merganser"
"518","Mergus serrator","Mergus serrator","Mergus serrator"
"519","Merops apiaster","Merops apiaster","Merops apiaster"
"520","Microcarbo pygmaeus","Microcarbo pygmeus","Microcarbo pygmaeus"
"521","Miliaria calandra","Emberiza calandra","Emberiza calandra"
"522","Milvus migrans","Milvus migrans","Milvus migrans"
"523","Milvus milvus","Milvus milvus","Milvus milvus"
"524","Mimus polyglottos","Mimus polyglottos","Mimus polyglottos"
"525","Mniotilta varia","Mniotilta varia","Mniotilta varia"
"526","Molothrus ater","Molothrus ater","Molothrus armenti"
"527","Molothrus ater","Molothrus ater","Molothrus ater"
"528","Monticola saxatilis","Monticola saxatilis","Monticola saxatilis"
"529","Monticola solitarius","Monticola solitarius","Monticola solitarius"
"530","Montifringilla nivalis","Montifringilla nivalis","Montifringilla nivalis"
"531","Morus bassanus","Morus bassanus","Morus bassanus"
"532","Motacilla alba","Motacilla alba","Motacilla alba"
"533","Motacilla cinerea","Motacilla cinerea","Motacilla cinerea"
"534","Motacilla citreola","Motacilla citreola","Motacilla citreola"
"535","Motacilla flava","Motacilla flava","Motacilla flava"
"536","Motacilla grandis","Motacilla grandis","Motacilla grandis"
"537","Muscicapa dauurica","Muscicapa latirostris","Muscicapa dauurica"
"538","Muscicapa sibirica","Muscicapa sibirica","Muscicapa sibirica"
"539","Muscicapa striata","Muscicapa striata","Muscicapa striata"
"540","Myiarchus crinitus","Myiarchus crinitus","Myiarchus crinitus"
"541","Myiopsitta monachus","Myiopsitta monachus","Myiopsitta monachus"
"542","Neophron percnopterus","Neophron percnopterus","Neophron percnopterus"
"543","Netta rufina","Netta rufina","Netta rufina"
"544","Ninox scutulata","Ninox scutulata","Ninox scutulata"
"545","Nisaetus nipalensis","Nisaetus nipalensis","Nisaetus nipalensis"
"546","Nucifraga caryocatactes","Nucifraga caryocatactes","Nucifraga caryocatactes"
"547","Numenius arquata","Numenius arquata","Numenius arquata"
"548","Numenius phaeopus","Numenius phaeopus","Numenius phaeopus"
"549","Nyctanassa violacea","Nyctanassa violacea","Nyctanassa violacea"
"550","Nycticorax nycticorax","Nycticorax nycticorax","Nycticorax nycticorax"
"551","Oenanthe hispanica","Oenanthe hispanica","Oenanthe hispanica"
"552","Oenanthe isabellina","Oenanthe isabellina","Oenanthe isabellina"
"553","Oenanthe leucura","Oenanthe leucura","Oenanthe leucura"
"554","Oenanthe oenanthe","Oenanthe oenanthe","Oenanthe oenanthe"
"555","Oenanthe pleschanka","Oenanthe pleschanka","Oenanthe pleschanka"
"556","Oporornis formosus","Geothlypis formosa","Geothlypis formosa"
"557","Oporornis philadelphia","Geothlypis philadelphia","Geothlypis philadelphia"
"558","Oriolus oriolus","Oriolus oriolus","Oriolus oriolus"
"559","Otis tarda","Otis tarda","Otis tarda"
"560","Otus elegans","Otus elegans","Otus elegans"
"561","Otus lempiji","Otus lempiji","Otus lempiji"
"562","Otus scops","Otus scops","Otus scops"
"563","Otus sunia","Otus sunia","Otus sunia"
"564","Oxyura jamaicensis","Oxyura jamaicensis","Oxyura jamaicensis"
"565","Oxyura leucocephala","Oxyura leucocephala","Oxyura leucocephala"
"566","Pandion haliaetus","Pandion haliaetus","Pandion haliaetus"
"567","Panurus biarmicus","Panurus biarmicus","Panurus biarmicus"
"568","Parula americana","Setophaga americana","Setophaga americana"
"569","Parus ater","Parus afer",NA
"570","Parus caeruleus","Elanus caeruleus","Elanus caeruleus"
"571","Parus cristatus","Lanius cristatus","Lanius cristatus"
"572","Parus major","Parus major","Parus major"
"573","Parus minor","Parus minor",NA
"574","Parus montanus","Passer montanus","Passer cinnamomeus"
"575","Parus montanus","Passer montanus","Passer montanus"
"576","Parus palustris","Parus holsti",NA
"577","Passer domesticus","Passer domesticus","Passer domesticus"
"578","Passer hispaniolensis","Passer hispaniolensis","Passer hispaniolensis"
"579","Passer italiae","Passer italiae","Passer italiae"
"580","Passer montanus","Passer montanus","Passer cinnamomeus"
"581","Passer montanus","Passer montanus","Passer montanus"
"582","Passer rutilans","Passer rutilans",NA
"583","Passerculus sandwichensis","Passerculus sandwichensis","Passerculus sandwichensis"
"584","Passerina caerulea","Passerina caerulea","Passerina caerulea"
"585","Passerina cyanea","Passerina cyanea","Passerina cyanea"
"586","Pastor roseus","Pastor roseus","Pastor roseus"
"587","Pelecanus crispus","Pelecanus crispus","Pelecanus crispus"
"588","Pelecanus onocrotalus","Pelecanus onocrotalus","Pelecanus onocrotalus"
"589","Perdix perdix","Perdix perdix","Perdix perdix"
"590","Pericrocotus divaricatus","Pericrocotus divaricatus","Pericrocotus divaricatus"
"591","Periparus ater","Periparus ater","Periparus ater"
"592","Perisoreus canadensis","Perisoreus canadensis","Perisoreus canadensis"
"593","Perisoreus infaustus","Perisoreus infaustus","Perisoreus infaustus"
"594","Pernis apivorus","Pernis apivorus","Pernis apivorus"
"595","Pernis ptilorhynchus","Pernis ptilorhynchus","Pernis ptilorhynchus"
"596","Petrochelidon pyrrhonota","Petrochelidon pyrrhonota","Petrochelidon pyrrhonota"
"597","Petronia petronia","Petronia petronia","Petronia petronia"
"598","Phalacrocorax auritus","Phalacrocorax auritus",NA
"599","Phalacrocorax capillatus","Phalacrocorax capillatus","Phalacrocorax capillatus"
"600","Phalacrocorax carbo","Phalacrocorax carbo","Phalacrocorax carbo"
"601","Phalacrocorax pelagicus","Phalacrocorax pelagicus",NA
"602","Phalaropus fulicarius","Phalaropus fulicarius","Phalaropus fulicarius"
"603","Phalaropus lobatus","Phalaropus lobatus","Phalaropus lobatus"
"604","Phasianus colchicus","Phasianus colchicus","Phasianus colchicus"
"605","Pheucticus ludovicianus","Pheucticus ludovicianus","Pheucticus ludovicianus"
"606","Phoenicopterus roseus","Phoenicopterus roseus","Phoenicopterus roseus"
"607","Phoenicurus auroreus","Phoenicurus auroreus","Phoenicurus fuliginosus"
"608","Phoenicurus auroreus","Phoenicurus auroreus","Phoenicurus auroreus"
"609","Phoenicurus ochruros","Phoenicurus ochruros","Phoenicurus ochruros"
"610","Phoenicurus phoenicurus","Phoenicurus phoenicurus","Phoenicurus phoenicurus"
"611","Phylloscopus bonelli","Phylloscopus bonelli","Phylloscopus bonelli"
"612","Phylloscopus borealis","Phylloscopus borealis","Phylloscopus borealis"
"613","Phylloscopus borealoides","Phylloscopus borealoides","Phylloscopus borealoides"
"614","Phylloscopus collybita","Phylloscopus collybita","Phylloscopus collybita"
"615","Phylloscopus coronatus","Phylloscopus coronatus","Phylloscopus coronatus"
"616","Phylloscopus ijimae","Phylloscopus ijimae","Phylloscopus ijimae"
"617","Phylloscopus orientalis","Phylloscopus orientalis","Phylloscopus orientalis"
"618","Phylloscopus sibilatrix","Phylloscopus sibillatrix","Phylloscopus sibilatrix"
"619","Phylloscopus trochiloides","Phylloscopus trochiloides","Phylloscopus trochiloides"
"620","Phylloscopus trochilus","Phylloscopus trochilus","Phylloscopus grammiceps"
"621","Phylloscopus trochilus","Phylloscopus trochilus","Phylloscopus trochilus"
"622","Phylloscopus trochilus","Phylloscopus trochilus","Phylloscopus nesophilus"
"623","Phylloscopus xanthodryas","Phylloscopus xanthodryas","Phylloscopus xanthodryas"
"624","Pica pica","Pica pica","Pica pica"
"625","Picoides arcticus","Picoides arcticus","Picoides arcticus"
"626","Picoides arcticus","Picoides arcticus","Picoides canicapillus"
"627","Picoides dorsalis","Picoides dorsalis","Picoides ramsayi"
"628","Picoides pubescens","Dryobates pubescens","Dryobates pubescens"
"629","Picoides pubescens","Dryobates pubescens","Picoides moluccensis"
"630","Picoides tridactylus","Picoides tridactylus","Picoides tridactylus"
"631","Picoides villosus","Leuconotopicus villosus","Leuconotopicus villosus"
"632","Picus awokera","Picus awokera","Picus awokera"
"633","Picus canus","Picus canus","Picus canus"
"634","Picus sharpei","Picus sharpei","Picus sharpei"
"635","Picus viridis","Picus viridis","Picus guerini"
"636","Picus viridis","Picus viridis","Picus viridis"
"637","Pinicola enucleator","Pinicola enucleator","Pinicola enucleator"
"638","Pipilo erythrophthalmus","Pipilo erythrophthalmus","Pipilo erythrophthalmus"
"639","Piranga olivacea","Piranga olivacea","Piranga olivacea"
"640","Piranga rubra","Piranga rubra","Piranga rubra"
"641","Pitta nympha","Pitta nympha","Pitta nympha"
"642","Platalea leucorodia","Platalea leucorodia","Platalea leucorodia"
"643","Plectrophenax nivalis","Plectrophenax nivalis","Plectrophenax nivalis"
"644","Plegadis falcinellus","Plegadis falcinellus","Plegadis falcinellus"
"645","Pluvialis apricaria","Pluvialis apricaria","Pluvialis apricaria"
"646","Podiceps auritus","Podiceps auritus","Podiceps auritus"
"647","Podiceps cristatus","Podiceps cristatus","Podiceps cristatus"
"648","Podiceps grisegena","Podiceps grisegena","Podiceps grisegena"
"649","Podiceps nigricollis","Podiceps nigricollis","Podiceps nigricollis"
"650","Podilymbus podiceps","Podilymbus podiceps","Podilymbus podiceps"
"651","Poecile atricapillus","Poecile atricapillus","Poecile atricapillus"
"652","Poecile cinctus","Poecile cinctus","Poecile cinctus"
"653","Poecile hudsonicus","Poecile hudsonicus","Poecile hudsonicus"
"654","Poecile lugubris","Poecile lugubris","Poecile lugubris"
"655","Poecile montanus","Poecile montanus","Poecile montanus"
"656","Poecile montanus","Poecile montanus","Poecile hyrcanus"
"657","Poecile palustris","Poecile palustris","Poecile palustris"
"658","Poecile varius","Poecile varius",NA
"659","Polioptila caerulea","Polioptila caerulea","Polioptila caerulea"
"660","Pooecetes gramineus","Pooecetes gramineus","Pooecetes gramineus"
"661","Pooecetes gramineus","Pooecetes gramineus","Poodytes gramineus"
"662","Porphyrio porphyrio","Porphyrio porphyrio","Porphyrio porphyrio"
"663","Porzana carolina","Porzana carolina","Porzana carolina"
"664","Porzana fusca","Porzana fusca","Porzana fasciata"
"665","Porzana parva","Porzana parva",NA
"666","Porzana porzana","Porzana porzana","Porzana porzana"
"667","Progne subis","Progne subis","Progne subis"
"668","Protonotaria citrea","Protonotaria citrea","Protonotaria citrea"
"669","Prunella collaris","Prunella collaris","Prunella collaris"
"670","Prunella modularis","Prunella modularis","Prunella modularis"
"671","Prunella rubida","Prunella rubida","Prunella rubida"
"672","Psittacula krameri","Psittacula krameri",NA
"673","Pterocles alchata","Pterocles alchata","Pterocles alchata"
"674","Pterocles orientalis","Pterocles orientalis","Pterocles orientalis"
"675","Ptyonoprogne rupestris","Ptyonoprogne rupestris","Ptyonoprogne rupestris"
"676","Puffinus lherminieri","Puffinus lherminieri","Puffinus lherminieri"
"677","Puffinus mauretanicus","Puffinus mauretanicus","Puffinus mauretanicus"
"678","Puffinus puffinus","Puffinus puffinus","Puffinus puffinus"
"679","Puffinus yelkouan","Puffinus yelkouan","Puffinus elegans"
"680","Puffinus yelkouan","Puffinus yelkouan","Puffinus yelkouan"
"681","Pycnonotus sinensis","Pycnonotus sinensis","Pycnonotus sinensis"
"682","Pyrrhocorax graculus","Pyrrhocorax graculus","Pyrrhocorax graculus"
"683","Pyrrhocorax pyrrhocorax","Pyrrhocorax pyrrhocorax","Pyrrhocorax pyrrhocorax"
"684","Pyrrhula pyrrhula","Pyrrhula pyrrhula","Pyrrhula pyrrhula"
"685","Quiscalus major","Quiscalus major","Quiscalus major"
"686","Quiscalus quiscula","Quiscalus quiscula","Quiscalus quiscula"
"687","Rallina eurizonoides","Rallina eurizonoides","Rallina eurizonoides"
"688","Rallus aquaticus","Rallus aquaticus","Rallus aquaticus"
"689","Rallus elegans","Rallus elegans","Rallus elegans"
"690","Rallus elegans","Rallus elegans","Rallus crepitans"
"691","Rallus limicola","Rallus limicola","Rallus limicola"
"692","Rallus longirostris","Rallus longirostris","Rallus longirostris"
"693","Rallus longirostris","Rallus longirostris","Rallus tenuirostris"
"694","Recurvirostra avosetta","Recurvirostra avosetta","Recurvirostra avosetta"
"695","Regulus calendula","Regulus calendula",NA
"696","Regulus ignicapilla","Regulus ignicapilla","Regulus ignicapilla"
"697","Regulus ignicapillus","Regulus ignicapilla","Regulus ignicapilla"
"698","Regulus regulus","Regulus regulus","Regulus regulus"
"699","Regulus satrapa","Regulus satrapa","Regulus satrapa"
"700","Remiz pendulinus","Remiz pendulinus","Remiz pendulinus"
"701","Riparia riparia","Riparia riparia","Riparia riparia"
"702","Rissa tridactyla","Rissa tridactyla","Rissa tridactyla"
"703","Rostratula benghalensis","Rostratula benghalensis","Rostratula benghalensis"
"704","Rynchops niger","Rynchops niger","Rynchops niger"
"705","Sapheopipo noguchii","Dendrocopos noguchii","Dendrocopos noguchii"
"706","Saxicola rubetra","Saxicola rubetra","Saxicola rubetra"
"707","Saxicola torquata","Saxicola torquatus","Saxicola torquatus"
"708","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus"
"709","Sayornis phoebe","Sayornis phoebe","Sayornis phoebe"
"710","Scolopax minor","Scolopax minor","Scolopax minor"
"711","Scolopax rusticola","Scolopax rusticola","Scolopax rusticola"
"712","Seiurus aurocapilla","Seiurus aurocapilla","Seiurus aurocapilla"
"713","Seiurus motacilla","Parkesia motacilla","Parkesia motacilla"
"714","Seiurus noveboracensis","Parkesia noveboracensis","Parkesia noveboracensis"
"715","Serinus serinus","Serinus serinus","Serinus serinus"
"716","Setophaga ruticilla","Setophaga ruticilla","Setophaga ruticilla"
"717","Sialia sialis","Sialia sialis","Sialia sialis"
"718","Sitta canadensis","Sitta canadensis","Sitta canadensis"
"719","Sitta carolinensis","Sitta carolinensis","Sitta carolinensis"
"720","Sitta europaea","Sitta europaea","Sitta europaea"
"721","Sitta neumayer","Sitta neumayer","Sitta neumayer"
"722","Somateria mollissima","Somateria mollissima","Somateria mollissima"
"723","Somateria spectabilis","Somateria spectabilis","Somateria spectabilis"
"724","Sphyrapicus varius","Sphyrapicus varius","Sphyrapicus varius"
"725","Spilopelia senegalensis","Spilopelia senegalensis","Spilopelia suratensis"
"726","Spilopelia senegalensis","Spilopelia senegalensis","Spilopelia senegalensis"
"727","Spilornis cheela","Spilornis cheela","Spilornis cheela"
"728","Spinus pinus","Spinus pinus","Spinus pinus"
"729","Spinus spinus","Spinus spinus","Spinus spinus"
"730","Spinus tristis","Spinus tristis","Spinus tristis"
"731","Spiza americana","Spiza americana","Spiza americana"
"732","Spizella pallida","Spizella pallida","Spizella pallida"
"733","Spizella passerina","Spizella passerina","Spizella passerina"
"734","Spizella pusilla","Spizella pusilla","Spizella pusilla"
"735","Spodiopsar cineraceus","Spodiopsar cineraceus","Spodiopsar cineraceus"
"736","Stelgidopteryx serripennis","Stelgidopteryx serripennis","Stelgidopteryx serripennis"
"737","Stercorarius longicaudus","Stercorarius longicaudus","Stercorarius longicaudus"
"738","Stercorarius parasiticus","Stercorarius parasiticus","Stercorarius parasiticus"
"739","Sterna albifrons","Sternula albifrons","Sternula albifrons"
"740","Sterna dougallii","Sterna dougallii","Sterna dougallii"
"741","Sterna forsteri","Sterna forsteri","Sterna forsteri"
"742","Sterna hirundo","Sterna hirundo","Sterna hirundo"
"743","Sterna paradisaea","Sterna paradisaea","Sterna paradisaea"
"744","Sterna sumatrana","Sterna sumatrana","Sterna sumatrana"
"745","Sternula albifrons","Sternula albifrons","Sternula albifrons"
"746","Sternula antillarum","Sternula antillarum","Sternula antillarum"
"747","Streptopelia decaocto","Streptopelia decaocto","Streptopelia decaocto"
"748","Streptopelia orientalis","Streptopelia orientalis","Streptopelia orientalis"
"749","Streptopelia turtur","Streptopelia turtur","Streptopelia turtur"
"750","Strix aluco","Strix aluco","Strix aluco"
"751","Strix nebulosa","Strix nebulosa","Strix nebulosa"
"752","Strix uralensis","Strix uralensis","Strix uralensis"
"753","Strix varia","Strix varia","Strix varia"
"754","Sturnella magna","Sturnella magna","Sturnella magna"
"755","Sturnella neglecta","Sturnella neglecta","Sturnella neglecta"
"756","Sturnus unicolor","Sturnus unicolor","Sturnus unicolor"
"757","Sturnus vulgaris","Sturnus vulgaris","Sturnus vulgaris"
"758","Sula leucogaster","Sula leucogaster","Sula leucogaster"
"759","Surnia ulula","Surnia ulula","Surnia ulula"
"760","Sylvia atricapilla","Sylvia atricapilla","Sylvia nigricapillus"
"761","Sylvia atricapilla","Sylvia atricapilla","Sylvia atricapilla"
"762","Sylvia borin","Sylvia borin","Sylvia dohrni"
"763","Sylvia borin","Sylvia borin","Sylvia borin"
"764","Sylvia cantillans","Sylvia cantillans",NA
"765","Sylvia communis","Sylvia communis",NA
"766","Sylvia conspicillata","Sylvia conspicillata",NA
"767","Sylvia crassirostris","Sylvia crassirostris",NA
"768","Sylvia curruca","Sylvia curruca",NA
"769","Sylvia hortensis","Sylvia hortensis",NA
"770","Sylvia melanocephala","Sylvia melanocephala",NA
"771","Sylvia nisoria","Sylvia nisoria",NA
"772","Sylvia undata","Sylvia undata",NA
"773","Syrmaticus reevesii","Syrmaticus reevesii","Syrmaticus reevesii"
"774","Syrmaticus soemmerringii","Syrmaticus soemmerringii","Syrmaticus soemmerringii"
"775","Tachybaptus ruficollis","Tachybaptus ruficollis","Tachybaptus ruficollis"
"776","Tachycineta bicolor","Tachycineta bicolor","Tachycineta bicolor"
"777","Tachymarptis melba","Tachymarptis melba","Tachymarptis melba"
"778","Tadorna ferruginea","Tadorna ferruginea","Tadorna ferruginea"
"779","Tadorna tadorna","Tadorna tadorna","Tadorna tadorna"
"780","Tarsiger cyanurus","Tarsiger cyanurus","Tarsiger cyanurus"
"781","Terpsiphone atrocaudata","Terpsiphone atrocaudata","Terpsiphone atrocaudata"
"782","Tetrao tetrix","Lyrurus tetrix","Lyrurus tetrix"
"783","Tetrao urogallus","Tetrao urogallus","Tetrao urogalloides"
"784","Tetrao urogallus","Tetrao urogallus","Tetrao urogallus"
"785","Tetrastes bonasia","Tetrastes bonasia","Tetrastes bonasia"
"786","Tetrax tetrax","Tetrax tetrax","Tetrax tetrax"
"787","Thalasseus sandvicensis","Thalasseus sandvicensis","Thalasseus sandvicensis"
"788","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus ludovicianus"
"789","Tichodroma muraria","Tichodroma muraria","Tichodroma muraria"
"790","Toxostoma rufum","Toxostoma rufum","Toxostoma rufum"
"791","Treron formosae","Treron formosae","Treron formosae"
"792","Treron sieboldii","Treron sieboldii","Treron sieboldii"
"793","Tringa erythropus","Tringa erythropus","Tringa erythropus"
"794","Tringa glareola","Tringa glareola","Tringa glareola"
"795","Tringa nebularia","Tringa nebularia","Tringa nebularia"
"796","Tringa ochropus","Tringa ochropus","Tringa ochropus"
"797","Tringa semipalmata","Tringa semipalmata","Tringa semipalmata"
"798","Tringa stagnatilis","Tringa stagnatilis","Tringa stagnatilis"
"799","Tringa totanus","Tringa totanus","Tringa totanus"
"800","Troglodytes aedon","Troglodytes aedon","Troglodytes aedon"
"801","Troglodytes troglodytes","Troglodytes troglodytes","Troglodytes troglodytes"
"802","Turdus cardis","Turdus cardis","Turdus cardis"
"803","Turdus celaenops","Turdus celaenops","Turdus celaenops"
"804","Turdus chrysolaus","Turdus chrysolaus","Turdus chrysolaus"
"805","Turdus iliacus","Turdus iliacus","Turdus iliacus"
"806","Turdus merula","Turdus merula","Turdus eremita"
"807","Turdus merula","Turdus merula","Turdus merula"
"808","Turdus migratorius","Turdus migratorius","Turdus migratorius"
"809","Turdus pallidus","Turdus pallidus","Turdus pallidus"
"810","Turdus philomelos","Turdus philomelos","Turdus philomelos"
"811","Turdus pilaris","Turdus pilaris","Turdus pilaris"
"812","Turdus torquatus","Turdus torquatus","Turdus torquatus"
"813","Turdus viscivorus","Turdus viscivorus","Turdus viscivorus"
"814","Turnix suscitator","Turnix suscitator","Turnix suscitator"
"815","Tyrannus tyrannus","Tyrannus tyrannus","Lanius corvinus"
"816","Tyrannus tyrannus","Tyrannus tyrannus","Tyrannus tyrannus"
"817","Tyto alba","Tyto alba","Tyto alba"
"818","Tyto alba","Tyto alba","Tyto almae"
"819","Upupa epops","Upupa epops","Upupa epops"
"820","Uragus sibiricus","Carpodacus sibiricus","Carpodacus sibiricus"
"821","Uria aalge","Uria aalge","Uria aalge"
"822","Uria lomvia","Uria lomvia","Uria lomvia"
"823","Urosphena squameiceps","Urosphena squameiceps","Urosphena squameiceps"
"824","Vanellus cinereus","Vanellus cinereus","Vanellus cinereus"
"825","Vanellus vanellus","Vanellus vanellus","Vanellus vanellus"
"826","Vermivora chrysoptera","Vermivora chrysoptera","Vermivora chrysoptera"
"827","Vermivora peregrina","Leiothlypis peregrina","Leiothlypis peregrina"
"828","Vermivora pinus","Setophaga pinus","Setophaga pinus"
"829","Vermivora ruficapilla","Leiothlypis ruficapilla","Leiothlypis ruficapilla"
"830","Vireo flavifrons","Vireo flavifrons","Vireo flavifrons"
"831","Vireo gilvus","Vireo gilvus","Vireo gilvus"
"832","Vireo griseus","Vireo griseus","Vireo griseus"
"833","Vireo olivaceus","Vireo olivaceus","Vireo olivaceus"
"834","Vireo philadelphicus","Vireo philadelphicus","Vireo philadelphicus"
"835","Vireo solitarius","Vireo solitarius","Vireo solitarius"
"836","Wilsonia canadensis","Cardellina canadensis","Cardellina canadensis"
"837","Wilsonia citrina","Setophaga citrina","Setophaga citrina"
"838","Wilsonia pusilla","Cardellina pusilla","Cardellina pusilla"
"839","Xenus cinereus","Xenus cinereus","Xenus cinereus"
"840","Zenaida macroura","Zenaida macroura","Zenaida macroura"
"841","Zonotrichia albicollis","Zonotrichia albicollis","Zonotrichia albicollis"
"842","Zoothera dauma","Zoothera dauma","Zoothera dauma"
"843","Zoothera sibirica","Geokichla sibirica","Geokichla sibirica"
"844","Zosterops japonicus","Zosterops japonicus","Zosterops japonicus"
