occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Poicephalus meyeri","Poicephalus meyeri (Cretzschmar, 1827)","2479968","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Poicephalus","Poicephalus meyeri","Poicephalus meyeri","(Cretzschmar, 1827) ","2479968",
,"Porzana albicollis","Porzana albicollis (Vieillot, 1819)","2474616","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana albicollis","Porzana albicollis","(Vieillot, 1819) ","2474616",
,"Poicephalus rueppellii","Poicephalus rueppellii (G.R.Gray, 1849)","2479947","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Poicephalus","Poicephalus rueppellii","Poicephalus rueppellii","(G.R.Gray, 1849) ","2479947",
,"Poicephalus rufiventris","Poicephalus rufiventris (Ruppell, 1845)","2479948","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Poicephalus","Poicephalus rufiventris","Poicephalus rufiventris","(Ruppell, 1845) ","2479948",
,"Polyonymus caroli","Polyonymus caroli (Bourcier, 1847)","2476157","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Polyonymus","Polyonymus caroli","Polyonymus caroli","(Bourcier, 1847) ","2476157",
,"Polyplectron inopinatum","Polyplectron inopinatum (Rothschild, 1903)","2474074","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Polyplectron","Polyplectron inopinatum","Polyplectron inopinatum","(Rothschild, 1903) ","2474074",
,"Polyplectron germaini","Polyplectron germaini D.G.Elliot, 1866","2474078","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Polyplectron","Polyplectron germaini","Polyplectron germaini","D.G.Elliot, 1866","2474078",
,"Polyplectron schleiermacheri","Polyplectron schleiermacheri Brüggemann, 1877","2474077","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Polyplectron","Polyplectron schleiermacheri","Polyplectron schleiermacheri","Brüggemann, 1877","2474077",
,"Polysticta stelleri","Polysticta stelleri (Pallas, 1769)","5232431","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Polysticta","Polysticta stelleri","Polysticta stelleri","(Pallas, 1769) ","5232431",
,"Porzana fasciata","Porzana fasciata Sclater & Salvin, 1868","8973727","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Gruiformes","Rallidae","Anurolimnas","Anurolimnas fasciatus","Porzana fasciata","Sclater & Salvin, 1868","8973727","2474493"
,"Porzana fluminea","Porzana fluminea Gould, 1843","2474614","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana fluminea","Porzana fluminea","Gould, 1843","2474614",
,"Porzana porzana","Porzana porzana (Linnaeus, 1766)","2474621","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana porzana","Porzana porzana","(Linnaeus, 1766) ","2474621",
,"Primolius auricollis","Primolius auricollis (Cassin, 1853)","2479268","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Primolius","Primolius auricollis","Primolius auricollis","(Cassin, 1853) ","2479268",
,"Porphyrio martinicus","Porphyrio martinica (Linnaeus, 1766)","5228136","FUZZY","96","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porphyrio","Porphyrio martinica","Porphyrio martinica","(Linnaeus, 1766) ","5228136",
,"Primolius maracana","Primolius maracana (Vieillot, 1816)","2479270","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Primolius","Primolius maracana","Primolius maracana","(Vieillot, 1816) ","2479270",
,"Prioniturus discurus","Prioniturus discurus (Vieillot, 1822)","2480034","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Prioniturus","Prioniturus discurus","Prioniturus discurus","(Vieillot, 1822) ","2480034",
,"Prioniturus flavicans","Prioniturus flavicans Cassin, 1853","2480038","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Prioniturus","Prioniturus flavicans","Prioniturus flavicans","Cassin, 1853","2480038",
,"Prioniturus luconensis","Prioniturus luconensis Steere, 1890","2480043","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Prioniturus","Prioniturus luconensis","Prioniturus luconensis","Steere, 1890","2480043",
,"Porzana carolina","Porzana carolina (Linnaeus, 1758)","2474639","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina","Porzana carolina","(Linnaeus, 1758) ","2474639",
,"Prioniturus verticalis","Prioniturus verticalis Sharpe, 1893","2480049","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Prioniturus","Prioniturus verticalis","Prioniturus verticalis","Sharpe, 1893","2480049",
,"Prioniturus mada","Prioniturus mada Hartert, 1900","2480032","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Prioniturus","Prioniturus mada","Prioniturus mada","Hartert, 1900","2480032",
,"Prioniturus mindorensis","Prioniturus mindorensis Steere, 1890","7647367","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Prioniturus","Prioniturus mindorensis","Prioniturus mindorensis","Steere, 1890","7647367",
,"Prioniturus montanus","Prioniturus montanus Ogilvie-Grant, 1895","2480044","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Prioniturus","Prioniturus montanus","Prioniturus montanus","Ogilvie-Grant, 1895","2480044",
,"Prioniturus platenae","Prioniturus platenae W.Blasius, 1888","2480033","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Prioniturus","Prioniturus platenae","Prioniturus platenae","W.Blasius, 1888","2480033",
,"Prioniturus platurus","Prioniturus platurus (Vieillot, 1818)","2480039","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Prioniturus","Prioniturus platurus","Prioniturus platurus","(Vieillot, 1818) ","2480039",
,"Prosobonia ellisi","Prosobonia ellisi Sharpe, 1906","5789300","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Prosobonia","Prosobonia ellisi","Prosobonia ellisi","Sharpe, 1906","5789300",
,"Priotelus temnurus","Priotelus temnurus (Temminck, 1825)","5232027","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Trogoniformes","Trogonidae","Priotelus","Priotelus temnurus","Priotelus temnurus","(Temminck, 1825) ","5232027",
,"Anous albivittus","Anous albivitta (Bonaparte, 1856)","9373498","FUZZY","96","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Anous","Anous albivitta","Anous albivitta","(Bonaparte, 1856) ","9373498",
,"Arremon perijanus","Arremon perijanus (Phelps & Gilliard, 1940)","6093266","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Arremon","Arremon perijanus","Arremon perijanus","(Phelps & Gilliard, 1940) ","6093266",
,"Psilopogon corvinus","Psilopogon corvinus (Temminck, 1831)","7471066","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Piciformes","Megalaimidae","Psilopogon","Psilopogon corvinus","Psilopogon corvinus","(Temminck, 1831) ","7471066",
,"Prioniturus waterstradti","Prioniturus waterstradti Rothschild, 1904","2480047","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Prioniturus","Prioniturus montanus","Prioniturus waterstradti","Rothschild, 1904","2480047","6170669"
,"Anous ceruleus","Anous ceruleus (F.D.Bennett, 1840)","9321463","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Anous","Anous ceruleus","Anous ceruleus","(F.D.Bennett, 1840) ","9321463",
,"Prodotiscus insignis","Prodotiscus insignis (Cassin, 1856)","2478619","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Piciformes","Indicatoridae","Prodotiscus","Prodotiscus insignis","Prodotiscus insignis","(Cassin, 1856) ","2478619",
,"Prodotiscus regulus","Prodotiscus regulus Sundevall, 1850","2478613","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Piciformes","Indicatoridae","Prodotiscus","Prodotiscus regulus","Prodotiscus regulus","Sundevall, 1850","2478613",
