scientificName
Arborophila ardens
Arborophila torqueola
Arborophila rufipectus
Arborophila mandellii
Arborophila orientalis
Arborophila hyperythra
Arborophila rubrirostris
Arborophila sumatrana
Arborophila gingica
Arborophila brunneopectus
Arborophila rufogularis
Francolinus nahani
Acryllium vulturinum
Agelastes niger
Agelastes meleagrides
Numida meleagris
Guttera plumifera
Guttera pucherani
Aburria aburri
Pipile cujubi
Pipile cumanensis
Pipile pipile
Pipile jacutinga
Penelope superciliaris
Penelope obscura
Penelope ochrogaster
Penelope argyrotis
Penelope pileata
Penelope dabbenei
Penelope purpurascens
Penelope albipennis
Penelope montagnii
Penelope ortoni
Penelope barbata
Penelope perspicax
Penelope jacucaca
Penelope jacquacu
Penelope marail
Chamaepetes goudotii
Chamaepetes unicolor
Penelopina nigra
Mitu mitu
Mitu tomentosum
Pauxi unicornis
Mitu tuberosum
Mitu salvini
Pauxi pauxi
Nothocrax urumutum
Crax daubentoni
Crax blumenbachii
Crax globulosa
Crax fasciolata
Crax alector
Crax rubra
Crax alberti
Oreophasis derbianus
Ortalis poliocephala
Ortalis erythroptera
Ortalis canicollis
Ortalis superciliaris
Ortalis guttata
Ortalis cinereiceps
Ortalis ruficauda
Ortalis garrula
Ortalis wagleri
Ortalis vetula
Ortalis leucogastra
Ortalis motmot
Talegalla cuvieri
Talegalla fuscirostris
Talegalla jobiensis
Aepypodius bruijnii
Aepypodius arfakianus
Alectura lathami
Leipoa ocellata
Megapodius tenimberensis
Megapodius cumingii
Megapodius bernsteinii
Megapodius pritchardii
Megapodius geelvinkianus
Megapodius layardi
Megapodius eremita
Megapodius freycinet
Megapodius reinwardt
Megapodius nicobariensis
Megapodius affinis
Megapodius laperouse
Eulipoa wallacei
Macrocephalon maleo
Chauna chavaria
Chauna torquata
Anhima cornuta
Anseranas semipalmata
Dendrocygna arcuata
Dendrocygna eytoni
Dendrocygna javanica
Dendrocygna bicolor
Dendrocygna guttata
Dendrocygna viduata
Dendrocygna autumnalis
Dendrocygna arborea
Thalassornis leuconotus
Cygnus buccinator
Cygnus cygnus
Cygnus columbianus
Cygnus atratus
Cygnus olor
Cygnus melancoryphus
Chen canagica
Chen caerulescens
Chen rossii
Anser indicus
Anser erythropus
Anser cygnoides
Anser anser
Anser brachyrhynchus
Anser albifrons
Anser fabalis
Branta ruficollis
Branta hutchinsii
Branta leucopsis
Branta canadensis
Branta sandvicensis
Branta bernicla
Cereopsis novaehollandiae
Coscoroba coscoroba
Malacorhynchus membranaceus
Oxyura vittata
Oxyura leucocephala
Oxyura maccoa
Oxyura australis
Oxyura jamaicensis
Nomonyx dominicus
Nettapus auritus
Nettapus coromandelianus
Nettapus pulchellus
Biziura lobata
Heteronetta atricapilla
Anas formosa
Anas hottentota
Anas puna
Anas versicolor
Anas platalea
Anas discors
Anas cyanoptera
Anas smithii
Anas clypeata
Anas rhynchotis
Anas andium
Anas querquedula
Anas laysanensis
Anas fulvigula
Anas rubripes
Anas luzonica
Anas poecilorhyncha
Anas platyrhynchos
Anas melleri
Anas eatoni
Anas undulata
Anas wyvilliana
Anas superciliosa
Anas sparsa
Anas acuta
Anas georgica
Anas bahamensis
Anas erythrorhyncha
Anas capensis
Anas nesiotis
Anas aucklandica
Anas chlorotis
Anas bernieri
Anas gracilis
Anas castanea
Anas flavirostris
Anas crecca
Anas gibberifrons
Anas strepera
Anas falcata
Anas americana
Anas sibilatrix
Anas penelope
Speculanas specularis
Amazonetta brasiliensis
Lophonetta specularioides
Tachyeres leucocephalus
Tachyeres patachonicus
Tachyeres brachypterus
Tachyeres pteneres
Hymenolaimus malacorhynchos
Merganetta armata
Callonetta leucophrys
Polysticta stelleri
Somateria spectabilis
Somateria mollissima
Somateria fischeri
Clangula hyemalis
Histrionicus histrionicus
Melanitta nigra
Melanitta perspicillata
Melanitta fusca
Lophodytes cucullatus
Mergus octosetaceus
Mergus merganser
Mergus serrator
Mergus squamatus
Mergellus albellus
Bucephala albeola
Bucephala clangula
Bucephala islandica
Salvadorina waigiuensis
Tadorna variegata
Tadorna tadornoides
Tadorna cana
Tadorna ferruginea
Tadorna tadorna
Tadorna radjah
Alopochen aegyptiaca
Chloephaga hybrida
Chloephaga picta
Chloephaga poliocephala
Neochen jubata
Chloephaga melanoptera
Chloephaga rubidiceps
Cairina moschata
Aix sponsa
Aix galericulata
Cyanochen cyanoptera
Pteronetta hartlaubii
Cairina scutulata
Netta rufina
Netta erythrophthalma
Netta peposaca
Aythya nyroca
Aythya baeri
Aythya australis
Aythya ferina
Aythya valisineria
Aythya collaris
Aythya innotata
Aythya americana
Aythya novaeseelandiae
Aythya fuligula
Aythya marila
Aythya affinis
Marmaronetta angustirostris
Sarkidiornis melanotos
Chenonetta jubata
Plectropterus gambensis
Stictonetta naevosa
Porphyrio porphyrio
Porphyrio hochstetteri
Porphyrio martinica
Porphyrio flavirostris
Porphyrio alleni
Neocrex erythrops
Neocrex colombiana
Coturnicops exquisitus
Coturnicops notatus
Coturnicops noveboracensis
Laterallus exilis
Laterallus ruber
Laterallus leucopyrrhus
Laterallus jamaicensis
Laterallus spilonotus
Laterallus tuerosi
Laterallus levraudi
Laterallus albigularis
Laterallus xenopterus
Laterallus melanophaius
Rallina leucospila
Rallina tricolor
Rallina mayri
Rallina forbesi
Rallina rubra
Rallina fasciata
Rallina canningi
Rallina eurizonoides
Amaurornis magnirostris
Amaurornis flavirostra
Amaurornis olivacea
Amaurornis isabellina
Amaurornis phoenicurus
Amaurornis olivieri
Amaurornis moluccana
Amaurornis akool
Amaurornis bicolor
Amaurolimnas concolor
Aramidopsis plateni
Himantornis haematopus
Rallus elegans
Rallus longirostris
Rallus semiplumbeus
Rallus madagascariensis
Rallus wetmorei
Rallus caerulescens
Rallus antarcticus
Rallus aquaticus
Rallus limicola
Crecopsis egregia
Crex crex
Gallirallus okinawae
Gallirallus striatus
Gallirallus calayanensis
Gallirallus rovianae
Gallirallus owstoni
Gallirallus philippensis
Gallirallus sylvestris
Gallirallus torquatus
Gallirallus australis
Gallirallus insignis
Megacrex inepta
Gymnocrex talaudensis
Gymnocrex plumbeiventris
Gymnocrex rosenbergii
Gallicrex cinerea
Aramides cajanea
Aramides calopterus
Aramides wolfi
Aramides saracura
Aramides ypecaha
Aramides mangle
Aramides axillaris
Pardirallus sanguinolentus
Pardirallus nigricans
Pardirallus maculatus
Fulica cornuta
Fulica rufifrons
Fulica armillata
Micropygia schomburgkii
Fulica gigantea
Nesoclopeus woodfordi
Fulica ardesiaca
Fulica americana
Fulica atra
Gallinula ventralis
Fulica caribaea
Gallinula chloropus
Gallinula nesiotis
Porzana porzana
Porzana atra
Habroptila wallacii
Dryolimnas cuvieri
Cyanolimnas cerverai
Porzana carolina
Anurolimnas castaneiceps
Anurolimnas viridis
Anurolimnas fasciatus
Porzana cinerea
Gallinula melanops
Lewinia mirifica
Lewinia pectoralis
Lewinia muelleri
Porzana fluminea
Gallinula tenebrosa
Porzana albicollis
Atlantisia rogersi
Gallinula angulata
Aenigmatolimnas marginalis
Canirallus kioloides
Canirallus oculeus
Porzana pusilla
Porzana tabuensis
Porzana fusca
Porzana flaviventer
Gallinula mortierii
Porzana spiloptera
Rougetius rougetii
Fulica cristata
Porzana parva
Porzana paykullii
Fulica leucoptera
Fulica alai
Eulabeornis castaneoventris
Gallinula silvestris
Sarothrura boehmi
Sarothrura ayresi
Sarothrura rufa
Sarothrura pulchra
Sarothrura elegans
Sarothrura insularis
Sarothrura watersi
Sarothrura lugens
Sarothrura affinis
Podica senegalensis
Heliopais personatus
Heliornis fulica
Psophia crepitans
Psophia leucoptera
Psophia viridis
