occurrenceId;sp_BirdTree;scientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species;canonicalName;authorship;usageKey;acceptedUsageKey
;Nothura maculosa;Nothura maculosa (Temminck, 1815);2477600;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Nothura;Nothura maculosa;Nothura maculosa;(Temminck, 1815) ;2477600;
;Nothura minor;Nothura minor (von Spix, 1825);2477598;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Nothura;Nothura minor;Nothura minor;(von Spix, 1825) ;2477598;
;Nothura darwinii;Nothura darwinii G.R.Gray, 1867;2477610;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Nothura;Nothura darwinii;Nothura darwinii;G.R.Gray, 1867;2477610;
;Nothura boraquira;Nothura boraquira (von Spix, 1825);2477599;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Nothura;Nothura boraquira;Nothura boraquira;(von Spix, 1825) ;2477599;
;Nothura chacoensis;Nothura chacoensis Conover, 1937;2477609;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Nothura;Nothura chacoensis;Nothura chacoensis;Conover, 1937;2477609;
;Nothoprocta perdicaria;Nothoprocta perdicaria (Kittlitz, 1830);2477581;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Nothoprocta;Nothoprocta perdicaria;Nothoprocta perdicaria;(Kittlitz, 1830) ;2477581;
;Nothoprocta ornata;Nothoprocta ornata (G.R.Gray, 1867);2477575;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Nothoprocta;Nothoprocta ornata;Nothoprocta ornata;(G.R.Gray, 1867) ;2477575;
;Nothoprocta pentlandii;Nothoprocta pentlandii (G.R.Gray, 1867);2477584;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Nothoprocta;Nothoprocta pentlandii;Nothoprocta pentlandii;(G.R.Gray, 1867) ;2477584;
;Nothoprocta curvirostris;Nothoprocta curvirostris P.L.Sclater & Salvin, 1873;2477572;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Nothoprocta;Nothoprocta curvirostris;Nothoprocta curvirostris;P.L.Sclater & Salvin, 1873;2477572;
;Nothoprocta cinerascens;Nothoprocta cinerascens (Burmeister, 1860);2477593;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Nothoprocta;Nothoprocta cinerascens;Nothoprocta cinerascens;(Burmeister, 1860) ;2477593;
;Nothoprocta taczanowskii;Nothoprocta taczanowskii P.L.Sclater & Salvin, 1875;2477596;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Nothoprocta;Nothoprocta taczanowskii;Nothoprocta taczanowskii;P.L.Sclater & Salvin, 1875;2477596;
;Rhynchotus maculicollis;Rhynchotus maculicollis G.R.Gray, 1867;2477462;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Rhynchotus;Rhynchotus maculicollis;Rhynchotus maculicollis;G.R.Gray, 1867;2477462;
;Rhynchotus rufescens;Rhynchotus rufescens (Temminck, 1815);2477464;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Rhynchotus;Rhynchotus rufescens;Rhynchotus rufescens;(Temminck, 1815) ;2477464;
;Tinamotis pentlandii;Tinamotis pentlandii Vigors, 1837;2477459;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Tinamotis;Tinamotis pentlandii;Tinamotis pentlandii;Vigors, 1837;2477459;
;Tinamotis ingoufi;Tinamotis ingoufi Oustalet, 1890;2477460;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Tinamotis;Tinamotis ingoufi;Tinamotis ingoufi;Oustalet, 1890;2477460;
;Taoniscus nanus;Taoniscus nanus (Temminck, 1815);2477457;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Taoniscus;Taoniscus nanus;Taoniscus nanus;(Temminck, 1815) ;2477457;
;Eudromia formosa;Eudromia formosa (Lillo, 1905);5228703;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Eudromia;Eudromia formosa;Eudromia formosa;(Lillo, 1905) ;5228703;
;Eudromia elegans;Eudromia elegans I.Geoffroy Saint-Hilaire, 1832;5228704;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Eudromia;Eudromia elegans;Eudromia elegans;I.Geoffroy Saint-Hilaire, 1832;5228704;
;Nothocercus bonapartei;Nothocercus bonapartei (G.R.Gray, 1867);2477473;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Nothocercus;Nothocercus bonapartei;Nothocercus bonapartei;(G.R.Gray, 1867) ;2477473;
;Nothocercus nigrocapillus;Nothocercus nigrocapillus (G.R.Gray, 1867);2477469;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Nothocercus;Nothocercus nigrocapillus;Nothocercus nigrocapillus;(G.R.Gray, 1867) ;2477469;
;Nothocercus julius;Nothocercus julius (Bonaparte, 1854);2477472;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Nothocercus;Nothocercus julius;Nothocercus julius;(Bonaparte, 1854) ;2477472;
;Tinamus osgoodi;Tinamus osgoodi Conover, 1949;2477618;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Tinamus;Tinamus osgoodi;Tinamus osgoodi;Conover, 1949;2477618;
;Tinamus guttatus;Tinamus guttatus Pelzeln, 1863;2477621;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Tinamus;Tinamus guttatus;Tinamus guttatus;Pelzeln, 1863;2477621;
;Tinamus major;Tinamus major (J.F.Gmelin, 1789);2477630;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Tinamus;Tinamus major;Tinamus major;(J.F.Gmelin, 1789) ;2477630;
;Tinamus solitarius;Tinamus solitarius (Vieillot, 1819);2477627;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Tinamus;Tinamus solitarius;Tinamus solitarius;(Vieillot, 1819) ;2477627;
;Tinamus tao;Tinamus tao Temminck, 1815;2477622;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Tinamus;Tinamus tao;Tinamus tao;Temminck, 1815;2477622;
;Crypturellus atrocapillus;Crypturellus atrocapillus (Tschudi, 1844);2477529;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus atrocapillus;Crypturellus atrocapillus;(Tschudi, 1844) ;2477529;
;Crypturellus erythropus;Crypturellus erythropus (Pelzeln, 1863);2477546;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus erythropus;Crypturellus erythropus;(Pelzeln, 1863) ;2477546;
;Crypturellus soui;Crypturellus soui (Hermann, 1783);2477507;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus soui;Crypturellus soui;(Hermann, 1783) ;2477507;
;Crypturellus boucardi;Crypturellus boucardi (P.L.Sclater, 1860);2477567;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus boucardi;Crypturellus boucardi;(P.L.Sclater, 1860) ;2477567;
;Crypturellus noctivagus;Crypturellus noctivagus (zu Wied-Neuwied, 1820);2477503;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus noctivagus;Crypturellus noctivagus;(zu Wied-Neuwied, 1820) ;2477503;
;Crypturellus bartletti;Crypturellus bartletti (P.L.Sclater & Salvin, 1873);2477556;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus bartletti;Crypturellus bartletti;(P.L.Sclater & Salvin, 1873) ;2477556;
;Crypturellus kerriae;Crypturellus kerriae (Chapman, 1915);2477557;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus kerriae;Crypturellus kerriae;(Chapman, 1915) ;2477557;
;Crypturellus cinereus;Crypturellus cinereus (J.F.Gmelin, 1789);2477533;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus cinereus;Crypturellus cinereus;(J.F.Gmelin, 1789) ;2477533;
;Crypturellus undulatus;Crypturellus undulatus (Temminck, 1815);2477560;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus undulatus;Crypturellus undulatus;(Temminck, 1815) ;2477560;
;Crypturellus variegatus;Crypturellus variegatus (J.F.Gmelin, 1789);2477527;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus variegatus;Crypturellus variegatus;(J.F.Gmelin, 1789) ;2477527;
;Crypturellus strigulosus;Crypturellus strigulosus (Temminck, 1815);2477559;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus strigulosus;Crypturellus strigulosus;(Temminck, 1815) ;2477559;
;Crypturellus cinnamomeus;Crypturellus cinnamomeus (Lesson, 1842);2477493;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus cinnamomeus;Crypturellus cinnamomeus;(Lesson, 1842) ;2477493;
;Crypturellus obsoletus;Crypturellus obsoletus (Temminck, 1815);2477535;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus obsoletus;Crypturellus obsoletus;(Temminck, 1815) ;2477535;
;Crypturellus ptaritepui;Crypturellus ptaritepui J.T.Zimmer & Phelps, 1945;2477506;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus ptaritepui;Crypturellus ptaritepui;J.T.Zimmer & Phelps, 1945;2477506;
;Crypturellus duidae;Crypturellus duidae J.T.Zimmer, 1938;2477534;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus duidae;Crypturellus duidae;J.T.Zimmer, 1938;2477534;
;Crypturellus tataupa;Crypturellus tataupa (Temminck, 1815);2477522;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus tataupa;Crypturellus tataupa;(Temminck, 1815) ;2477522;
;Crypturellus brevirostris;Crypturellus brevirostris (Pelzeln, 1863);2477532;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus brevirostris;Crypturellus brevirostris;(Pelzeln, 1863) ;2477532;
;Crypturellus transfasciatus;Crypturellus transfasciatus (P.L.Sclater & Salvin, 1878);2477545;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus transfasciatus;Crypturellus transfasciatus;(P.L.Sclater & Salvin, 1878) ;2477545;
;Crypturellus parvirostris;Crypturellus parvirostris (Wagler, 1827);2477558;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus parvirostris;Crypturellus parvirostris;(Wagler, 1827) ;2477558;
;Crypturellus berlepschi;Crypturellus berlepschi (Rothschild, 1897);2477528;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus berlepschi;Crypturellus berlepschi;(Rothschild, 1897) ;2477528;
;Crypturellus casiquiare;Crypturellus casiquiare (Chapman, 1929);2477570;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus casiquiare;Crypturellus casiquiare;(Chapman, 1929) ;2477570;
;Apteryx mantelli;Apteryx mantelli Bartlett, 1852;2495144;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Apterygiformes;Apterygidae;Apteryx;Apteryx mantelli;Apteryx mantelli;Bartlett, 1852;2495144;
;Apteryx australis;Apteryx australis Shaw, 1813;2495145;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Apterygiformes;Apterygidae;Apteryx;Apteryx australis;Apteryx australis;Shaw, 1813;2495145;
;Apteryx owenii;Apteryx owenii Gould, 1847;2495142;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Apterygiformes;Apterygidae;Apteryx;Apteryx owenii;Apteryx owenii;Gould, 1847;2495142;
;Apteryx haastii;Apteryx haastii Potts, 1872;2495139;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Apterygiformes;Apterygidae;Apteryx;Apteryx haastii;Apteryx haastii;Potts, 1872;2495139;
;Dromaius novaehollandiae;Dromaius novaehollandiae (Latham, 1790);2495134;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Casuariiformes;Dromaiidae;Dromaius;Dromaius novaehollandiae;Dromaius novaehollandiae;(Latham, 1790) ;2495134;
;Casuarius bennetti;Casuarius bennetti Gould, 1857;5231784;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Casuariiformes;Casuariidae;Casuarius;Casuarius bennetti;Casuarius bennetti;Gould, 1857;5231784;
;Casuarius casuarius;Casuarius casuarius (Linnaeus, 1758);5231783;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Casuariiformes;Casuariidae;Casuarius;Casuarius casuarius;Casuarius casuarius;(Linnaeus, 1758) ;5231783;
;Casuarius unappendiculatus;Casuarius unappendiculatus Blyth, 1860;5231785;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Casuariiformes;Casuariidae;Casuarius;Casuarius unappendiculatus;Casuarius unappendiculatus;Blyth, 1860;5231785;
;Rhea americana;Rhea americana (Linnaeus, 1758);2495165;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Rheiformes;Rheidae;Rhea;Rhea americana;Rhea americana;(Linnaeus, 1758) ;2495165;
;Rhea pennata;Rhea pennata d'Orbigny, 1834;2495160;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Rheiformes;Rheidae;Rhea;Rhea pennata;Rhea pennata;d'Orbigny, 1834;2495160;
;Struthio camelus;Struthio camelus Linnaeus, 1758;2495150;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Struthioniformes;Struthionidae;Struthio;Struthio camelus;Struthio camelus;Linnaeus, 1758;2495150;
;Philortyx fasciatus;Philortyx fasciatus (Gould, 1844);2474170;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Philortyx;Philortyx fasciatus;Philortyx fasciatus;(Gould, 1844) ;2474170;
;Dendrortyx leucophrys;Dendrortyx leucophrys (Gould, 1844);2474259;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Dendrortyx;Dendrortyx leucophrys;Dendrortyx leucophrys;(Gould, 1844) ;2474259;
;Dendrortyx macroura;Dendrortyx macroura (Jardine & Selby, 1828);2474252;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Dendrortyx;Dendrortyx macroura;Dendrortyx macroura;(Jardine & Selby, 1828) ;2474252;
;Dendrortyx barbatus;Dendrortyx barbatus Gould, 1846;2474251;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Dendrortyx;Dendrortyx barbatus;Dendrortyx barbatus;Gould, 1846;2474251;
;Odontophorus erythrops;Odontophorus erythrops Gould, 1859;5228045;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Odontophorus;Odontophorus erythrops;Odontophorus erythrops;Gould, 1859;5228045;
;Odontophorus gujanensis;Odontophorus gujanensis (J.F.Gmelin, 1789);5228058;EXACT;98;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Odontophorus;Odontophorus gujanensis;Odontophorus gujanensis;(J.F.Gmelin, 1789) ;5228058;
;Odontophorus capueira;Odontophorus capueira (Spix, 1825);5228044;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Odontophorus;Odontophorus capueira;Odontophorus capueira;(Spix, 1825) ;5228044;
;Odontophorus leucolaemus;Odontophorus leucolaemus Salvin, 1867;5228042;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Odontophorus;Odontophorus leucolaemus;Odontophorus leucolaemus;Salvin, 1867;5228042;
;Odontophorus columbianus;Odontophorus columbianus Gould, 1850;5228057;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Odontophorus;Odontophorus columbianus;Odontophorus columbianus;Gould, 1850;5228057;
;Odontophorus guttatus;Odontophorus guttatus (Gould, 1838);5228048;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Odontophorus;Odontophorus guttatus;Odontophorus guttatus;(Gould, 1838) ;5228048;
;Odontophorus stellatus;Odontophorus stellatus (Gould, 1843);5228043;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Odontophorus;Odontophorus stellatus;Odontophorus stellatus;(Gould, 1843) ;5228043;
;Odontophorus speciosus;Odontophorus speciosus Tschudi, 1843;5228035;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Odontophorus;Odontophorus speciosus;Odontophorus speciosus;Tschudi, 1843;5228035;
;Odontophorus balliviani;Odontophorus balliviani Gould, 1846;5228039;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Odontophorus;Odontophorus balliviani;Odontophorus balliviani;Gould, 1846;5228039;
;Odontophorus dialeucos;Odontophorus dialeucos Wetmore, 1963;5228040;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Odontophorus;Odontophorus dialeucos;Odontophorus dialeucos;Wetmore, 1963;5228040;
;Odontophorus melanonotus;Odontophorus melanonotus Gould, 1861;5228049;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Odontophorus;Odontophorus melanonotus;Odontophorus melanonotus;Gould, 1861;5228049;
;Odontophorus strophium;Odontophorus strophium (Gould, 1844);5228041;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Odontophorus;Odontophorus strophium;Odontophorus strophium;(Gould, 1844) ;5228041;
;Odontophorus melanotis;Odontophorus melanotis Salvin, 1865;5228050;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Odontophorus;Odontophorus melanotis;Odontophorus melanotis;Salvin, 1865;5228050;
;Odontophorus atrifrons;Odontophorus atrifrons J.A.Allen, 1900;5228053;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Odontophorus;Odontophorus atrifrons;Odontophorus atrifrons;J.A.Allen, 1900;5228053;
;Odontophorus hyperythrus;Odontophorus hyperythrus Gould, 1858;5228067;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Odontophorus;Odontophorus hyperythrus;Odontophorus hyperythrus;Gould, 1858;5228067;
;Rhynchortyx cinctus;Rhynchortyx cinctus (Salvin, 1876);2474165;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Rhynchortyx;Rhynchortyx cinctus;Rhynchortyx cinctus;(Salvin, 1876) ;2474165;
;Dactylortyx thoracicus;Dactylortyx thoracicus (Gambel, 1848);2474238;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Dactylortyx;Dactylortyx thoracicus;Dactylortyx thoracicus;(Gambel, 1848) ;2474238;
;Cyrtonyx montezumae;Cyrtonyx montezumae (Vigors, 1830);2474264;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Cyrtonyx;Cyrtonyx montezumae;Cyrtonyx montezumae;(Vigors, 1830) ;2474264;
;Cyrtonyx ocellatus;Cyrtonyx ocellatus (Gould, 1837);2474263;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Cyrtonyx;Cyrtonyx ocellatus;Cyrtonyx ocellatus;(Gould, 1837) ;2474263;
;Oreortyx pictus;Oreortyx pictus (Douglas, 1829);2474320;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Oreortyx;Oreortyx pictus;Oreortyx pictus;(Douglas, 1829) ;2474320;
;Colinus nigrogularis;Colinus nigrogularis (Gould, 1843);5228086;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Colinus;Colinus nigrogularis;Colinus nigrogularis;(Gould, 1843) ;5228086;
;Colinus leucopogon;Colinus leucopogon (R.Lesson, 1842);5228126;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Colinus;Colinus leucopogon;Colinus leucopogon;(R.Lesson, 1842) ;5228126;
;Colinus virginianus;Colinus virginianus (Linnaeus, 1758);9791464;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Colinus;Colinus virginianus;Colinus virginianus;(Linnaeus, 1758) ;9791464;
;Colinus cristatus;Colinus cristatus (Linnaeus, 1766);5228112;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Colinus;Colinus cristatus;Colinus cristatus;(Linnaeus, 1766) ;5228112;
;Callipepla squamata;Callipepla squamata (Vigors, 1830);5228075;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Callipepla;Callipepla squamata;Callipepla squamata;(Vigors, 1830) ;5228075;
;Callipepla douglasii;Callipepla douglasii (Vigors, 1829);5228068;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Callipepla;Callipepla douglasii;Callipepla douglasii;(Vigors, 1829) ;5228068;
;Callipepla californica;Callipepla californica (Shaw, 1798);5228080;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Callipepla;Callipepla californica;Callipepla californica;(Shaw, 1798) ;5228080;
;Callipepla gambelii;Callipepla gambelii (Gambel, 1843);5228072;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Callipepla;Callipepla gambelii;Callipepla gambelii;(Gambel, 1843) ;5228072;
;Ptilopachus petrosus;Ptilopachus petrosus (J.F.Gmelin, 1789);2474089;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Odontophoridae;Ptilopachus;Ptilopachus petrosus;Ptilopachus petrosus;(J.F.Gmelin, 1789) ;2474089;
;Francolinus erckelii;Francolinus erckelii (Rüppell, 1835);5227872;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Galliformes;Phasianidae;Pternistis;Pternistis erckelii;Francolinus erckelii;(Rüppell, 1835) ;5227872;2473861
;Francolinus icterorhynchus;Francolinus icterorhynchus Heuglin, 1863;5227861;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Galliformes;Phasianidae;Pternistis;Pternistis icterorhynchus;Francolinus icterorhynchus;Heuglin, 1863;5227861;2473843
;Francolinus castaneicollis;Francolinus castaneicollis Salvadori, 1888;5227902;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Galliformes;Phasianidae;Pternistis;Pternistis castaneicollis;Francolinus castaneicollis;Salvadori, 1888;5227902;2473907
;Francolinus swainsonii;Francolinus swainsonii (A.Smith, 1836);5227936;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Galliformes;Phasianidae;Pternistis;Pternistis swainsonii;Francolinus swainsonii;(A.Smith, 1836) ;5227936;2473944
;Francolinus leucoscepus;Francolinus leucoscepus G.R.Gray, 1867;5227865;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Galliformes;Phasianidae;Pternistis;Pternistis leucoscepus;Francolinus leucoscepus;G.R.Gray, 1867;5227865;8759579
;Francolinus clappertoni;Francolinus clappertoni Children & Vigors, 1826;5227832;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Galliformes;Phasianidae;Pternistis;Pternistis clappertoni;Francolinus clappertoni;Children & Vigors, 1826;5227832;9068494
;Francolinus afer;Francolinus afer (P.L.S.Müller, 1776);5227812;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Galliformes;Phasianidae;Pternistis;Pternistis afer;Francolinus afer;(P.L.S.Müller, 1776) ;5227812;2473787
;Francolinus bicalcaratus;Francolinus bicalcaratus (Linnaeus, 1766);5227896;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Galliformes;Phasianidae;Pternistis;Pternistis bicalcaratus;Francolinus bicalcaratus;(Linnaeus, 1766) ;5227896;2473897
;Francolinus squamatus;Francolinus squamatus Cassin, 1857;5227846;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Galliformes;Phasianidae;Pternistis;Pternistis squamatus;Francolinus squamatus;Cassin, 1857;5227846;9096252
;Francolinus ahantensis;Francolinus ahantensis Temminck, 1854;5227866;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Galliformes;Phasianidae;Pternistis;Pternistis ahantensis;Francolinus ahantensis;Temminck, 1854;5227866;2473853
;Francolinus swierstrai;Francolinus swierstrai (Roberts, 1929);5227883;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Galliformes;Phasianidae;Pternistis;Pternistis swierstrai;Francolinus swierstrai;(Roberts, 1929) ;5227883;2473878
;Francolinus griseostriatus;Francolinus griseostriatus Ogilvie-Grant, 1890;5227874;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Galliformes;Phasianidae;Pternistis;Pternistis griseostriatus;Francolinus griseostriatus;Ogilvie-Grant, 1890;5227874;2473865
;Francolinus harwoodi;Francolinus harwoodi Blundell & Lovat, 1899;5227881;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Galliformes;Phasianidae;Pternistis;Pternistis harwoodi;Francolinus harwoodi;Blundell & Lovat, 1899;5227881;2473874
