original_verbatim_name,name_in_data,wordCount,cellID,submitted_name,Birds of the World,eBird/Clements,American Ornithological Society,GBIF,BirdLife
Oxyura jamaicensis,Oxyura jamaicensis,2,NA,Oxyura jamaicensis,Oxyura jamaicensis,Oxyura jamaicensis,Oxyura jamaicensis,Oxyura jamaicensis,Oxyura jamaicensis
Pandion haliaetus,Pandion haliaetus,2,NA,Pandion haliaetus,Pandion haliaetus,Pandion haliaetus,Pandion haliaetus,Pandion haliaetus,Pandion haliaetus
Parula americana,Parula americana,2,NA,Parula americana,Parula americana,NA,NA,Parula americana,Parula americana
Passer domesticus,Passer domesticus,2,NA,Passer domesticus,Passer domesticus,Passer domesticus,Passer domesticus,Passer domesticus,Passer domesticus
Passerculus sandwichensis,Passerculus sandwichensis,2,NA,Passerculus sandwichensis,Passerculus sandwichensis,Passerculus sandwichensis,Passerculus sandwichensis,Passerculus sandwichensis,Passerculus sandwichensis
Passerina caerulea,Passerina caerulea,2,NA,Passerina caerulea,Passerina caerulea,Passerina caerulea,Passerina caerulea,Passerina caerulea,Passerina caerulea
Passerina cyanea,Passerina cyanea,2,NA,Passerina cyanea,Passerina cyanea,Passerina cyanea,Passerina cyanea,Passerina cyanea,Passerina cyanea
Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,2,NA,Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,Pelecanus erythrorhynchos
Perdix perdix,Perdix perdix,2,NA,Perdix perdix,Perdix perdix,Perdix perdix,Perdix perdix,Perdix perdix,Perdix perdix
Perisoreus canadensis,Perisoreus canadensis,2,NA,Perisoreus canadensis,Perisoreus canadensis,Perisoreus canadensis,Perisoreus canadensis,Perisoreus canadensis,Perisoreus canadensis
Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,2,NA,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota
Phalacrocorax auritus,Phalacrocorax auritus,2,NA,Phalacrocorax auritus,Phalacrocorax auritus,NA,Phalacrocorax auritus,Phalacrocorax auritus,Phalacrocorax auritus
Phalaropus tricolor,Phalaropus tricolor,2,NA,Phalaropus tricolor,Phalaropus tricolor,Phalaropus tricolor,Phalaropus tricolor,Phalaropus tricolor,Phalaropus tricolor
Phasianus colchicus,Phasianus colchicus,2,NA,Phasianus colchicus,Phasianus colchicus,Phasianus colchicus,Phasianus colchicus,Phasianus colchicus,Phasianus colchicus
Pheucticus ludovicianus,Pheucticus ludovicianus,2,NA,Pheucticus ludovicianus,Pheucticus ludovicianus,Pheucticus ludovicianus,Pheucticus ludovicianus,Pheucticus ludovicianus,Pheucticus ludovicianus
Picoides arcticus,Picoides arcticus,2,NA,Picoides arcticus,Picoides arcticus,Picoides arcticus,Picoides arcticus,Picoides arcticus,Picoides arcticus
Picoides dorsalis,Picoides dorsalis,2,NA,Picoides dorsalis,Picoides dorsalis,Picoides dorsalis,Picoides dorsalis,Picoides dorsalis,Picoides dorsalis
Picoides pubescens,Picoides pubescens,2,NA,Picoides pubescens,Picoides pubescens,NA,NA,Picoides pubescens,Picoides pubescens
Picoides villosus,Picoides villosus,2,NA,Picoides villosus,Picoides villosus,NA,NA,Picoides villosus,Picoides villosus
Pipilo erythrophthalmus,Pipilo erythrophthalmus,2,NA,Pipilo erythrophthalmus,Pipilo erythrophthalmus,Pipilo erythrophthalmus,Pipilo erythrophthalmus,Pipilo erythrophthalmus,Pipilo erythrophthalmus
Piranga olivacea,Piranga olivacea,2,NA,Piranga olivacea,Piranga olivacea,Piranga olivacea,Piranga olivacea,Piranga olivacea,Piranga olivacea
Piranga rubra,Piranga rubra,2,NA,Piranga rubra,Piranga rubra,Piranga rubra,Piranga rubra,Piranga rubra,Piranga rubra
Plegadis chihi,Plegadis chihi,2,NA,Plegadis chihi,Plegadis chihi,Plegadis chihi,Plegadis chihi,Plegadis chihi,Plegadis chihi
Plegadis falcinellus,Plegadis falcinellus,2,NA,Plegadis falcinellus,Plegadis falcinellus,Plegadis falcinellus,Plegadis falcinellus,Plegadis falcinellus,Plegadis falcinellus
Podilymbus podiceps,Podilymbus podiceps,2,NA,Podilymbus podiceps,Podilymbus podiceps,Podilymbus podiceps,Podilymbus podiceps,Podilymbus podiceps,Podilymbus podiceps
Poecile atricapillus,Poecile atricapillus,2,NA,Poecile atricapillus,Poecile atricapillus,Poecile atricapillus,Poecile atricapillus,Poecile atricapillus,Poecile atricapillus
Poecile hudsonicus,Poecile hudsonicus,2,NA,Poecile hudsonicus,Poecile hudsonicus,Poecile hudsonicus,Poecile hudsonicus,Poecile hudsonicus,NA
Polioptila caerulea,Polioptila caerulea,2,NA,Polioptila caerulea,Polioptila caerulea,Polioptila caerulea,Polioptila caerulea,Polioptila caerulea,Polioptila caerulea
Pooecetes gramineus,Pooecetes gramineus,2,NA,Pooecetes gramineus,Pooecetes gramineus,Pooecetes gramineus,Pooecetes gramineus,Pooecetes gramineus,Pooecetes gramineus
Porzana carolina,Porzana carolina,2,NA,Porzana carolina,Porzana carolina,Porzana carolina,Porzana carolina,Porzana carolina,Porzana carolina
Progne subis,Progne subis,2,NA,Progne subis,Progne subis,Progne subis,Progne subis,Progne subis,Progne subis
Protonotaria citrea,Protonotaria citrea,2,NA,Protonotaria citrea,Protonotaria citrea,Protonotaria citrea,Protonotaria citrea,Protonotaria citrea,Protonotaria citrea
Quiscalus major,Quiscalus major,2,NA,Quiscalus major,Quiscalus major,Quiscalus major,Quiscalus major,Quiscalus major,Quiscalus major
Quiscalus quiscula,Quiscalus quiscula,2,NA,Quiscalus quiscula,Quiscalus quiscula,Quiscalus quiscula,Quiscalus quiscula,Quiscalus quiscula,Quiscalus quiscula
Rallus elegans,Rallus elegans,2,NA,Rallus elegans,Rallus elegans,Rallus elegans,Rallus elegans,Rallus elegans,Rallus elegans
Rallus limicola,Rallus limicola,2,NA,Rallus limicola,Rallus limicola,Rallus limicola,Rallus limicola,Rallus limicola,Rallus limicola
Rallus longirostris,Rallus longirostris,2,NA,Rallus longirostris,Rallus longirostris,Rallus longirostris,Rallus longirostris,Rallus longirostris,Rallus longirostris
Regulus calendula,Regulus calendula,2,NA,Regulus calendula,Regulus calendula,NA,Regulus calendula,Regulus calendula,Regulus calendula
Regulus satrapa,Regulus satrapa,2,NA,Regulus satrapa,Regulus satrapa,Regulus satrapa,Regulus satrapa,Regulus satrapa,Regulus satrapa
Riparia riparia,Riparia riparia,2,NA,Riparia riparia,Riparia riparia,Riparia riparia,Riparia riparia,Riparia riparia,Riparia riparia
Rynchops niger,Rynchops niger,2,NA,Rynchops niger,Rynchops niger,Rynchops niger,Rynchops niger,Rynchops niger,Rynchops niger
Sayornis phoebe,Sayornis phoebe,2,NA,Sayornis phoebe,Sayornis phoebe,Sayornis phoebe,Sayornis phoebe,Sayornis phoebe,Sayornis phoebe
Scolopax minor,Scolopax minor,2,NA,Scolopax minor,Scolopax minor,Scolopax minor,Scolopax minor,Scolopax minor,Scolopax minor
Seiurus aurocapilla,Seiurus aurocapilla,2,NA,Seiurus aurocapilla,Seiurus aurocapilla,Seiurus aurocapilla,Seiurus aurocapilla,Seiurus aurocapilla,Seiurus aurocapilla
Seiurus motacilla,Seiurus motacilla,2,NA,Seiurus motacilla,NA,NA,NA,Seiurus motacilla,Seiurus motacilla
Seiurus noveboracensis,Seiurus noveboracensis,2,NA,Seiurus noveboracensis,NA,NA,NA,Seiurus noveboracensis,NA
Setophaga ruticilla,Setophaga ruticilla,2,NA,Setophaga ruticilla,Setophaga ruticilla,Setophaga ruticilla,Setophaga ruticilla,Setophaga ruticilla,Setophaga ruticilla
Sialia sialis,Sialia sialis,2,NA,Sialia sialis,Sialia sialis,Sialia sialis,Sialia sialis,Sialia sialis,Sialia sialis
Sitta canadensis,Sitta canadensis,2,NA,Sitta canadensis,Sitta canadensis,Sitta canadensis,Sitta canadensis,Sitta canadensis,Sitta canadensis
Sitta carolinensis,Sitta carolinensis,2,NA,Sitta carolinensis,Sitta carolinensis,Sitta carolinensis,Sitta carolinensis,Sitta carolinensis,Sitta carolinensis
Somateria mollissima,Somateria mollissima,2,NA,Somateria mollissima,Somateria mollissima,Somateria mollissima,Somateria mollissima,Somateria mollissima,Somateria mollissima
Sphyrapicus varius,Sphyrapicus varius,2,NA,Sphyrapicus varius,Sphyrapicus varius,Sphyrapicus varius,Sphyrapicus varius,Sphyrapicus varius,Sphyrapicus varius
Spinus pinus,Spinus pinus,2,NA,Spinus pinus,NA,Spinus pinus,Spinus pinus,Spinus pinus,NA
Spinus tristis,Spinus tristis,2,NA,Spinus tristis,NA,Spinus tristis,Spinus tristis,Spinus tristis,NA
Spiza americana,Spiza americana,2,NA,Spiza americana,Spiza americana,Spiza americana,Spiza americana,Spiza americana,Spiza americana
Spizella pallida,Spizella pallida,2,NA,Spizella pallida,Spizella pallida,Spizella pallida,Spizella pallida,Spizella pallida,Spizella pallida
Spizella passerina,Spizella passerina,2,NA,Spizella passerina,Spizella passerina,Spizella passerina,Spizella passerina,Spizella passerina,Spizella passerina
Spizella pusilla,Spizella pusilla,2,NA,Spizella pusilla,Spizella pusilla,Spizella pusilla,Spizella pusilla,Spizella pusilla,Spizella pusilla
Stelgidopteryx serripennis,Stelgidopteryx serripennis,2,NA,Stelgidopteryx serripennis,Stelgidopteryx serripennis,Stelgidopteryx serripennis,Stelgidopteryx serripennis,Stelgidopteryx serripennis,Stelgidopteryx serripennis
Sterna dougallii,Sterna dougallii,2,NA,Sterna dougallii,Sterna dougallii,Sterna dougallii,Sterna dougallii,Sterna dougallii,Sterna dougallii
Sterna forsteri,Sterna forsteri,2,NA,Sterna forsteri,Sterna forsteri,Sterna forsteri,Sterna forsteri,Sterna forsteri,Sterna forsteri
Sterna hirundo,Sterna hirundo,2,NA,Sterna hirundo,Sterna hirundo,Sterna hirundo,Sterna hirundo,Sterna hirundo,Sterna hirundo
Sternula antillarum,Sternula antillarum,2,NA,Sternula antillarum,Sternula antillarum,Sternula antillarum,Sternula antillarum,Sternula antillarum,Sternula antillarum
Streptopelia decaocto,Streptopelia decaocto,2,NA,Streptopelia decaocto,Streptopelia decaocto,Streptopelia decaocto,Streptopelia decaocto,Streptopelia decaocto,Streptopelia decaocto
Strix varia,Strix varia,2,NA,Strix varia,Strix varia,Strix varia,Strix varia,Strix varia,Strix varia
Sturnella magna,Sturnella magna,2,NA,Sturnella magna,Sturnella magna,Sturnella magna,Sturnella magna,Sturnella magna,Sturnella magna
Sturnella neglecta,Sturnella neglecta,2,NA,Sturnella neglecta,Sturnella neglecta,Sturnella neglecta,Sturnella neglecta,Sturnella neglecta,Sturnella neglecta
Sturnus vulgaris,Sturnus vulgaris,2,NA,Sturnus vulgaris,Sturnus vulgaris,Sturnus vulgaris,Sturnus vulgaris,Sturnus vulgaris,Sturnus vulgaris
Tachycineta bicolor,Tachycineta bicolor,2,NA,Tachycineta bicolor,Tachycineta bicolor,Tachycineta bicolor,Tachycineta bicolor,Tachycineta bicolor,Tachycineta bicolor
Thryothorus ludovicianus,Thryothorus ludovicianus,2,NA,Thryothorus ludovicianus,Thryothorus ludovicianus,Thryothorus ludovicianus,Thryothorus ludovicianus,Thryothorus ludovicianus,Thryothorus ludovicianus
Toxostoma rufum,Toxostoma rufum,2,NA,Toxostoma rufum,Toxostoma rufum,Toxostoma rufum,Toxostoma rufum,Toxostoma rufum,Toxostoma rufum
Tringa semipalmata,Tringa semipalmata,2,NA,Tringa semipalmata,Tringa semipalmata,Tringa semipalmata,Tringa semipalmata,Tringa semipalmata,Tringa semipalmata
Troglodytes aedon,Troglodytes aedon,2,NA,Troglodytes aedon,Troglodytes aedon,Troglodytes aedon,Troglodytes aedon,Troglodytes aedon,Troglodytes aedon
Troglodytes troglodytes,Troglodytes troglodytes,2,NA,Troglodytes troglodytes,Troglodytes troglodytes,Troglodytes troglodytes,NA,Troglodytes troglodytes,Troglodytes troglodytes
Turdus migratorius,Turdus migratorius,2,NA,Turdus migratorius,Turdus migratorius,Turdus migratorius,Turdus migratorius,Turdus migratorius,Turdus migratorius
Tyrannus tyrannus,Tyrannus tyrannus,2,NA,Tyrannus tyrannus,Tyrannus tyrannus,Tyrannus tyrannus,Tyrannus tyrannus,Tyrannus tyrannus,Tyrannus tyrannus
Tyrannus verticalis,Tyrannus verticalis,2,NA,Tyrannus verticalis,Tyrannus verticalis,Tyrannus verticalis,Tyrannus verticalis,Tyrannus verticalis,Tyrannus verticalis
Tyto alba,Tyto alba,2,NA,Tyto alba,Tyto alba,Tyto alba,Tyto alba,Tyto alba,Tyto alba
Vermivora chrysoptera,Vermivora chrysoptera,2,NA,Vermivora chrysoptera,Vermivora chrysoptera,Vermivora chrysoptera,Vermivora chrysoptera,Vermivora chrysoptera,Vermivora chrysoptera
Vermivora chrysoptera x V. pinus,Vermivora chrysoptera,5,"6075A, 2665A, 6381C, 5656D, 5457D, 2371A, 4791C, 3370D, 7554A, 5655B, 3966C, 2766D, 5960D, 2177A, 7555C, 2578C, 6152D, 6452A, 4771C, 2674A, 4283A, 6067A, 5772C, 2475C, 6252C, 5659D, 3876D, 5867C, 2180B, 4779C, 2770B, 6076D, 3965B, 3769D, 5397A, 3974D, 1968C, 2967A, 2471B, 3465A, 4573B, 5375A, 3980B, 3078B, 6156C, 5070D, 6063D, 5868C, 4381C, 5070A, 6071C, 6373A, 6156D, 3465D, 5859C, 3168B, 4565A, 5859B, 5986C, 5969A, 5757B, 4871A, 5170A, 6058D, 6552A, 6553C, 3768A, 5764B, 5866C, 6057C, 6156A, 5871B, 4570A, 2072A, 4175D, 5854A, 5755B, 3769A, 5562D, 3365B",Vermivora chrysoptera x v. pinus,Vermivora chrysoptera,Vermivora chrysoptera,Vermivora chrysoptera,Vermivora chrysoptera,Vermivora chrysoptera
Vermivora peregrina,Vermivora peregrina,2,NA,Vermivora peregrina,NA,NA,NA,Vermivora peregrina,Vermivora peregrina
Vermivora pinus,Vermivora pinus,2,NA,Vermivora pinus,NA,NA,NA,Vermivora pinus,Vermivora pinus
Vermivora pinus x V. chrysoptera,Vermivora pinus,5,"3881C, 5657B, 5865D, 1768C, 5858C, 3078C, 6283C, 2271B, 2777A, 1568C, 3167B, 3677C, 3679D, 4166B, 5556B, 2869A, 2174B, 1369C, 1672A, 4590D, 3178D, 2275D, 2274A, 5556D, 5555B, 4489D, 5861D, 3579A, 3578B, 5456B, 3578A, 1878B, 3867C, 5357A, 6051B, 4578D, 1778C, 2474C, 1870B, 5669D, 2278C, 5861B, 4590C, 6279D, 5774C, 5863B, 2276B, 5757D, 2274C, 5656A, 4271A, 2374B, 2279C, 6282D, 4974D, 2177A, 4066C, 4969B, 5573C, 2773A, 3079C, 2377B, 3478D, 5672B, 4587A, 4185D, 4184C, 3875A, 3680D, 4268C, 4084D, 3570B, 6169D, 6276D, 5069D, 2573B, 2573C, 2471A, 5967A, 3981D, 2180C, 5659C, 2180D, 5396A, 3978C, 5174D, 4488D, 3965A, 5073A, 2375B, 5871B, 4677A, 3780A, 5868C, 4284C, 4588A, 6066C, 3965B, 2471B, 2572A, 4388C, 3881A, 3876D, 3177D, 2479B, 1765A, 2180A, 3680B, 4285C, 1778B, 5172B, 1977A, 4676D, 1968C, 4088A, 2774A, 3977A, 4166C, 2069B, 1766A, 1566B, 3565B, 4867C, 4766C, 1771D, 4673D, 4573B, 4277A, 2979D, 4280B, 4175A, 5172D, 5072B, 6076D, 5674D, 3269D, 3767C, 5561C, 6156C, 3072B, 5670D, 1268C, 3565C, 4470B, 5966A, 5070D, 2072A, 2676D, 2676B, 5574C, 5475B, 2080D, 4381C, 3776B, 2873A, 3881B, 4081C, 4080C, 5073D, 5070A, 4872D, 5776B, 5775B, 5876C, 2968D, 4692A, 5062D, 3870A, 5565C, 5664D, 6376C, 3578C, 5956C, 5953A, 3172D, 5771C, 4465A, 4365A, 4465C, 1067B, 4570A, 6166A, 6166C, 6167B, 4170B, 4776A, 4578C, 4174C, 5359C, 5759C, 5656B, 5757B, 4082A, 4281C, 4182A, 5271B, 3168A, 3168B, 5359B, 3769B, 3870D, 3771B, 5955B, 3465C, 6060D, 5557B, 3980B, 5071A, 5170A, 5271A, 5173D, 4771A, 4960D, 5764B, 5664C, 6055C, 5856D, 5954B, 3172A, 5671B, 4167D, 4167B, 3465B, 6160D, 5961B, 4281B, 5272A, 5173A, 5272C, 5755B, 3768A, 3769A, 5562B, 6057A, 6163A, 6162A, 5957A",Vermivora pinus x v. chrysoptera,NA,NA,NA,Vermivora pinus,Vermivora pinus
Vermivora ruficapilla,Vermivora ruficapilla,2,NA,Vermivora ruficapilla,NA,NA,NA,Vermivora ruficapilla,Vermivora ruficapilla
Vireo flavifrons,Vireo flavifrons,2,NA,Vireo flavifrons,Vireo flavifrons,Vireo flavifrons,Vireo flavifrons,Vireo flavifrons,Vireo flavifrons
Vireo gilvus,Vireo gilvus,2,NA,Vireo gilvus,Vireo gilvus,Vireo gilvus,Vireo gilvus,Vireo gilvus,Vireo gilvus
Vireo griseus,Vireo griseus,2,NA,Vireo griseus,Vireo griseus,Vireo griseus,Vireo griseus,Vireo griseus,Vireo griseus
Vireo olivaceus,Vireo olivaceus,2,NA,Vireo olivaceus,Vireo olivaceus,Vireo olivaceus,Vireo olivaceus,Vireo olivaceus,Vireo olivaceus
Vireo philadelphicus,Vireo philadelphicus,2,NA,Vireo philadelphicus,Vireo philadelphicus,Vireo philadelphicus,Vireo philadelphicus,Vireo philadelphicus,Vireo philadelphicus
Vireo solitarius,Vireo solitarius,2,NA,Vireo solitarius,Vireo solitarius,Vireo solitarius,Vireo solitarius,Vireo solitarius,Vireo solitarius
Wilsonia canadensis,Wilsonia canadensis,2,NA,Wilsonia canadensis,Wilsonia canadensis,NA,NA,Wilsonia canadensis,Wilsonia canadensis
Wilsonia citrina,Wilsonia citrina,2,NA,Wilsonia citrina,Wilsonia citrina,NA,NA,Wilsonia citrina,Wilsonia citrina
Wilsonia pusilla,Wilsonia pusilla,2,NA,Wilsonia pusilla,Wilsonia pusilla,NA,NA,Wilsonia pusilla,Wilsonia pusilla
Zenaida macroura,Zenaida macroura,2,NA,Zenaida macroura,Zenaida macroura,Zenaida macroura,Zenaida macroura,Zenaida macroura,Zenaida macroura
Zonotrichia albicollis,Zonotrichia albicollis,2,NA,Zonotrichia albicollis,Zonotrichia albicollis,Zonotrichia albicollis,Zonotrichia albicollis,Zonotrichia albicollis,Zonotrichia albicollis
