verbatim_name;sp_names_atlas_adapted_keep;sp_BirdTree;sp_BirdLife;sp_eBird;sp_group_eBird;sp_BOTW;BirdTree_tip.labels
Caprimulgus indicus;Caprimulgus indicus;Caprimulgus indicus;Caprimulgus phalaena;Caprimulgus indicus;Caprimulgus indicus;Caprimulgus indicus;Caprimulgus indicus
Caprimulgus indicus;Caprimulgus indicus;Caprimulgus indicus;Caprimulgus jotaka;Caprimulgus indicus;Caprimulgus indicus;Caprimulgus indicus;Caprimulgus indicus
Caprimulgus indicus;Caprimulgus indicus;Caprimulgus indicus;Caprimulgus indicus;Caprimulgus indicus;Caprimulgus indicus;Caprimulgus indicus;Caprimulgus ruficollis
Caprimulgus ruficollis;Caprimulgus ruficollis;Caprimulgus ruficollis;Caprimulgus ruficollis;Caprimulgus ruficollis;Caprimulgus ruficollis;Caprimulgus ruficollis;#N/A
Caprimulgus vociferus;Caprimulgus vociferus;NA;Antrostomus arizonae;Antrostomus arizonae;Antrostomus arizonae;#N/A;#N/A
Caprimulgus vociferus;Caprimulgus vociferus;NA;Antrostomus vociferus;Antrostomus vociferus;Antrostomus vociferus;#N/A;Cardinalis cardinalis
Cardinalis cardinalis;Cardinalis cardinalis;Cardinalis cardinalis;Cardinalis cardinalis;Cardinalis cardinalis;Cardinalis cardinalis;Cardinalis cardinalis;#N/A
Carduelis cannabina;Carduelis cannabina;NA;Linaria cannabina;Linaria cannabina;Linaria cannabina;#N/A;Carduelis carduelis
Carduelis carduelis;Carduelis carduelis;Carduelis carduelis;Carduelis caniceps;Carduelis carduelis;Carduelis carduelis [carduelis Group];Carduelis carduelis;Carduelis carduelis
Carduelis carduelis;Carduelis carduelis;Carduelis carduelis;Carduelis carduelis;Carduelis carduelis;Carduelis carduelis [carduelis Group];Carduelis carduelis;#N/A
Carduelis chloris;Carduelis chloris;NA;Chloris chloris;Chloris chloris;Chloris chloris;#N/A;Carduelis citrinella
Carduelis citrinella;Carduelis citrinella;Carduelis citrinella;Carduelis citrinella;Carduelis citrinella;Carduelis citrinella;Carduelis citrinella;Carduelis corsicana
Carduelis corsicana;Carduelis corsicana;Carduelis corsicana;Carduelis corsicana;Carduelis corsicana;Carduelis corsicana;Carduelis corsicana;#N/A
Carduelis flammea;Carduelis flammea;NA;Acanthis flammea;Acanthis cabaret;Acanthis hornemanni/flammea/cabaret;#N/A;#N/A
Carduelis flammea;Carduelis flammea;NA;Acanthis flammea;Acanthis flammea;Acanthis hornemanni/flammea/cabaret;#N/A;#N/A
Carduelis flammea;Carduelis flammea;NA;Acanthis flammea;NA;Acanthis hornemanni/flammea/cabaret;#N/A;#N/A
Carduelis spinus;Carduelis spinus;NA;Spinus spinus;Spinus spinus;Spinus spinus;#N/A;Carpodacus erythrinus
Carpodacus erythrinus;Carpodacus erythrinus;Carpodacus erythrinus;Carpodacus erythrinus;Carpodacus erythrinus;Carpodacus erythrinus;Carpodacus erythrinus;#N/A
Carpodacus mexicanus;Carpodacus mexicanus;NA;Haemorhous mexicanus;Haemorhous mexicanus;Haemorhous mexicanus;#N/A;#N/A
Carpodacus purpureus;Carpodacus purpureus;NA;Haemorhous purpureus;Haemorhous purpureus;Haemorhous purpureus;#N/A;Carpodacus rubicilla
Carpodacus rubicilla;Carpodacus rubicilla;Carpodacus rubicilla;Carpodacus rubicilla;Carpodacus rubicilla;Carpodacus rubicilla;Carpodacus rubicilla;Catharacta skua
Catharacta skua;Catharacta skua;Catharacta skua;Catharacta skua;Stercorarius skua;Stercorarius skua;Catharacta skua;Cathartes aura
Cathartes aura;Cathartes aura;Cathartes aura;Cathartes aura;Cathartes aura;Cathartes aura;Cathartes aura;Catharus bicknelli
Catharus bicknelli;Catharus bicknelli;Catharus bicknelli;Catharus bicknelli;Catharus bicknelli;Catharus bicknelli;Catharus bicknelli;Catharus fuscescens
Catharus fuscescens;Catharus fuscescens;Catharus fuscescens;Catharus fuscescens;Catharus fuscescens;Catharus fuscescens;Catharus fuscescens;Catharus guttatus
Catharus guttatus;Catharus guttatus;Catharus guttatus;Catharus guttatus;Catharus guttatus;Catharus guttatus;Catharus guttatus;Catharus ustulatus
Catharus ustulatus;Catharus ustulatus;Catharus ustulatus;Catharus ustulatus;Catharus ustulatus;Catharus ustulatus [ustulatus Group];Catharus ustulatus;Catharus ustulatus
Catharus ustulatus;Catharus ustulatus;Catharus ustulatus;NA;Catharus ustulatus;Catharus ustulatus [ustulatus Group];Catharus ustulatus;Catharus ustulatus
Catharus ustulatus;Catharus ustulatus;Catharus ustulatus;Catharus swainsoni;Catharus ustulatus;Catharus ustulatus [ustulatus Group];Catharus ustulatus;Hirundo striolata
Cecropis daurica;Cecropis daurica;Hirundo striolata;NA;Cecropis striolata;Cecropis striolata;Cecropis daurica;Hirundo daurica
Cecropis daurica;Cecropis daurica;Hirundo daurica;NA;Cecropis daurica;Cecropis daurica;Cecropis daurica;Cepphus carbo
Cepphus carbo;Cepphus carbo;Cepphus carbo;Cepphus carbo;Cepphus carbo;Cepphus carbo;Cepphus carbo;Cepphus grylle
Cepphus grylle;Cepphus grylle;Cepphus grylle;Cepphus grylle;Cepphus grylle;Cepphus grylle;Cepphus grylle;Erythropygia galactotes
Cercotrichas galactotes;Cercotrichas galactotes;Erythropygia galactotes;NA;Cercotrichas galactotes;Cercotrichas galactotes;Cercotrichas galactotes;Cerorhinca monocerata
Cerorhinca monocerata;Cerorhinca monocerata;Cerorhinca monocerata;Cerorhinca monocerata;Cerorhinca monocerata;Cerorhinca monocerata;Cerorhinca monocerata;Certhia americana
Certhia americana;Certhia americana;Certhia americana;Certhia americana;Certhia americana;Certhia americana;Certhia americana;Certhia brachydactyla
Certhia brachydactyla;Certhia brachydactyla;Certhia brachydactyla;Certhia brachydactyla;Certhia brachydactyla;Certhia brachydactyla;Certhia brachydactyla;Certhia familiaris
Certhia familiaris;Certhia familiaris;Certhia familiaris;Certhia familiaris;Certhia familiaris;Certhia familiaris;Certhia familiaris;Cettia cetti
Cettia cetti;Cettia cetti;Cettia cetti;Cettia cetti;Cettia cetti;Cettia cetti;Cettia cetti;#N/A
Cettia diphone;Cettia diphone;NA;Horornis diphone;Horornis diphone;Horornis diphone;#N/A;Chaetura pelagica
Chaetura pelagica;Chaetura pelagica;Chaetura pelagica;Chaetura pelagica;Chaetura pelagica;Chaetura pelagica;Chaetura pelagica;Chalcophaps indica
Chalcophaps indica;Chalcophaps indica;Chalcophaps indica;Chalcophaps longirostris;Chalcophaps indica;Chalcophaps indica;Chalcophaps indica;Chalcophaps indica
Chalcophaps indica;Chalcophaps indica;Chalcophaps indica;Chalcophaps indica;Chalcophaps indica;Chalcophaps indica;Chalcophaps indica;Chalcophaps indica
Chalcophaps indica;Chalcophaps indica;Chalcophaps indica;NA;Chalcophaps indica;Chalcophaps indica;Chalcophaps indica;Charadrius alexandrinus
Charadrius alexandrinus;Charadrius alexandrinus;Charadrius alexandrinus;Charadrius alexandrinus;Charadrius alexandrinus;Charadrius alexandrinus;Charadrius alexandrinus;Charadrius alexandrinus
Charadrius alexandrinus;Charadrius alexandrinus;Charadrius alexandrinus;Charadrius dealbatus;Charadrius alexandrinus;Charadrius alexandrinus;Charadrius alexandrinus;Charadrius alexandrinus
Charadrius alexandrinus;Charadrius alexandrinus;Charadrius alexandrinus;Charadrius nivosus;Charadrius alexandrinus;Charadrius alexandrinus;Charadrius alexandrinus;Charadrius asiaticus
Charadrius asiaticus;Charadrius asiaticus;Charadrius asiaticus;Charadrius asiaticus;Charadrius asiaticus;Charadrius asiaticus;Charadrius asiaticus;Charadrius dubius
Charadrius dubius;Charadrius dubius;Charadrius dubius;Charadrius dubius;Charadrius dubius;Charadrius dubius;Charadrius dubius;Charadrius hiaticula
Charadrius hiaticula;Charadrius hiaticula;Charadrius hiaticula;Charadrius hiaticula;Charadrius hiaticula;Charadrius hiaticula;Charadrius hiaticula;Charadrius leschenaultii
Charadrius leschenaultii;Charadrius leschenaultii;Charadrius leschenaultii;Charadrius leschenaultii;Charadrius leschenaultii;Charadrius leschenaultii;Charadrius leschenaultii;Charadrius melodus
Charadrius melodus;Charadrius melodus;Charadrius melodus;Charadrius melodus;Charadrius melodus;Charadrius melodus;Charadrius melodus;#N/A
Charadrius morinellus;Charadrius morinellus;NA;NA;NA;NA;#N/A;Charadrius placidus
Charadrius placidus;Charadrius placidus;Charadrius placidus;Charadrius placidus;Charadrius placidus;Charadrius placidus;Charadrius placidus;Charadrius vociferus
Charadrius vociferus;Charadrius vociferus;Charadrius vociferus;Charadrius vociferus;Charadrius vociferus;Charadrius vociferus;Charadrius vociferus;Chersophilus duponti
Chersophilus duponti;Chersophilus duponti;Chersophilus duponti;Chersophilus duponti;Chersophilus duponti;Chersophilus duponti;Chersophilus duponti;Chlidonias hybrida
Chlidonias hybrida;Chlidonias hybrida;Chlidonias hybrida;Chlidonias hybrida;Chlidonias hybrida;Chlidonias hybrida;Chlidonias hybrida;Chlidonias leucopterus
Chlidonias leucopterus;Chlidonias leucopterus;Chlidonias leucopterus;Chlidonias leucopterus;Chlidonias leucopterus;Chlidonias leucopterus;Chlidonias leucopterus;Chlidonias niger
Chlidonias niger;Chlidonias niger;Chlidonias niger;Chlidonias niger;Chlidonias niger;Chlidonias niger;Chlidonias niger;Carduelis chloris
Chloris chloris;Chloris chloris;Carduelis chloris;NA;Chloris chloris;Chloris chloris;Chloris chloris;Carduelis sinica
Chloris sinica;Chloris sinica;Carduelis sinica;NA;Chloris sinica;Chloris sinica;Chloris sinica;Chordeiles minor
Chordeiles minor;Chordeiles minor;Chordeiles minor;Chordeiles minor;Chordeiles minor;Chordeiles minor;Chordeiles minor;Chrysolophus amherstiae
Chrysolophus amherstiae;Chrysolophus amherstiae;Chrysolophus amherstiae;Chrysolophus amherstiae;Chrysolophus amherstiae;Chrysolophus amherstiae;Chrysolophus amherstiae;Chrysolophus pictus
Chrysolophus pictus;Chrysolophus pictus;Chrysolophus pictus;Chrysolophus pictus;Chrysolophus pictus;Chrysolophus pictus;Chrysolophus pictus;Ciconia ciconia
Ciconia ciconia;Ciconia ciconia;Ciconia ciconia;Ciconia ciconia;Ciconia ciconia;Ciconia ciconia;Ciconia ciconia;Ciconia nigra
Ciconia nigra;Ciconia nigra;Ciconia nigra;Ciconia nigra;Ciconia nigra;Ciconia nigra;Ciconia nigra;Cinclus cinclus
Cinclus cinclus;Cinclus cinclus;Cinclus cinclus;Cinclus cinclus;Cinclus cinclus;Cinclus cinclus;Cinclus cinclus;Cinclus pallasii
Cinclus pallasii;Cinclus pallasii;Cinclus pallasii;Cinclus pallasii;Cinclus pallasii;Cinclus pallasii;Cinclus pallasii;Circaetus gallicus
Circaetus gallicus;Circaetus gallicus;Circaetus gallicus;Circaetus gallicus;Circaetus gallicus;Circaetus gallicus;Circaetus gallicus;Circus aeruginosus
Circus aeruginosus;Circus aeruginosus;Circus aeruginosus;Circus aeruginosus;Circus aeruginosus;Circus aeruginosus;Circus aeruginosus;Circus cyaneus
Circus cyaneus;Circus cyaneus;Circus cyaneus;Circus hudsonius;Circus cyaneus;Circus cyaneus;Circus cyaneus;Circus cyaneus
Circus cyaneus;Circus cyaneus;Circus cyaneus;Circus cyaneus;Circus cyaneus;Circus cyaneus;Circus cyaneus;Circus macrourus
Circus macrourus;Circus macrourus;Circus macrourus;Circus macrourus;Circus macrourus;Circus macrourus;Circus macrourus;Circus pygargus
Circus pygargus;Circus pygargus;Circus pygargus;Circus pygargus;Circus pygargus;Circus pygargus;Circus pygargus;Circus spilonotus
Circus spilonotus;Circus spilonotus;Circus spilonotus;Circus spilothorax;Circus spilonotus;Circus spilonotus;Circus spilonotus;Circus spilonotus
Circus spilonotus;Circus spilonotus;Circus spilonotus;Circus spilonotus;Circus spilonotus;Circus spilonotus;Circus spilonotus;Circus spilonotus
Circus spilonotus;Circus spilonotus;Circus spilonotus;NA;Circus spilonotus;Circus spilonotus;Circus spilonotus;Cisticola juncidis
Cisticola juncidis;Cisticola juncidis;Cisticola juncidis;Cisticola juncidis;Cisticola juncidis;Cisticola juncidis;Cisticola juncidis;Cistothorus palustris
Cistothorus palustris;Cistothorus palustris;Cistothorus palustris;Cistothorus palustris;Cistothorus palustris;Cistothorus palustris;Cistothorus palustris;Cistothorus platensis
Cistothorus platensis;Cistothorus platensis;Cistothorus platensis;Cistothorus platensis;Cistothorus platensis;Cistothorus platensis;Cistothorus platensis;Cistothorus platensis
Cistothorus platensis;Cistothorus platensis;Cistothorus platensis;Cistothorus stellaris;Cistothorus platensis;Cistothorus platensis;Cistothorus platensis;Clamator glandarius
Clamator glandarius;Clamator glandarius;Clamator glandarius;Clamator glandarius;Clamator glandarius;Clamator glandarius;Clamator glandarius;Aquila clanga
Clanga clanga;Clanga clanga;Aquila clanga;NA;Clanga clanga;Clanga clanga;Clanga clanga;Aquila pomarina
Clanga pomarina;Clanga pomarina;Aquila pomarina;NA;Clanga pomarina;Clanga pomarina;Clanga pomarina;Clangula hyemalis
Clangula hyemalis;Clangula hyemalis;Clangula hyemalis;Clangula hyemalis;Clangula hyemalis;Clangula hyemalis;Clangula hyemalis;Coccothraustes coccothraustes
Coccothraustes coccothraustes;Coccothraustes coccothraustes;Coccothraustes coccothraustes;Coccothraustes coccothraustes;Coccothraustes coccothraustes;Coccothraustes coccothraustes;Coccothraustes coccothraustes;#N/A
Coccothraustes vespertinus;Coccothraustes vespertinus;NA;Hesperiphona vespertina;Coccothraustes vespertinus;Coccothraustes vespertinus;#N/A;Coccyzus americanus
Coccyzus americanus;Coccyzus americanus;Coccyzus americanus;Coccyzus americanus;Coccyzus americanus;Coccyzus americanus;Coccyzus americanus;Coccyzus erythropthalmus
Coccyzus erythropthalmus;Coccyzus erythropthalmus;Coccyzus erythropthalmus;Coccyzus erythropthalmus;Coccyzus erythropthalmus;Coccyzus erythropthalmus;Coccyzus erythropthalmus;Colaptes auratus
Colaptes auratus;Colaptes auratus;Colaptes auratus;Colaptes auratus;Colaptes auratus;Colaptes auratus;Colaptes auratus;Colaptes auratus
Colaptes auratus;Colaptes auratus;Colaptes auratus;NA;Colaptes auratus;Colaptes auratus;Colaptes auratus;Colaptes auratus
Colaptes auratus;Colaptes auratus;Colaptes auratus;Colaptes mexicanoides;Colaptes auratus;Colaptes auratus;Colaptes auratus;Colaptes auratus
Colaptes auratus;Colaptes auratus;Colaptes auratus;Colaptes cafer;Colaptes auratus;Colaptes auratus;Colaptes auratus;Colinus virginianus
Colinus virginianus;Colinus virginianus;Colinus virginianus;Colinus virginianus;Colinus virginianus;Colinus virginianus;Colinus virginianus;Columba janthina
Columba janthina;Columba janthina;Columba janthina;Columba janthina;Columba janthina;Columba janthina;Columba janthina;Columba livia
Columba livia;Columba livia;Columba livia;Columba livia;Columba livia;Columba livia;Columba livia;Columba oenas
Columba oenas;Columba oenas;Columba oenas;Columba oenas;Columba oenas;Columba oenas;Columba oenas;Columba palumbus
Columba palumbus;Columba palumbus;Columba palumbus;Columba palumbus;Columba palumbus;Columba palumbus;Columba palumbus;Columba trocaz
Columba trocaz;Columba trocaz;Columba trocaz;Columba trocaz;Columba trocaz;Columba trocaz;Columba trocaz;Contopus cooperi
Contopus cooperi;Contopus cooperi;Contopus cooperi;Contopus cooperi;Contopus cooperi;Contopus cooperi;Contopus cooperi;Contopus virens
Contopus virens;Contopus virens;Contopus virens;Contopus virens;Contopus virens;Contopus virens;Contopus virens;Coracias garrulus
Coracias garrulus;Coracias garrulus;Coracias garrulus;Coracias garrulus;Coracias garrulus;Coracias garrulus;Coracias garrulus;Corvus brachyrhynchos
Corvus brachyrhynchos;Corvus brachyrhynchos;Corvus brachyrhynchos;Corvus brachyrhynchos;Corvus brachyrhynchos;Corvus brachyrhynchos;Corvus brachyrhynchos;Corvus corax
Corvus corax;Corvus corax;Corvus corax;Corvus corax;Corvus corax;Corvus corax;Corvus corax;Corvus corone
Corvus corone;Corvus corone;Corvus corone;Corvus corone;Corvus corone;Corvus corone/cornix;Corvus corone;Corvus corone
Corvus corone;Corvus corone;Corvus corone;Corvus corone;Corvus cornix;Corvus corone/cornix;Corvus corone;Corvus corone
Corvus corone;Corvus corone;Corvus corone;Corvus corone;NA;Corvus corone/cornix;Corvus corone;Corvus frugilegus
Corvus frugilegus;Corvus frugilegus;Corvus frugilegus;Corvus frugilegus;Corvus frugilegus;Corvus frugilegus;Corvus frugilegus;Corvus levaillantii
Corvus macrorhynchos;Corvus macrorhynchos;Corvus levaillantii;Corvus macrorhynchos;Corvus macrorhynchos;Corvus macrorhynchos;Corvus macrorhynchos;Corvus macrorhynchos
Corvus macrorhynchos;Corvus macrorhynchos;Corvus macrorhynchos;Corvus macrorhynchos;Corvus macrorhynchos;Corvus macrorhynchos;Corvus macrorhynchos;Corvus monedula
Corvus monedula;Corvus monedula;Corvus monedula;Corvus monedula;Corvus monedula;Corvus monedula;Corvus monedula;Corvus ossifragus
Corvus ossifragus;Corvus ossifragus;Corvus ossifragus;Corvus ossifragus;Corvus ossifragus;Corvus ossifragus;Corvus ossifragus;Coturnix coturnix
Coturnix coturnix;Coturnix coturnix;Coturnix coturnix;Coturnix coturnix;Coturnix coturnix;Coturnix coturnix;Coturnix coturnix;Crex crex
Crex crex;Crex crex;Crex crex;Crex crex;Crex crex;Crex crex;Crex crex;Cuculus canorus
Cuculus canorus;Cuculus canorus;Cuculus canorus;Cuculus canorus;Cuculus canorus;Cuculus canorus;Cuculus canorus;Cuculus micropterus
Cuculus micropterus;Cuculus micropterus;Cuculus micropterus;Cuculus micropterus;Cuculus micropterus;Cuculus micropterus;Cuculus micropterus;#N/A
Cuculus optatus;Cuculus optatus;NA;Cuculus solitarius;Cuculus solitarius;Cuculus solitarius;Cuculus optatus;Cuculus poliocephalus
Cuculus poliocephalus;Cuculus poliocephalus;Cuculus poliocephalus;Cuculus poliocephalus;Cuculus poliocephalus;Cuculus poliocephalus;Cuculus poliocephalus;Cuculus saturatus
Cuculus saturatus;Cuculus saturatus;Cuculus saturatus;Cuculus saturatus;Cuculus saturatus;Cuculus saturatus;Cuculus saturatus;Cuculus saturatus
Cuculus saturatus;Cuculus saturatus;Cuculus saturatus;Cuculus saturatus;Cuculus saturatus;Cuculus saturatus/optatus;Cuculus saturatus;Luscinia svecica
Cyanecula svecica;Cyanecula svecica;Luscinia svecica;NA;Luscinia svecica;Luscinia svecica;#N/A;Parus caeruleus
Cyanistes caeruleus;Cyanistes caeruleus;Parus caeruleus;NA;Cyanistes caeruleus;Cyanistes caeruleus;Cyanistes caeruleus;Parus cyanus
Cyanistes cyanus;Cyanistes cyanus;Parus cyanus;NA;Cyanistes cyanus;Cyanistes cyanus;Cyanistes cyanus;Parus teneriffae
Cyanistes teneriffae;Cyanistes teneriffae;Parus teneriffae;NA;Cyanistes teneriffae;Cyanistes teneriffae;Cyanistes teneriffae;Cyanocitta cristata
Cyanocitta cristata;Cyanocitta cristata;Cyanocitta cristata;Cyanocitta cristata;Cyanocitta cristata;Cyanocitta cristata;Cyanocitta cristata;Cyanopica cyanus
Cyanopica cooki;Cyanopica cooki;Cyanopica cyanus;NA;Cyanopica cooki;Cyanopica cooki;Cyanopica cooki;Cyanopica cyanus
Cyanopica cyanus;Cyanopica cyanus;Cyanopica cyanus;Cyanopica cooki;Cyanopica cyanus;Cyanopica cyanus;Cyanopica cyanus;Cyanopica cyanus
Cyanopica cyanus;Cyanopica cyanus;Cyanopica cyanus;Cyanopica cyanus;Cyanopica cyanus;Cyanopica cyanus;Cyanopica cyanus;Cyanopica cyanus
Cyanopica cyanus;Cyanopica cyanus;Cyanopica cyanus;NA;Cyanopica cyanus;Cyanopica cyanus;Cyanopica cyanus;Cyanoptila cyanomelana
Cyanoptila cyanomelana;Cyanoptila cyanomelana;Cyanoptila cyanomelana;Cyanoptila cyanomelana;Cyanoptila cyanomelana;Cyanoptila cyanomelana;Cyanoptila cyanomelana;Cyanoptila cyanomelana
Cyanoptila cyanomelana;Cyanoptila cyanomelana;Cyanoptila cyanomelana;Cyanoptila cumatilis;Cyanoptila cyanomelana;Cyanoptila cyanomelana;Cyanoptila cyanomelana;Cyanoptila cyanomelana
Cyanoptila cyanomelana;Cyanoptila cyanomelana;Cyanoptila cyanomelana;NA;Cyanoptila cyanomelana;Cyanoptila cyanomelana;Cyanoptila cyanomelana;Cygnus columbianus
Cygnus columbianus;Cygnus columbianus;Cygnus columbianus;Cygnus columbianus;Cygnus columbianus;Cygnus columbianus;Cygnus columbianus;Cygnus cygnus
Cygnus cygnus;Cygnus cygnus;Cygnus cygnus;Cygnus cygnus;Cygnus cygnus;Cygnus cygnus;Cygnus cygnus;Cygnus olor
Cygnus olor;Cygnus olor;Cygnus olor;Cygnus olor;Cygnus olor;Cygnus olor;Cygnus olor;Delichon dasypus
Delichon dasypus;Delichon dasypus;Delichon dasypus;Delichon dasypus;Delichon dasypus;Delichon dasypus;Delichon dasypus;Delichon urbicum
Delichon urbica;Delichon urbicum;Delichon urbicum;Delichon lagopodum;Delichon urbicum;Delichon urbicum urbicum/meridionale;Delichon urbicum;Delichon urbicum
Delichon urbica;Delichon urbicum;Delichon urbicum;Delichon urbicum;Delichon urbicum;Delichon urbicum urbicum/meridionale;Delichon urbicum;Delichon urbicum
Delichon urbicum;Delichon urbicum;Delichon urbicum;Delichon lagopodum;Delichon urbicum;Delichon urbicum urbicum/meridionale;Delichon urbicum;Delichon urbicum
Delichon urbicum;Delichon urbicum;Delichon urbicum;Delichon urbicum;Delichon urbicum;Delichon urbicum urbicum/meridionale;Delichon urbicum;#N/A
Dendrocopos kizuki;Dendrocopos kizuki;NA;Picoides kizuki;Yungipicus kizuki;Yungipicus kizuki;#N/A;Dendrocopos leucotos
Dendrocopos leucotos;Dendrocopos leucotos;Dendrocopos leucotos;Dendrocopos leucotos;Dendrocopos leucotos;Dendrocopos leucotos;Dendrocopos leucotos;Dendrocopos leucotos
Dendrocopos leucotos;Dendrocopos leucotos;Dendrocopos leucotos;Dendrocopos owstoni;Dendrocopos leucotos;Dendrocopos leucotos;Dendrocopos leucotos;Dendrocopos major
Dendrocopos major;Dendrocopos major;Dendrocopos major;Dendrocopos major;Dendrocopos major;Dendrocopos major;Dendrocopos major;#N/A
Dendrocopos medius;Dendrocopos medius;NA;Leiopicus medius;Dendrocoptes medius;Dendrocoptes medius;#N/A;#N/A
Dendrocopos minor;Dendrocopos minor;NA;Dryobates minor;Dryobates minor;Dryobates minor;#N/A;Dendrocopos noguchii
Sapheopipo noguchii;Dendrocopos noguchii;Dendrocopos noguchii;Dendrocopos noguchii;Dendrocopos noguchii;Dendrocopos noguchii;Dendrocopos noguchii;Dendrocopos syriacus
Dendrocopos syriacus;Dendrocopos syriacus;Dendrocopos syriacus;Dendrocopos syriacus;Dendrocopos syriacus;Dendrocopos syriacus;Dendrocopos syriacus;#N/A
Dendroica caerulescens;Dendroica caerulescens;NA;Setophaga caerulescens;Setophaga caerulescens;Setophaga caerulescens;#N/A;#N/A
Dendroica castanea;Dendroica castanea;NA;Setophaga castanea;Setophaga castanea;Setophaga castanea;#N/A;#N/A
Dendroica cerulea;Dendroica cerulea;NA;Setophaga cerulea;Setophaga cerulea;Setophaga cerulea;#N/A;#N/A
Dendroica coronata;Dendroica coronata;NA;Setophaga coronata;Setophaga coronata;Setophaga coronata coronata;#N/A;#N/A
Dendroica coronata;Dendroica coronata;NA;Setophaga auduboni;Setophaga coronata;Setophaga coronata auduboni;#N/A;#N/A
Dendroica coronata;Dendroica coronata;NA;NA;Setophaga coronata;Setophaga coronata;#N/A;#N/A
Dendroica discolor;Dendroica discolor;NA;Setophaga discolor;Setophaga discolor;Setophaga discolor;#N/A;#N/A
Dendroica dominica;Dendroica dominica;NA;Setophaga dominica;Setophaga dominica;Setophaga dominica;#N/A;#N/A
Dendroica dominica;Dendroica dominica;NA;Setophaga flavescens;Setophaga flavescens;Setophaga flavescens;#N/A;#N/A
Dendroica fusca;Dendroica fusca;NA;Setophaga fusca;Setophaga fusca;Setophaga fusca;#N/A;#N/A
Dendroica magnolia;Dendroica magnolia;NA;Setophaga magnolia;Setophaga magnolia;Setophaga magnolia;#N/A;#N/A
Dendroica palmarum;Dendroica palmarum;NA;Setophaga palmarum;Setophaga palmarum;Setophaga palmarum;#N/A;#N/A
Dendroica pensylvanica;Dendroica pensylvanica;NA;Setophaga pensylvanica;Setophaga pensylvanica;Setophaga pensylvanica;#N/A;#N/A
Dendroica petechia;Dendroica petechia;NA;Setophaga petechia;Setophaga petechia;Setophaga petechia;#N/A;#N/A
Dendroica pinus;Dendroica pinus;NA;Setophaga pinus;Setophaga pinus;Setophaga pinus;#N/A;#N/A
Dendroica striata;Dendroica striata;NA;Setophaga striata;Setophaga striata;Setophaga striata;#N/A;#N/A
Dendroica tigrina;Dendroica tigrina;NA;Setophaga tigrina;Setophaga tigrina;Setophaga tigrina;#N/A;#N/A
Dendroica virens;Dendroica virens;NA;Setophaga virens;Setophaga virens;Setophaga virens;#N/A;Dolichonyx oryzivorus
Dolichonyx oryzivorus;Dolichonyx oryzivorus;Dolichonyx oryzivorus;Dolichonyx oryzivorus;Dolichonyx oryzivorus;Dolichonyx oryzivorus;Dolichonyx oryzivorus;Dendrocopos minor
Dryobates minor;Dryobates minor;Dendrocopos minor;NA;Dryobates minor;Dryobates minor;Dryobates minor;Dryocopus martius
Dryocopus martius;Dryocopus martius;Dryocopus martius;Dryocopus martius;Dryocopus martius;Dryocopus martius;Dryocopus martius;#N/A
Dryocopus pileatus;Dryocopus pileatus;NA;Hylatomus pileatus;Dryocopus pileatus;Dryocopus pileatus;#N/A;Dumetella carolinensis
Dumetella carolinensis;Dumetella carolinensis;Dumetella carolinensis;Dumetella carolinensis;Dumetella carolinensis;Dumetella carolinensis;Dumetella carolinensis;Egretta caerulea
Egretta caerulea;Egretta caerulea;Egretta caerulea;Egretta caerulea;Egretta caerulea;Egretta caerulea;Egretta caerulea;Egretta garzetta
Egretta garzetta;Egretta garzetta;Egretta garzetta;Egretta garzetta;Egretta garzetta;Egretta garzetta;Egretta garzetta;Egretta sacra
Egretta sacra;Egretta sacra;Egretta sacra;Egretta sacra;Egretta sacra;Egretta sacra;Egretta sacra;Egretta thula
Egretta thula;Egretta thula;Egretta thula;Egretta thula;Egretta thula;Egretta thula;Egretta thula;Egretta tricolor
Egretta tricolor;Egretta tricolor;Egretta tricolor;Egretta tricolor;Egretta tricolor;Egretta tricolor;Egretta tricolor;Elanus caeruleus
Elanus caeruleus;Elanus caeruleus;Elanus caeruleus;Elanus caeruleus;Elanus caeruleus;Elanus caeruleus;Elanus caeruleus;Emberiza aureola
Emberiza aureola;Emberiza aureola;Emberiza aureola;Emberiza aureola;Emberiza aureola;Emberiza aureola;Emberiza aureola;Emberiza bruniceps
Emberiza bruniceps;Emberiza bruniceps;Emberiza bruniceps;Emberiza bruniceps;Emberiza bruniceps;Emberiza bruniceps;Emberiza bruniceps;Emberiza caesia
Emberiza caesia;Emberiza caesia;Emberiza caesia;Emberiza caesia;Emberiza caesia;Emberiza caesia;Emberiza caesia;Miliaria calandra
Emberiza calandra;Emberiza calandra;Miliaria calandra;NA;Emberiza calandra;Emberiza calandra;Emberiza calandra;Emberiza cia
Emberiza cia;Emberiza cia;Emberiza cia;Emberiza cia;Emberiza cia;Emberiza cia;Emberiza cia;Emberiza cineracea
Emberiza cineracea;Emberiza cineracea;Emberiza cineracea;Emberiza cineracea;Emberiza cineracea;Emberiza cineracea;Emberiza cineracea;Emberiza cioides
Emberiza cioides;Emberiza cioides;Emberiza cioides;Emberiza cioides;Emberiza cioides;Emberiza cioides;Emberiza cioides;Emberiza cirlus
Emberiza cirlus;Emberiza cirlus;Emberiza cirlus;Emberiza cirlus;Emberiza cirlus;Emberiza cirlus;Emberiza cirlus;Emberiza citrinella
