verbatim_name;sp_names_atlas_adapted_keep;sp_BirdTree;sp_BirdLife;sp_eBird;sp_group_eBird;sp_BOTW;BirdTree_tip.labels
Agropsar philippensis;Agropsar philippensis;Sturnus philippensis;NA;Agropsar philippensis;Agropsar philippensis;Agropsar philippensis;Aix galericulata
Aix galericulata;Aix galericulata;Aix galericulata;Aix galericulata;Aix galericulata;Aix galericulata;Aix galericulata;Aix sponsa
Aix sponsa;Aix sponsa;Aix sponsa;Aix sponsa;Aix sponsa;Aix sponsa;Aix sponsa;Alauda arvensis
Alauda arvensis;Alauda arvensis;Alauda arvensis;Alauda arvensis;Alauda arvensis;Alauda arvensis;Alauda arvensis;Alauda japonica
Alauda arvensis;Alauda arvensis;Alauda japonica;Alauda arvensis;Alauda arvensis;Alauda arvensis;Alauda arvensis;Melanocorypha leucoptera
Alauda leucoptera;Alauda leucoptera;Melanocorypha leucoptera;NA;Alauda leucoptera;Alauda leucoptera;Alauda leucoptera;Calandrella cheleensis
Alaudala rufescens;Alaudala rufescens;Calandrella cheleensis;NA;Alaudala cheleensis;Alaudala cheleensis;Alaudala rufescens;Calandrella rufescens
Alaudala rufescens;Alaudala rufescens;Calandrella rufescens;NA;Alaudala rufescens;Alaudala rufescens;Alaudala rufescens;Alca torda
Alca torda;Alca torda;Alca torda;Alca torda;Alca torda;Alca torda;Alca torda;Alcedo atthis
Alcedo atthis;Alcedo atthis;Alcedo atthis;Alcedo atthis;Alcedo atthis;Alcedo atthis;Alcedo atthis;Alectoris barbara
Alectoris barbara;Alectoris barbara;Alectoris barbara;Alectoris barbara;Alectoris barbara;Alectoris barbara;Alectoris barbara;Alectoris chukar
Alectoris chukar;Alectoris chukar;Alectoris chukar;Alectoris chukar;Alectoris chukar;Alectoris chukar;Alectoris chukar;Alectoris graeca
Alectoris graeca;Alectoris graeca;Alectoris graeca;Alectoris graeca;Alectoris graeca;Alectoris graeca;Alectoris graeca;Alectoris rufa
Alectoris rufa;Alectoris rufa;Alectoris rufa;Alectoris rufa;Alectoris rufa;Alectoris rufa;Alectoris rufa;Alle alle
Alle alle;Alle alle;Alle alle;Alle alle;Alle alle;Alle alle;Alle alle;Alopochen aegyptiaca
Alopochen aegyptiaca;Alopochen aegyptiaca;Alopochen aegyptiaca;Alopochen aegyptiaca;Alopochen aegyptiaca;Alopochen aegyptiaca;Alopochen aegyptiaca;Amandava amandava
Amandava amandava;Amandava amandava;Amandava amandava;Amandava amandava;Amandava amandava;Amandava amandava;Amandava amandava;Amaurornis phoenicurus
Amaurornis phoenicurus;Amaurornis phoenicurus;Amaurornis phoenicurus;Amaurornis phoenicurus;Amaurornis phoenicurus;Amaurornis phoenicurus;Amaurornis phoenicurus;#N/A
Ammodramus caudacutus;Ammodramus caudacutus;NA;Ammospiza caudacuta;Ammospiza caudacuta;Ammospiza caudacuta;#N/A;#N/A
Ammodramus henslowii;Ammodramus henslowii;NA;Passerculus henslowii;Centronyx henslowii;Centronyx henslowii;#N/A;#N/A
Ammodramus maritimus;Ammodramus maritimus;NA;Ammospiza maritima;Ammospiza maritima;Ammospiza maritima;#N/A;Ammodramus savannarum
Ammodramus savannarum;Ammodramus savannarum;Ammodramus savannarum;Ammodramus savannarum;Ammodramus savannarum;Ammodramus savannarum;Ammodramus savannarum;Anas acuta
Anas acuta;Anas acuta;Anas acuta;Anas acuta;Anas acuta;Anas acuta;Anas acuta;#N/A
Anas americana;Anas americana;NA;Mareca americana;Mareca americana;Mareca americana;#N/A;#N/A
Anas clypeata;Anas clypeata;NA;Spatula clypeata;Spatula clypeata;Spatula clypeata;#N/A;Anas crecca
Anas crecca;Anas crecca;Anas crecca;NA;Anas crecca;Anas crecca;Anas crecca;Anas crecca
Anas crecca;Anas crecca;Anas crecca;Anas carolinensis;Anas crecca;Anas crecca;Anas crecca;Anas crecca
Anas crecca;Anas crecca;Anas crecca;Anas crecca;Anas crecca;Anas crecca;Anas crecca;#N/A
Anas discors;Anas discors;NA;Spatula discors;Spatula discors;Spatula discors;#N/A;#N/A
Anas falcata;Anas falcata;NA;Mareca falcata;Mareca falcata;Mareca falcata;#N/A;Anas platyrhynchos
Anas platyrhynchos;Anas platyrhynchos;Anas platyrhynchos;Anas platyrhynchos;Anas platyrhynchos;Anas platyrhynchos;Anas platyrhynchos;#N/A
Anas querquedula;Anas querquedula;NA;Spatula querquedula;Spatula querquedula;Spatula querquedula;#N/A;Anas rubripes
Anas rubripes;Anas rubripes;Anas rubripes;Anas rubripes;Anas rubripes;Anas rubripes;Anas rubripes;#N/A
Anas strepera;Anas strepera;NA;Mareca strepera;Mareca strepera;Mareca strepera;#N/A;Anas poecilorhyncha
Anas zonorhyncha;Anas zonorhyncha;Anas poecilorhyncha;NA;Anas zonorhyncha;Anas zonorhyncha;Anas zonorhyncha;Anous stolidus
Anous stolidus;Anous stolidus;Anous stolidus;Anous stolidus;Anous stolidus;Anous stolidus;Anous stolidus;Anser albifrons
Anser albifrons;Anser albifrons;Anser albifrons;Anser albifrons;Anser albifrons;Anser albifrons;Anser albifrons;Anser anser
Anser anser;Anser anser;Anser anser;Anser anser;Anser anser;Anser anser;Anser anser;Anser brachyrhynchus
Anser brachyrhynchus;Anser brachyrhynchus;Anser brachyrhynchus;Anser brachyrhynchus;Anser brachyrhynchus;Anser brachyrhynchus;Anser brachyrhynchus;Anser erythropus
Anser erythropus;Anser erythropus;Anser erythropus;Anser erythropus;Anser erythropus;Anser erythropus;Anser erythropus;Anser fabalis
Anser fabalis;Anser fabalis;Anser fabalis;Anser fabalis;Anser fabalis;Anser fabalis/serrirostris;Anser fabalis;Anser fabalis
Anser fabalis;Anser fabalis;Anser fabalis;Anser fabalis;NA;Anser fabalis/serrirostris;Anser fabalis;Grus virgo
Anthropoides virgo;Anthropoides virgo;Grus virgo;NA;Anthropoides virgo;Anthropoides virgo;Anthropoides virgo;Anthus berthelotii
Anthus berthelotii;Anthus berthelotii;Anthus berthelotii;Anthus berthelotii;Anthus berthelotii;Anthus berthelotii;Anthus berthelotii;Anthus campestris
Anthus campestris;Anthus campestris;Anthus campestris;Anthus campestris;Anthus campestris;Anthus campestris;Anthus campestris;Anthus cervinus
Anthus cervinus;Anthus cervinus;Anthus cervinus;Anthus cervinus;Anthus cervinus;Anthus cervinus;Anthus cervinus;Anthus hodgsoni
Anthus hodgsoni;Anthus hodgsoni;Anthus hodgsoni;Anthus hodgsoni;Anthus hodgsoni;Anthus hodgsoni;Anthus hodgsoni;Anthus petrosus
Anthus petrosus;Anthus petrosus;Anthus petrosus;Anthus petrosus;Anthus petrosus;Anthus petrosus;Anthus petrosus;Anthus pratensis
Anthus pratensis;Anthus pratensis;Anthus pratensis;Anthus pratensis;Anthus pratensis;Anthus pratensis;Anthus pratensis;Anthus spinoletta
Anthus spinoletta;Anthus spinoletta;Anthus spinoletta;Anthus spinoletta;Anthus spinoletta;Anthus spinoletta;Anthus spinoletta;Anthus trivialis
Anthus trivialis;Anthus trivialis;Anthus trivialis;Anthus trivialis;Anthus trivialis;Anthus trivialis;Anthus trivialis;Apalopteron familiare
Apalopteron familiare;Apalopteron familiare;Apalopteron familiare;Apalopteron familiare;Apalopteron familiare;Apalopteron familiare;Apalopteron familiare;Apus apus
Apus apus;Apus apus;Apus apus;Apus apus;Apus apus;Apus apus;Apus apus;Apus caffer
Apus caffer;Apus caffer;Apus caffer;Apus caffer;Apus caffer;Apus caffer;Apus caffer;Apus nipalensis
Apus nipalensis;Apus nipalensis;Apus nipalensis;Apus nipalensis;Apus nipalensis;Apus nipalensis;Apus nipalensis;Apus pacificus
Apus pacificus;Apus pacificus;Apus pacificus;Apus pacificus;Apus pacificus;Apus pacificus;Apus pacificus;Apus pallidus
