sp_atlas;sp_atlas adapted1;Family_BL;Order_BL;Hand-Wing.Index_BL;Mass_BL;Habitat_BL;Habitat.Density_BL;Migration_BL;Trophic.Level_BL;Trophic.Niche_BL;Primary.Lifestyle_BL;Range.Size_BL;sp_atlas adapted2;Family_BT;Order_BT;Hand-Wing.Index_BT;Mass_BT;Habitat_BT;Habitat.Density_BT;Migration_BT;Trophic.Level_BT;Trophic.Niche_BT;Primary.Lifestyle_BT;Range.Size_BT
Falco eleonorae;Falco eleonorae;Falconidae;Falconiformes;55;390;Coastal;3;3;Carnivore;Omnivore;Aerial;121952.48;Falco eleonorae;Falconidae;Falconiformes;55;390;Coastal;3;3;Carnivore;Omnivore;Aerial;121952.48
Falco eleonorae;Falco eleonorae;Falconidae;Falconiformes;55;390;Coastal;3;3;Carnivore;Omnivore;Aerial;121952.48;Falco eleonorae;Falconidae;Falconiformes;55;390;Coastal;3;3;Carnivore;Omnivore;Aerial;121952.48
Falco eleonorae;Falco eleonorae;Falconidae;Falconiformes;55;390;Coastal;3;3;Carnivore;Omnivore;Aerial;121952.48;Falco eleonorae;Falconidae;Falconiformes;55;390;Coastal;3;3;Carnivore;Omnivore;Aerial;121952.48
Puffinus mauretanicus;Puffinus mauretanicus;Procellariidae;Procellariiformes;58.1;497;Marine;3;2;Carnivore;Aquatic predator;Generalist;3816160.57;Puffinus mauretanicus;Procellariidae;Procellariiformes;58.1;497;Marine;3;2;Carnivore;Aquatic predator;Generalist;3816160.57
Puffinus mauretanicus;Puffinus mauretanicus;Procellariidae;Procellariiformes;58.1;497;Marine;3;2;Carnivore;Aquatic predator;Generalist;3816160.57;Puffinus mauretanicus;Procellariidae;Procellariiformes;58.1;497;Marine;3;2;Carnivore;Aquatic predator;Generalist;3816160.57
Puffinus mauretanicus;Puffinus mauretanicus;Procellariidae;Procellariiformes;58.1;497;Marine;3;2;Carnivore;Aquatic predator;Generalist;3816160.57;Puffinus mauretanicus;Procellariidae;Procellariiformes;58.1;497;Marine;3;2;Carnivore;Aquatic predator;Generalist;3816160.57
Sylvia balearica;Sylvia balearica;Sylviidae;Passeriformes;16.7;9.8;Shrubland;2;1;Carnivore;Invertivore;Insessorial;4300.52;Sylvia balearica;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Sylvia subalpina;Sylvia subalpina;Sylviidae;Passeriformes;22.3;9.6;Shrubland;1;3;Omnivore;Invertivore;Insessorial;84258.76;Sylvia subalpina;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Hydroprogne caspia;Hydroprogne caspia;Laridae;Charadriiformes;65.1;655;Wetland;3;3;Carnivore;Aquatic predator;Aerial;6293644.91;Hydroprogne caspia;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Hydroprogne caspia;Hydroprogne caspia;Laridae;Charadriiformes;65.1;655;Wetland;3;3;Carnivore;Aquatic predator;Aerial;6293644.91;Hydroprogne caspia;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Glareola nordmanni;Glareola nordmanni;Glareolidae;Charadriiformes;61.4;97.19;Grassland;3;3;Carnivore;Invertivore;Aerial;2251795.82;Glareola nordmanni;Glareolidae;Charadriiformes;61.4;97.19;Grassland;3;3;Carnivore;Invertivore;Aerial;2251795.82
Glareola nordmanni;Glareola nordmanni;Glareolidae;Charadriiformes;61.4;97.19;Grassland;3;3;Carnivore;Invertivore;Aerial;2251795.82;Glareola nordmanni;Glareolidae;Charadriiformes;61.4;97.19;Grassland;3;3;Carnivore;Invertivore;Aerial;2251795.82
Glareola nordmanni;Glareola nordmanni;Glareolidae;Charadriiformes;61.4;97.19;Grassland;3;3;Carnivore;Invertivore;Aerial;2251795.82;Glareola nordmanni;Glareolidae;Charadriiformes;61.4;97.19;Grassland;3;3;Carnivore;Invertivore;Aerial;2251795.82
Alectoris graeca;Alectoris graeca;Phasianidae;Galliformes;36.9;594.11;Rock;3;1;Herbivore;Herbivore terrestrial;Terrestrial;538497.96;Alectoris graeca;Phasianidae;Galliformes;36.9;594.11;Rock;3;1;Herbivore;Herbivore terrestrial;Terrestrial;538497.96
Alectoris graeca;Alectoris graeca;Phasianidae;Galliformes;36.9;594.11;Rock;3;1;Herbivore;Herbivore terrestrial;Terrestrial;538497.96;Alectoris graeca;Phasianidae;Galliformes;36.9;594.11;Rock;3;1;Herbivore;Herbivore terrestrial;Terrestrial;538497.96
Alectoris graeca;Alectoris graeca;Phasianidae;Galliformes;36.9;594.11;Rock;3;1;Herbivore;Herbivore terrestrial;Terrestrial;538497.96;Alectoris graeca;Phasianidae;Galliformes;36.9;594.11;Rock;3;1;Herbivore;Herbivore terrestrial;Terrestrial;538497.96
