sp_atlas;sp_atlas adapted1;Family_BL;Order_BL;Hand-Wing.Index_BL;Mass_BL;Habitat_BL;Habitat.Density_BL;Migration_BL;Trophic.Level_BL;Trophic.Niche_BL;Primary.Lifestyle_BL;Range.Size_BL;sp_atlas adapted2;Family_BT;Order_BT;Hand-Wing.Index_BT;Mass_BT;Habitat_BT;Habitat.Density_BT;Migration_BT;Trophic.Level_BT;Trophic.Niche_BT;Primary.Lifestyle_BT;Range.Size_BT
Acrocephalus melanopogon;Acrocephalus melanopogon;Acrocephalidae;Passeriformes;19.3;10.9;Wetland;3;3;Carnivore;Invertivore;Insessorial;2304218.81;Acrocephalus melanopogon;Sylviidae;Passeriformes;19.3;10.9;Wetland;3;3;Carnivore;Invertivore;Insessorial;2304218.81
Acrocephalus melanopogon;Acrocephalus melanopogon;Acrocephalidae;Passeriformes;19.3;10.9;Wetland;3;3;Carnivore;Invertivore;Insessorial;2304218.81;Acrocephalus melanopogon;Sylviidae;Passeriformes;19.3;10.9;Wetland;3;3;Carnivore;Invertivore;Insessorial;2304218.81
Acrocephalus melanopogon;Acrocephalus melanopogon;Acrocephalidae;Passeriformes;19.3;10.9;Wetland;3;3;Carnivore;Invertivore;Insessorial;2304218.81;Acrocephalus melanopogon;Sylviidae;Passeriformes;19.3;10.9;Wetland;3;3;Carnivore;Invertivore;Insessorial;2304218.81
Larus genei;Larus genei;Laridae;Charadriiformes;56.9;281;Coastal;3;2;Carnivore;Aquatic predator;Generalist;1728211.09;Larus genei;Laridae;Charadriiformes;56.9;281;Coastal;3;2;Carnivore;Aquatic predator;Generalist;1728211.09
Larus genei;Larus genei;Laridae;Charadriiformes;56.9;281;Coastal;3;2;Carnivore;Aquatic predator;Generalist;1728211.09;Larus genei;Laridae;Charadriiformes;56.9;281;Coastal;3;2;Carnivore;Aquatic predator;Generalist;1728211.09
Marmaronetta angustirostris;Marmaronetta angustirostris;Anatidae;Anseriformes;47.7;477;Wetland;3;2;Herbivore;Herbivore aquatic;Aquatic;1461550.24;Marmaronetta angustirostris;Anatidae;Anseriformes;47.7;477;Wetland;3;2;Herbivore;Herbivore aquatic;Aquatic;1461550.24
Marmaronetta angustirostris;Marmaronetta angustirostris;Anatidae;Anseriformes;47.7;477;Wetland;3;2;Herbivore;Herbivore aquatic;Aquatic;1461550.24;Marmaronetta angustirostris;Anatidae;Anseriformes;47.7;477;Wetland;3;2;Herbivore;Herbivore aquatic;Aquatic;1461550.24
Marmaronetta angustirostris;Marmaronetta angustirostris;Anatidae;Anseriformes;47.7;477;Wetland;3;2;Herbivore;Herbivore aquatic;Aquatic;1461550.24;Marmaronetta angustirostris;Anatidae;Anseriformes;47.7;477;Wetland;3;2;Herbivore;Herbivore aquatic;Aquatic;1461550.24
Zapornia parva;Zapornia parva;Rallidae;Gruiformes;44;49.7;Wetland;1;3;Carnivore;Aquatic predator;Terrestrial;6785055.74;Zapornia parva;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Zapornia parva;Zapornia parva;Rallidae;Gruiformes;44;49.7;Wetland;1;3;Carnivore;Aquatic predator;Terrestrial;6785055.74;Zapornia parva;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Cyanecula svecica;Cyanecula svecica;Muscicapidae;Passeriformes;21.3;17.23;Grassland;2;3;Carnivore;Invertivore;Generalist;19896158.85;Cyanecula svecica;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Estrilda melpoda;Estrilda melpoda;Estrildidae;Passeriformes;17.3;7.6;Grassland;3;1;Omnivore;Granivore;Generalist;3732328.98;Estrilda melpoda;Estrildidae;Passeriformes;17.3;7.6;Grassland;3;1;Omnivore;Granivore;Generalist;3732329.06
