"","verbatim_name","dataset","log_R2_1","tp1_AOO_1","tp2_AOO_1"
"63","Ammodramus henslowii","Birds_Atlas_New_York",-1.60348804929205,8697.94067449989,1749.96929885339
"64","Ammodramus maritimus","Birds_Atlas_New_York",-0.287713284339052,1200.22623011447,900.141577029967
"65","Ammodramus savannarum","Birds_Atlas_New_York",-0.544170788256649,20550.1659036366,11925.7297017252
"66","Anas acuta","Birds_Atlas_Czechia",0.000992090673383979,1341.09185257825,1342.4229974964
"67","Anas acuta","Birds_atlas_EBBA",0.1116976422658,1601190.99495636,1790411.29365756
"68","Anas acuta","Birds_Atlas_New_York",-1.25269327744596,875.178089973997,250.068309765387
"69","Anas americana","Birds_Atlas_New_York",-0.646860450483645,1050.00484691653,549.874246176532
"70","Anas clypeata","Birds_Atlas_Czechia",-0.0850334114705441,17930.2570207222,16468.6110863024
"71","Anas clypeata","Birds_atlas_Japan",-0.698566604415768,2440.63660882007,1213.72277041919
"72","Anas clypeata","Birds_Atlas_New_York",0.274414210425644,475.056543135094,625.060250290483
"73","Anas crecca","Birds_Atlas_Czechia",-0.180130222362952,32078.5501369476,26790.7683703259
"74","Anas crecca","Birds_atlas_EBBA",0.246188998622092,4046600.36812413,5176173.68233958
"75","Anas crecca","Birds_atlas_Japan",-0.197256378445674,6053.14201320538,4969.5092849527
"76","Anas crecca","Birds_Atlas_New_York",-0.597716503135712,3000.33827876996,1650.38490879587
"77","Anas discors","Birds_Atlas_New_York",-1.00113516997458,11500.8139185038,4226.11291692533
"78","Anas falcata","Birds_atlas_Japan",0.39033942083046,2391.98444738119,3534.11443655156
"79","Anas platyrhynchos","Birds_Atlas_Czechia",0.0231657585357421,79503.3055729725,81366.5584600616
"80","Anas platyrhynchos","Birds_atlas_EBBA",0.234255938667627,6748879.04759315,8530366.80841757
"81","Anas platyrhynchos","Birds_atlas_Japan",-0.0117256939816462,39147.6747925538,38691.3218937862
"82","Anas platyrhynchos","Birds_Atlas_New_York",0.235657451949044,79520.0616634259,100651.775245808
"83","Anas querquedula","Birds_Atlas_Czechia",0.032125932982107,25142.2426626815,25963.0750734494
"84","Anas rubripes","Birds_Atlas_New_York",-0.415914263018079,27562.5919835614,18184.0571143106
"85","Anas strepera","Birds_Atlas_Czechia",0.321053833028191,26527.6782501773,36570.5211649304
"86","Anas strepera","Birds_atlas_Japan",1.1783528405658,371.842990046036,1208.12462066223
"87","Anas strepera","Birds_Atlas_New_York",0.00889931434099039,2850.35946908852,2875.83892065364
"88","Anas zonorhyncha","Birds_atlas_Japan",0.30416937788319,127643.779915216,173020.968565069
"89","Anous stolidus","Birds_atlas_Japan",0,466.859936054382,466.859936054382
"90","Anser albifrons","Birds_atlas_EBBA",2.44581917948517,13963.966617722,161144.161619987
"91","Anser anser","Birds_Atlas_Czechia",0.720339628530981,6472.62163741396,13302.085852618
"92","Anser anser","Birds_atlas_EBBA",0.655021625324013,1892926.22922786,3644231.57297989
"93","Anser brachyrhynchus","Birds_atlas_EBBA",0.228665821218161,134983.524566914,169663.752510868
"94","Anser erythropus","Birds_atlas_EBBA",-0.948532651140693,99753.3904670191,38635.3783277646
"95","Anser fabalis","Birds_atlas_EBBA",0.37563187894543,530521.494019633,772392.123224853
"96","Anthropoides virgo","Birds_atlas_EBBA",0.964148536688668,97793.5480164411,256468.830921347
"97","Anthus berthelotii","Birds_atlas_EBBA",0,12502.7183666435,12502.7183666435
"98","Anthus campestris","Birds_Atlas_Czechia",-0.361933935698617,2668.22999586231,1857.96424052055
"99","Anthus campestris","Birds_atlas_EBBA",0.148589290762804,2674626.9013178,3103092.47007635
"100","Anthus cervinus","Birds_atlas_EBBA",0.402560475784817,215295.66462095,322006.825812776
"101","Anthus hodgsoni","Birds_atlas_EBBA",0.676054065563037,179920.658142644,353742.777285387
"102","Anthus hodgsoni","Birds_atlas_Japan",-0.447629282180392,53960.8480751952,34488.6217666173
"103","Anthus petrosus","Birds_atlas_EBBA",-0.00402023146424921,807294.207814721,804055.213355731
"104","Anthus pratensis","Birds_Atlas_Czechia",0.036440607967284,43145.8752662181,44747.1354482215
"105","Anthus pratensis","Birds_atlas_EBBA",0.144465683432564,4221762.77197729,4877917.77197736
