"","name_in_data","original_verbatim_name","wordCount","submitted_name","Birds.of.the.World","sp_eBird","American.Ornithological.Society","GBIF","sp_BirdLife","sp_BirdTree","eBird.species.group","X","Order.x","FamilyName","RL_Category","Synonyms","TipLabel","English","Taxonomy","Clade","BLFamilyLatin","BLFamilyEnglish","FamSequID","Order.y","OscSubOsc"
"29","Alectoris chukar","Alectoris chukar",2,"Alectoris chukar","Alectoris chukar","Alectoris chukar","Alectoris chukar","Alectoris chukar","Alectoris chukar","Alectoris chukar","Alectoris chukar",127,"Galliformes","Phasianidae","LC",NA,"Alectoris_chukar","Chukar","BL3","Phasianidae","Phasianidae","Grouse, pheasants and partridges",11,"GALLIFORMES","NONPASSERIFORMES"
"30","Alectoris graeca","Alectoris graeca",2,"Alectoris graeca","Alectoris graeca",NA,"Alectoris graeca","Alectoris graeca","Alectoris graeca",NA,NA,126,"Galliformes","Phasianidae","NT",NA,"Alectoris_graeca","Rock Partridge","BL3","Phasianidae","Phasianidae","Grouse, pheasants and partridges",11,"GALLIFORMES","NONPASSERIFORMES"
"31","Alectoris rufa","Alectoris rufa",2,"Alectoris rufa","Alectoris rufa",NA,"Alectoris rufa","Alectoris rufa","Alectoris rufa",NA,NA,131,"Galliformes","Phasianidae","NT",NA,"Alectoris_rufa","Red-legged Partridge","BL3","Phasianidae","Phasianidae","Grouse, pheasants and partridges",11,"GALLIFORMES","NONPASSERIFORMES"
"32","Alle alle","Alle alle",2,"Alle alle","Alle alle","Alle alle","Alle alle","Alle alle","Alle alle","Alle alle","Alle alle",2878,"Charadriiformes","Alcidae","LC",NA,"Alle_alle","Little Auk","BL3","Lari","Alcidae","Auks",63,"CHARADRIIFORMES","NONPASSERIFORMES"
"33","Alopochen aegyptiaca","Alopochen aegyptiaca",2,"Alopochen aegyptiaca","Alopochen aegyptiaca","Alopochen aegyptiaca","Alopochen aegyptiaca","Alopochen aegyptiaca","Alopochen aegyptiaca","Alopochen aegyptiaca","Alopochen aegyptiaca",356,"Anseriformes","Anatidae","LC","Alopochen aegyptiacus","Alopochen_aegyptiaca","Egyptian Goose","BL3","Anatinae","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES"
"34","Amandava amandava","Amandava amandava",2,"Amandava amandava","Amandava amandava","Amandava amandava","Amandava amandava","Amandava amandava","Amandava amandava","Amandava amandava","Amandava amandava",7446,"Passeriformes","Estrildidae","LC",NA,"Amandava_amandava","Red Avadavat","BL3","P7","Estrildidae","Waxbills, grass finches, munias and allies",169,"PASSERIFORMES","Passeri"
"35","Amaurornis phoenicurus","Amaurornis phoenicurus",2,"Amaurornis phoenicurus","Amaurornis phoenicurus","Amaurornis phoenicurus",NA,"Amaurornis phoenicurus","Amaurornis phoenicurus","Amaurornis phoenicurus","Amaurornis phoenicurus",2505,"Gruiformes","Rallidae","LC",NA,"Amaurornis_phoenicurus","White-breasted Waterhen","BL3","Rallidae","Rallidae","Rails, crakes and allies",42,"GRUIFORMES","NONPASSERIFORMES"
"36","Ammodramus caudacutus","Ammodramus caudacutus",2,"Ammodramus caudacutus","Ammodramus caudacutus",NA,NA,"Ammodramus caudacutus","Ammodramus caudacutus",NA,NA,NA,NA,NA,NA,NA,"Ammodramus_caudacutus","Saltmarsh Sparrow","BL3","P20b","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","Passeri"
"37","Ammodramus henslowii","Ammodramus henslowii",2,"Ammodramus henslowii","Ammodramus henslowii",NA,NA,"Ammodramus henslowii","Ammodramus henslowii",NA,NA,NA,NA,NA,NA,NA,"Ammodramus_henslowii","Henslow's Sparrow","BL3","P20b","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","Passeri"
"38","Ammodramus maritimus","Ammodramus maritimus",2,"Ammodramus maritimus","Ammodramus maritimus",NA,NA,"Ammodramus maritimus","Ammodramus maritimus",NA,NA,NA,NA,NA,NA,NA,"Ammodramus_maritimus","Seaside Sparrow","BL3","P20b","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","Passeri"
"39","Ammodramus savannarum","Ammodramus savannarum",2,"Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum",7733,"Passeriformes","Passerellidae","LC",NA,"Ammodramus_savannarum","Grasshopper Sparrow","BL3","P20b","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","Passeri"
"40","Anas acuta","Anas acuta",2,"Anas acuta","Anas acuta","Anas acuta","Anas acuta","Anas acuta","Anas acuta","Anas acuta","Anas acuta",413,"Anseriformes","Anatidae","LC",NA,"Anas_acuta","Northern Pintail","BL3","Anatinae","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES"
"41","Anas americana","Anas americana",2,"Anas americana","Anas americana",NA,NA,"Anas americana","Anas americana",NA,NA,NA,NA,NA,NA,NA,"Anas_americana","American Wigeon","BL3","Anatinae","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES"
"42","Anas clypeata","Anas clypeata",2,"Anas clypeata","Anas clypeata",NA,NA,"Anas clypeata","Anas clypeata",NA,NA,NA,NA,NA,NA,NA,"Anas_clypeata","Northern Shoveler","BL3","Anatinae","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES"
"43","Anas crecca","Anas crecca",2,"Anas crecca","Anas crecca","Anas crecca","Anas crecca","Anas crecca","Anas crecca","Anas crecca","Anas crecca",418,"Anseriformes","Anatidae","LC",NA,"Anas_crecca","Common Teal","BL3","Anatinae","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES"
"44","Anas discors","Anas discors",2,"Anas discors","Anas discors",NA,NA,"Anas discors","Anas discors",NA,NA,NA,NA,NA,NA,NA,"Anas_discors","Blue-winged Teal","BL3","Anatinae","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES"
"45","Anas falcata","Anas falcata",2,"Anas falcata","Anas falcata",NA,NA,"Anas falcata","Anas falcata",NA,NA,NA,NA,NA,NA,NA,"Anas_falcata","Falcated Duck","BL3","Anatinae","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES"
"46","Anas platyrhynchos","Anas platyrhynchos",2,"Anas platyrhynchos","Anas platyrhynchos","Anas platyrhynchos","Anas platyrhynchos","Anas platyrhynchos","Anas platyrhynchos","Anas platyrhynchos","Anas platyrhynchos",394,"Anseriformes","Anatidae","LC",NA,"Anas_platyrhynchos","Mallard","BL3","Anatinae","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES"
"47","Anas querquedula","Anas querquedula",2,"Anas querquedula","Anas querquedula",NA,NA,"Anas querquedula","Anas querquedula",NA,NA,NA,NA,NA,NA,NA,"Anas_querquedula","Garganey","BL3","Anatinae","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES"
"48","Anas rubripes","Anas rubripes",2,"Anas rubripes","Anas rubripes","Anas rubripes","Anas rubripes","Anas rubripes","Anas rubripes","Anas rubripes","Anas rubripes",392,"Anseriformes","Anatidae","LC",NA,"Anas_rubripes","American Black Duck","BL3","Anatinae","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES"
"49","Anas strepera","Anas strepera",2,"Anas strepera","Anas strepera",NA,NA,"Anas strepera","Anas strepera",NA,NA,NA,NA,NA,NA,NA,"Anas_strepera","Gadwall","BL3","Anatinae","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES"
"50","Anous stolidus","Anous stolidus",2,"Anous stolidus","Anous stolidus","Anous stolidus","Anous stolidus","Anous stolidus","Anous stolidus","Anous stolidus","Anous stolidus",2873,"Charadriiformes","Laridae","LC",NA,"Anous_stolidus","Brown Noddy","BL3","Lari","Laridae","Gulls and terns",61,"CHARADRIIFORMES","NONPASSERIFORMES"
"51","Anser anser","Anser anser",2,"Anser anser","Anser anser","Anser anser","Anser anser","Anser anser","Anser anser","Anser anser","Anser anser",338,"Anseriformes","Anatidae","LC",NA,"Anser_anser","Greylag Goose","BL3","Anserinae","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES"
"52","Anser brachyrhynchus","Anser brachyrhynchus",2,"Anser brachyrhynchus","Anser brachyrhynchus","Anser brachyrhynchus","Anser brachyrhynchus","Anser brachyrhynchus","Anser brachyrhynchus","Anser brachyrhynchus","Anser brachyrhynchus",334,"Anseriformes","Anatidae","LC",NA,"Anser_brachyrhynchus","Pink-footed Goose","BL3","Anserinae","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES"
"53","Anser erythropus","Anser erythropus",2,"Anser erythropus","Anser erythropus","Anser erythropus","Anser erythropus","Anser erythropus","Anser erythropus","Anser erythropus","Anser erythropus",337,"Anseriformes","Anatidae","VU",NA,"Anser_erythropus","Lesser White-fronted Goose","BL3","Anserinae","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES"
"54","Anser fabalis","Anser fabalis",2,"Anser fabalis","Anser fabalis","Anser fabalis","Anser fabalis","Anser fabalis","Anser fabalis","Anser fabalis","Anser fabalis/serrirostris",335,"Anseriformes","Anatidae","LC",NA,"Anser_fabalis","Bean Goose","BL3","Anserinae","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES"
"55","Anthus berthelotii","Anthus berthelotii",2,"Anthus berthelotii","Anthus berthelotii",NA,"Anthus berthelotii","Anthus berthelotii","Anthus berthelotii",NA,NA,7249,"Passeriformes","Motacillidae","LC",NA,"Anthus_berthelotii","Berthelot's Pipit","BL3","P9","Motacillidae","Wagtails and pipits",170,"PASSERIFORMES","Passeri"
"56","Anthus campestris","Anthus campestris",2,"Anthus campestris","Anthus campestris","Anthus campestris",NA,"Anthus campestris","Anthus campestris","Anthus campestris","Anthus campestris",7247,"Passeriformes","Motacillidae","LC",NA,"Anthus_campestris","Tawny Pipit","BL3","P9","Motacillidae","Wagtails and pipits",170,"PASSERIFORMES","Passeri"
"57","Anthus cervinus","Anthus cervinus",2,"Anthus cervinus","Anthus cervinus","Anthus cervinus","Anthus cervinus","Anthus cervinus","Anthus cervinus","Anthus cervinus","Anthus cervinus",7257,"Passeriformes","Motacillidae","LC",NA,"Anthus_cervinus","Red-throated Pipit","BL3","P9","Motacillidae","Wagtails and pipits",170,"PASSERIFORMES","Passeri"
