"","verbatim_name","tp","cell_grouping","Total_area","Total_Ncells","occupancy_Ncells","AOO","relative_occupancy_Ncells","dataset"
"51","Treron formosae",2,1,450221.445308138,1098,28,12779.0711075459,0.03,"Birds_atlas_Japan"
"52","Ardea purpurea",1,1,448951.020447356,1095,4,1872.31069608827,0,"Birds_atlas_Japan"
"53","Terpsiphone atrocaudata",2,1,450221.445308138,1098,333,140375.617281009,0.3,"Birds_atlas_Japan"
"54","Gallinula chloropus",1,1,448951.020447356,1095,80,33546.455183391,0.07,"Birds_atlas_Japan"
"55","Ixobrychus cinnamomeus",2,1,450221.445308138,1098,2,934.93929517569,0,"Birds_atlas_Japan"
"56","Ficedula narcissina",1,1,448951.020447356,1095,602,242140.351167136,0.55,"Birds_atlas_Japan"
"57","Spilornis cheela",1,1,448951.020447356,1095,3,1404.23133696696,0,"Birds_atlas_Japan"
"58","Anas zonorhyncha",2,1,450221.445308138,1098,420,173422.13596334,0.38,"Birds_atlas_Japan"
"59","Accipiter gularis",1,1,448951.020447356,1095,23,9655.1950347925,0.02,"Birds_atlas_Japan"
"60","Accipiter gularis",2,1,450221.445308138,1098,17,7402.3556307962,0.02,"Birds_atlas_Japan"
"61","Gorsachius melanolophus",1,1,448951.020447356,1095,3,1403.018654297,0,"Birds_atlas_Japan"
"62","Spilornis cheela",2,1,450221.445308138,1098,2,936.158718242615,0,"Birds_atlas_Japan"
"63","Ardea cinerea",2,1,450221.445308138,1098,524,215577.409612236,0.48,"Birds_atlas_Japan"
"64","Ardea purpurea",2,1,450221.445308138,1098,1,467.473008429077,0,"Birds_atlas_Japan"
"65","Sterna albifrons",1,1,448951.020447356,1095,53,22284.2963656577,0.05,"Birds_atlas_Japan"
"66","Pavo cristatus",2,1,450221.445308138,1098,4,1868.66085148816,0,"Birds_atlas_Japan"
"67","Sterna sumatrana",1,1,448951.020447356,1095,5,2319.70592082205,0,"Birds_atlas_Japan"
"68","Ninox scutulata",1,1,448951.020447356,1095,20,8640.35806594806,0.02,"Birds_atlas_Japan"
"69","Bubulcus ibis",2,1,450221.445308138,1098,38,16453.1534030116,0.03,"Birds_atlas_Japan"
"70","Sterna sumatrana",2,1,450221.445308138,1098,1,467.473008429077,0,"Birds_atlas_Japan"
"71","Nycticorax nycticorax",1,1,448951.020447356,1095,189,79876.268452733,0.17,"Birds_atlas_Japan"
"72","Phasianus colchicus",2,1,450221.445308138,1098,375,156313.01760615,0.34,"Birds_atlas_Japan"
"73","Gallinula chloropus",2,1,450221.445308138,1098,41,17147.2666531478,0.04,"Birds_atlas_Japan"
"74","Pandion haliaetus",1,1,448951.020447356,1095,89,36773.8663150893,0.08,"Birds_atlas_Japan"
"75","Rallina eurizonoides",1,1,448951.020447356,1095,2,934.93929517569,0,"Birds_atlas_Japan"
"76","Poecile varius",1,1,448951.020447356,1095,654,272692.135281164,0.6,"Birds_atlas_Japan"
"77","Rallina eurizonoides",2,1,450221.445308138,1098,2,934.93929517569,0,"Birds_atlas_Japan"
"78","Poecile varius",2,1,450221.445308138,1098,743,309631.892129312,0.68,"Birds_atlas_Japan"
"79","Actitis hypoleucos",1,1,448951.020447356,1095,110,45314.5018375039,0.1,"Birds_atlas_Japan"
"80","Ninox scutulata",2,1,450221.445308138,1098,25,10720.8199453088,0.02,"Birds_atlas_Japan"
"81","Lonchura atricapilla",2,1,450221.445308138,1098,1,466.859936054382,0,"Birds_atlas_Japan"
"82","Glareola maldivarum",2,1,450221.445308138,1098,2,933.719872108765,0,"Birds_atlas_Japan"
"83","Hirundo rustica",1,1,448951.020447356,1095,635,265530.529980324,0.58,"Birds_atlas_Japan"
"84","Glareola maldivarum",1,1,448951.020447356,1095,2,933.719872108765,0,"Birds_atlas_Japan"
"85","Lonchura malacca",2,1,450221.445308138,1098,1,466.859936054382,0,"Birds_atlas_Japan"
"86","Monticola solitarius",2,1,450221.445308138,1098,166,70555.8228062918,0.15,"Birds_atlas_Japan"
"87","Hirundo tahitica",1,1,448951.020447356,1095,24,10998.7174804803,0.02,"Birds_atlas_Japan"
"88","Delichon dasypus",1,1,448951.020447356,1095,276,112085.502105582,0.25,"Birds_atlas_Japan"
"89","Hirundo rustica",2,1,450221.445308138,1098,579,242376.997473565,0.53,"Birds_atlas_Japan"
"90","Locustella fasciolata",2,1,450221.445308138,1098,99,37556.2370039923,0.09,"Birds_atlas_Japan"
"91","Hirundo daurica",1,1,448951.020447356,1095,66,27930.8101869381,0.06,"Birds_atlas_Japan"
"92","Columba janthina",2,1,450221.445308138,1098,20,8780.33664656291,0.02,"Birds_atlas_Japan"
"93","Actitis hypoleucos",2,1,450221.445308138,1098,72,29354.3466000195,0.07,"Birds_atlas_Japan"
"94","Cuculus poliocephalus",1,1,448951.020447356,1095,447,187211.511043167,0.41,"Birds_atlas_Japan"
"95","Anous stolidus",2,1,450221.445308138,1098,1,466.859936054382,0,"Birds_atlas_Japan"
