"","verbatim_name","tp","cell_grouping","Total_area","Total_Ncells","occupancy_Ncells","AOO","relative_occupancy_Ncells","dataset"
"1026","Syrmaticus soemmerringii",1,4,448951.020447356,128,48,242138.704844211,0.38,"Birds_atlas_Japan"
"1027","Muscicapa dauurica",2,4,450221.445308138,128,62,306093.200930166,0.48,"Birds_atlas_Japan"
"1028","Urosphena squameiceps",2,4,450221.445308138,128,102,415653.554838283,0.8,"Birds_atlas_Japan"
"1029","Leiothrix lutea",2,4,450221.445308138,128,37,188265.135106211,0.29,"Birds_atlas_Japan"
"1030","Cuculus poliocephalus",2,4,450221.445308138,128,93,378605.074287087,0.73,"Birds_atlas_Japan"
"1031","Cyanoptila cyanomelana",1,4,448951.020447356,128,97,413066.596848457,0.76,"Birds_atlas_Japan"
"1032","Megaceryle lugubris",1,4,448951.020447356,128,44,225068.146634417,0.34,"Birds_atlas_Japan"
"1033","Tachybaptus ruficollis",2,4,450221.445308138,128,55,252214.171014202,0.43,"Birds_atlas_Japan"
"1034","Motacilla cinerea",2,4,450221.445308138,128,95,402062.168963963,0.74,"Birds_atlas_Japan"
"1035","Porzana fusca",1,4,448951.020447356,128,17,67478.5180604204,0.13,"Birds_atlas_Japan"
"1036","Corvus corone",1,4,448951.020447356,128,107,429629.922951461,0.84,"Birds_atlas_Japan"
"1037","Treron sieboldii",2,4,450221.445308138,128,93,403527.236181637,0.73,"Birds_atlas_Japan"
"1038","Cinclus pallasii",1,4,448951.020447356,128,68,339285.676278717,0.53,"Birds_atlas_Japan"
"1039","Luscinia cyane",1,4,448951.020447356,128,67,310854.136824655,0.52,"Birds_atlas_Japan"
"1040","Eophona personata",2,4,450221.445308138,128,86,391698.951102054,0.67,"Birds_atlas_Japan"
"1041","Columba livia",1,4,448951.020447356,128,59,278718.583155382,0.46,"Birds_atlas_Japan"
"1042","Tachybaptus ruficollis",1,4,448951.020447356,128,58,269283.199040742,0.45,"Birds_atlas_Japan"
"1043","Chloris sinica",1,4,448951.020447356,128,108,428964.986975976,0.84,"Birds_atlas_Japan"
"1044","Phalacrocorax carbo",2,4,450221.445308138,128,71,318911.931283274,0.55,"Birds_atlas_Japan"
"1045","Poecile montanus",1,4,448951.020447356,128,65,316214.074782485,0.51,"Birds_atlas_Japan"
"1046","Hirundo rustica",2,4,450221.445308138,128,92,373310.899360808,0.72,"Birds_atlas_Japan"
"1047","Poecile varius",1,4,448951.020447356,128,102,401290.18715145,0.8,"Birds_atlas_Japan"
"1048","Pandion haliaetus",1,4,448951.020447356,128,58,210086.924403476,0.45,"Birds_atlas_Japan"
"1049","Bambusicola thoracicus",1,4,448951.020447356,128,58,251652.138729721,0.45,"Birds_atlas_Japan"
"1050","Cettia diphone",1,4,448951.020447356,128,121,442570.735158094,0.95,"Birds_atlas_Japan"
"1051","Corvus corone",2,4,450221.445308138,128,107,429821.358054654,0.84,"Birds_atlas_Japan"
"1052","Terpsiphone atrocaudata",2,4,450221.445308138,128,81,331684.182523906,0.63,"Birds_atlas_Japan"
"1053","Columba livia",2,4,450221.445308138,128,58,261276.585750423,0.45,"Birds_atlas_Japan"
"1054","Ninox scutulata",1,4,448951.020447356,128,19,72071.3012642415,0.15,"Birds_atlas_Japan"
"1055","Aegithalos caudatus",2,4,450221.445308138,128,91,400911.003617251,0.71,"Birds_atlas_Japan"
"1056","Cettia diphone",2,4,450221.445308138,128,123,445586.681426354,0.96,"Birds_atlas_Japan"
"1057","Emberiza cioides",2,4,450221.445308138,128,110,426624.292746556,0.86,"Birds_atlas_Japan"
"1058","Bambusicola thoracicus",2,4,450221.445308138,128,60,271090.057213016,0.47,"Birds_atlas_Japan"
"1059","Garrulus glandarius",2,4,450221.445308138,128,90,392390.615331559,0.7,"Birds_atlas_Japan"
"1060","Motacilla grandis",2,4,450221.445308138,128,70,333840.426006724,0.55,"Birds_atlas_Japan"
"1061","Hirundo rustica",1,4,448951.020447356,128,92,374186.904608439,0.72,"Birds_atlas_Japan"
"1062","Luscinia akahige",2,4,450221.445308138,128,45,199329.434041052,0.35,"Birds_atlas_Japan"
"1063","Syrmaticus soemmerringii",2,4,450221.445308138,128,52,265157.781593789,0.41,"Birds_atlas_Japan"
"1064","Accipiter gentilis",2,4,450221.445308138,128,36,172603.520607107,0.28,"Birds_atlas_Japan"
"1065","Tarsiger cyanurus",1,4,448951.020447356,128,29,149419.617434814,0.23,"Birds_atlas_Japan"
"1066","Strix uralensis",1,4,448951.020447356,128,25,132488.130965283,0.2,"Birds_atlas_Japan"
"1067","Certhia familiaris",2,4,450221.445308138,128,34,169056.450643534,0.27,"Birds_atlas_Japan"
"1068","Emberiza variabilis",2,4,450221.445308138,128,44,221955.113236539,0.34,"Birds_atlas_Japan"
"1069","Emberiza fucata",2,4,450221.445308138,128,40,175833.768995762,0.31,"Birds_atlas_Japan"
"1070","Anthus hodgsoni",2,4,450221.445308138,128,39,179114.791156941,0.3,"Birds_atlas_Japan"
"1071","Nucifraga caryocatactes",1,4,448951.020447356,128,16,83859.9146894506,0.12,"Birds_atlas_Japan"
"1072","Emberiza fucata",1,4,448951.020447356,128,47,215605.714929583,0.37,"Birds_atlas_Japan"
"1073","Butastur indicus",2,4,450221.445308138,128,48,244451.120058697,0.38,"Birds_atlas_Japan"
"1074","Phylloscopus xanthodryas",2,4,450221.445308138,128,35,189395.614630026,0.27,"Birds_atlas_Japan"
"1075","Pernis ptilorhynchus",2,4,450221.445308138,128,24,128249.503965362,0.19,"Birds_atlas_Japan"
"1076","Strix uralensis",2,4,450221.445308138,128,37,196628.085420394,0.29,"Birds_atlas_Japan"
"1077","Phylloscopus borealoides",1,4,448951.020447356,128,46,216568.739487015,0.36,"Birds_atlas_Japan"
"1078","Hirundo daurica",1,4,448951.020447356,128,39,174632.220275731,0.3,"Birds_atlas_Japan"
"1079","Prunella rubida",1,4,448951.020447356,128,16,91425.9007744635,0.12,"Birds_atlas_Japan"
"1080","Zoothera dauma",2,4,450221.445308138,128,81,367087.163999555,0.63,"Birds_atlas_Japan"
"1081","Tarsiger cyanurus",2,4,450221.445308138,128,30,154646.002588061,0.23,"Birds_atlas_Japan"
"1082","Turdus pallidus",2,4,450221.445308138,128,8,30806.0140157386,0.06,"Birds_atlas_Japan"
"1083","Turdus chrysolaus",2,4,450221.445308138,128,52,229289.286727697,0.41,"Birds_atlas_Japan"
"1084","Nisaetus nipalensis",1,4,448951.020447356,128,26,127403.663233936,0.2,"Birds_atlas_Japan"
"1085","Anthus hodgsoni",1,4,448951.020447356,128,47,228758.398941941,0.37,"Birds_atlas_Japan"
"1086","Vanellus cinereus",2,4,450221.445308138,128,16,86710.5591151565,0.12,"Birds_atlas_Japan"
"1087","Gallinula chloropus",2,4,450221.445308138,128,31,150251.469761796,0.24,"Birds_atlas_Japan"
"1088","Riparia riparia",1,4,448951.020447356,128,23,84110.4837546546,0.18,"Birds_atlas_Japan"
"1089","Eophona personata",1,4,448951.020447356,128,83,384896.233972701,0.65,"Birds_atlas_Japan"
"1090","Dendrocopos major",1,4,448951.020447356,128,71,325120.075517769,0.55,"Birds_atlas_Japan"
"1091","Alcedo atthis",2,4,450221.445308138,128,79,360948.919679718,0.62,"Birds_atlas_Japan"
"1092","Caprimulgus indicus",2,4,450221.445308138,128,22,125746.733164793,0.17,"Birds_atlas_Japan"
"1093","Melopsittacus undulatus",1,4,448951.020447356,128,1,6355.32473167265,0.01,"Birds_atlas_Japan"
"1094","Accipiter nisus",2,4,450221.445308138,128,16,85736.5860369192,0.12,"Birds_atlas_Japan"
"1095","Hirundo daurica",2,4,450221.445308138,128,24,124866.94168711,0.19,"Birds_atlas_Japan"
"1096","Dendrocopos major",2,4,450221.445308138,128,76,330461.685694385,0.59,"Birds_atlas_Japan"
"1097","Turdus pallidus",1,4,448951.020447356,128,12,56266.0369420352,0.09,"Birds_atlas_Japan"
"1098","Eurystomus orientalis",2,4,450221.445308138,128,5,32126.3651590721,0.04,"Birds_atlas_Japan"
"1099","Muscicapa dauurica",1,4,448951.020447356,128,55,259494.63361654,0.43,"Birds_atlas_Japan"
"1100","Gallinula chloropus",1,4,448951.020447356,128,47,213122.673864087,0.37,"Birds_atlas_Japan"
"1101","Anas platyrhynchos",2,4,450221.445308138,128,42,174140.114564791,0.33,"Birds_atlas_Japan"
"1102","Nisaetus nipalensis",2,4,450221.445308138,128,19,106625.319299238,0.15,"Birds_atlas_Japan"
"1103","Motacilla alba",1,4,448951.020447356,128,80,320863.941971663,0.62,"Birds_atlas_Japan"
"1104","Anas platyrhynchos",1,4,448951.020447356,128,49,233720.880179872,0.38,"Birds_atlas_Japan"
"1105","Pernis ptilorhynchus",1,4,448951.020447356,128,33,170342.055571378,0.26,"Birds_atlas_Japan"
"1106","Zoothera sibirica",2,4,450221.445308138,128,26,137844.998064955,0.2,"Birds_atlas_Japan"
"1107","Apus pacificus",1,4,448951.020447356,128,68,282463.520492208,0.53,"Birds_atlas_Japan"
"1108","Cuculus micropterus",2,4,450221.445308138,128,7,36268.0499634891,0.05,"Birds_atlas_Japan"
"1109","Ninox scutulata",2,4,450221.445308138,128,22,98097.7590400078,0.17,"Birds_atlas_Japan"
"1110","Agropsar philippensis",2,4,450221.445308138,128,41,159385.135770045,0.32,"Birds_atlas_Japan"
"1111","Lanius tigrinus",2,4,450221.445308138,128,2,4055.14280815674,0.02,"Birds_atlas_Japan"
"1112","Bubulcus ibis",2,4,450221.445308138,128,29,104787.718054011,0.23,"Birds_atlas_Japan"
"1113","Columba janthina",2,4,450221.445308138,128,15,21419.4027630286,0.12,"Birds_atlas_Japan"
"1114","Columba janthina",1,4,448951.020447356,128,15,24403.6137210683,0.12,"Birds_atlas_Japan"
"1115","Falco tinnunculus",1,4,448951.020447356,128,13,65784.3828239054,0.1,"Birds_atlas_Japan"
"1116","Porzana fusca",2,4,450221.445308138,128,20,81799.6499184536,0.16,"Birds_atlas_Japan"
"1117","Emberiza sulphurata",2,4,450221.445308138,128,24,120188.008101706,0.19,"Birds_atlas_Japan"
"1118","Aix galericulata",2,4,450221.445308138,128,38,188954.756882531,0.3,"Birds_atlas_Japan"
"1119","Apus nipalensis",2,4,450221.445308138,128,8,28363.7347276287,0.06,"Birds_atlas_Japan"
"1120","Vanellus vanellus",1,4,448951.020447356,128,2,8804.43565746725,0.02,"Birds_atlas_Japan"
"1121","Acrocephalus bistrigiceps",1,4,448951.020447356,128,43,172554.136297575,0.34,"Birds_atlas_Japan"
"1122","Emberiza variabilis",1,4,448951.020447356,128,39,197447.722819568,0.3,"Birds_atlas_Japan"
"1123","Fulica atra",2,4,450221.445308138,128,21,103339.347784442,0.16,"Birds_atlas_Japan"
"1124","Locustella pleskei",1,4,448951.020447356,128,3,8124.45206088971,0.02,"Birds_atlas_Japan"
"1125","Falco peregrinus",1,4,448951.020447356,128,22,91771.9790439641,0.17,"Birds_atlas_Japan"
"1126","Phalacrocorax carbo",1,4,448951.020447356,128,22,112030.337121517,0.17,"Birds_atlas_Japan"
"1127","Certhia familiaris",1,4,448951.020447356,128,22,116412.799773025,0.17,"Birds_atlas_Japan"
"1128","Phylloscopus borealoides",2,4,450221.445308138,128,51,231238.689994725,0.4,"Birds_atlas_Japan"
"1129","Emberiza spodocephala",1,4,448951.020447356,128,71,298891.96661019,0.55,"Birds_atlas_Japan"
"1130","Anas falcata",1,4,448951.020447356,128,6,26707.1205946043,0.05,"Birds_atlas_Japan"
"1131","Vanellus cinereus",1,4,448951.020447356,128,16,84530.6776781363,0.12,"Birds_atlas_Japan"
"1132","Acridotheres cristatellus",2,4,450221.445308138,128,3,16048.4737469149,0.02,"Birds_atlas_Japan"
"1133","Podiceps cristatus",2,4,450221.445308138,128,11,52232.6597244969,0.09,"Birds_atlas_Japan"
"1134","Larus crassirostris",1,4,448951.020447356,128,57,196303.645745328,0.45,"Birds_atlas_Japan"
"1135","Phalacrocorax capillatus",1,4,448951.020447356,128,22,72881.2319163943,0.17,"Birds_atlas_Japan"
"1136","Zoothera sibirica",1,4,448951.020447356,128,31,171892.235353419,0.24,"Birds_atlas_Japan"
"1137","Larus crassirostris",2,4,450221.445308138,128,51,193204.318987075,0.4,"Birds_atlas_Japan"
"1138","Ciconia boyciana",2,4,450221.445308138,128,2,11812.6990101093,0.02,"Birds_atlas_Japan"
"1139","Hirundapus caudacutus",1,4,448951.020447356,128,26,129357.627256903,0.2,"Birds_atlas_Japan"
"1140","Accipiter gularis",1,4,448951.020447356,128,18,76384.9635561029,0.14,"Birds_atlas_Japan"
"1141","Aix galericulata",1,4,448951.020447356,128,31,160811.601098187,0.24,"Birds_atlas_Japan"
"1142","Egretta sacra",2,4,450221.445308138,128,9,23631.9389940036,0.07,"Birds_atlas_Japan"
"1143","Cygnus olor",1,4,448951.020447356,128,3,17584.8485644879,0.02,"Birds_atlas_Japan"
"1144","Regulus regulus",2,4,450221.445308138,128,41,199849.307251672,0.32,"Birds_atlas_Japan"
"1145","Leiothrix lutea",1,4,448951.020447356,128,16,87127.4978190123,0.12,"Birds_atlas_Japan"
"1146","Prunella rubida",2,4,450221.445308138,128,12,70355.1842824398,0.09,"Birds_atlas_Japan"
"1147","Emberiza spodocephala",2,4,450221.445308138,128,58,245036.779172328,0.45,"Birds_atlas_Japan"
"1148","Caprimulgus indicus",1,4,448951.020447356,128,15,80879.3294400606,0.12,"Birds_atlas_Japan"
"1149","Turdus chrysolaus",1,4,448951.020447356,128,55,244216.023548585,0.43,"Birds_atlas_Japan"
"1150","Aythya ferina",1,4,448951.020447356,128,11,50419.8301879492,0.09,"Birds_atlas_Japan"
"1151","Falco tinnunculus",2,4,450221.445308138,128,14,78246.5298756523,0.11,"Birds_atlas_Japan"
"1152","Locustella ochotensis",2,4,450221.445308138,128,14,52085.0814917485,0.11,"Birds_atlas_Japan"
"1153","Coccothraustes coccothraustes",1,4,448951.020447356,128,33,138112.382068894,0.26,"Birds_atlas_Japan"
"1154","Fulica atra",1,4,448951.020447356,128,12,57468.6659467952,0.09,"Birds_atlas_Japan"
"1155","Garrulax canorus",2,4,450221.445308138,128,26,131663.186679044,0.2,"Birds_atlas_Japan"
"1156","Muscicapa sibirica",1,4,448951.020447356,128,9,47384.1180380811,0.07,"Birds_atlas_Japan"
"1157","Aythya fuligula",1,4,448951.020447356,128,13,63902.1255976538,0.1,"Birds_atlas_Japan"
"1158","Anas clypeata",1,4,448951.020447356,128,5,21372.4555227002,0.04,"Birds_atlas_Japan"
"1159","Charadrius alexandrinus",1,4,448951.020447356,128,17,75170.9840965923,0.13,"Birds_atlas_Japan"
"1160","Coccothraustes coccothraustes",2,4,450221.445308138,128,31,125617.792430414,0.24,"Birds_atlas_Japan"
"1161","Acrocephalus bistrigiceps",2,4,450221.445308138,128,28,108922.891825044,0.22,"Birds_atlas_Japan"
"1162","Locustella fasciolata",2,4,450221.445308138,128,29,109984.301444133,0.23,"Birds_atlas_Japan"
"1163","Aythya ferina",2,4,450221.445308138,128,5,26026.6519105857,0.04,"Birds_atlas_Japan"
"1164","Ardeola bacchus",2,4,450221.445308138,128,5,9908.49133314319,0.04,"Birds_atlas_Japan"
"1165","Accipiter gularis",2,4,450221.445308138,128,13,56038.3258548353,0.1,"Birds_atlas_Japan"
"1166","Gorsachius goisagi",1,4,448951.020447356,128,4,22169.7428413117,0.03,"Birds_atlas_Japan"
"1167","Loxia curvirostra",1,4,448951.020447356,128,10,37193.9388595157,0.08,"Birds_atlas_Japan"
"1168","Locustella fasciolata",1,4,448951.020447356,128,26,96765.3753231545,0.2,"Birds_atlas_Japan"
"1169","Pyrrhula pyrrhula",1,4,448951.020447356,128,34,171604.578117329,0.27,"Birds_atlas_Japan"
"1170","Pyrrhula pyrrhula",2,4,450221.445308138,128,30,141780.308560195,0.23,"Birds_atlas_Japan"
"1171","Buteo buteo",1,4,448951.020447356,128,47,220417.575610216,0.37,"Birds_atlas_Japan"
"1172","Anas crecca",2,4,450221.445308138,128,12,55936.6802272553,0.09,"Birds_atlas_Japan"
"1173","Anas crecca",1,4,448951.020447356,128,13,69522.0158894182,0.1,"Birds_atlas_Japan"
"1174","Anas clypeata",2,4,450221.445308138,128,3,17065.9541604212,0.02,"Birds_atlas_Japan"
"1175","Aythya fuligula",2,4,450221.445308138,128,9,38686.7437004973,0.07,"Birds_atlas_Japan"
"1176","Circus spilonotus",1,4,448951.020447356,128,9,30848.2996959337,0.07,"Birds_atlas_Japan"
"1177","Podiceps cristatus",1,4,448951.020447356,128,6,27845.8026047399,0.05,"Birds_atlas_Japan"
"1178","Anas falcata",2,4,450221.445308138,128,8,39992.5951172673,0.06,"Birds_atlas_Japan"
"1179","Anas strepera",2,4,450221.445308138,128,3,15075.3740667043,0.02,"Birds_atlas_Japan"
"1180","Botaurus stellaris",1,4,448951.020447356,128,2,11726.7518156446,0.02,"Birds_atlas_Japan"
"1181","Buteo buteo",2,4,450221.445308138,128,47,217094.871615685,0.37,"Birds_atlas_Japan"
"1182","Emberiza sulphurata",1,4,448951.020447356,128,23,116644.135575913,0.18,"Birds_atlas_Japan"
"1183","Gorsachius goisagi",2,4,450221.445308138,128,6,34148.5695912614,0.05,"Birds_atlas_Japan"
"1184","Regulus regulus",1,4,448951.020447356,128,32,163039.655301471,0.25,"Birds_atlas_Japan"
"1185","Nucifraga caryocatactes",2,4,450221.445308138,128,14,81193.3001028785,0.11,"Birds_atlas_Japan"
"1186","Phoenicurus auroreus",1,4,448951.020447356,128,1,6253.18295350053,0.01,"Birds_atlas_Japan"
"1187","Accipiter nisus",1,4,448951.020447356,128,31,151311.938251221,0.24,"Birds_atlas_Japan"
"1188","Cyanopica cyanus",2,4,450221.445308138,128,20,97869.4779259737,0.16,"Birds_atlas_Japan"
"1189","Passer rutilans",1,4,448951.020447356,128,34,150414.503440475,0.27,"Birds_atlas_Japan"
"1190","Passer rutilans",2,4,450221.445308138,128,32,127177.70321932,0.25,"Birds_atlas_Japan"
"1191","Rostratula benghalensis",1,4,448951.020447356,128,1,3807.50433040932,0.01,"Birds_atlas_Japan"
"1192","Calonectris leucomelas",1,4,448951.020447356,128,4,18078.7808140382,0.03,"Birds_atlas_Japan"
"1193","Himantopus himantopus",1,4,448951.020447356,128,2,7156.12658146899,0.02,"Birds_atlas_Japan"
"1194","Mergus merganser",1,4,448951.020447356,128,12,58165.9816563726,0.09,"Birds_atlas_Japan"
"1195","Eurystomus orientalis",1,4,448951.020447356,128,9,47433.8907744898,0.07,"Birds_atlas_Japan"
"1196","Loxia curvirostra",2,4,450221.445308138,128,7,29922.0807688744,0.05,"Birds_atlas_Japan"
"1197","Phoenicurus auroreus",2,4,450221.445308138,128,4,24898.6687137612,0.03,"Birds_atlas_Japan"
"1198","Prunella collaris",2,4,450221.445308138,128,5,32766.6567888062,0.04,"Birds_atlas_Japan"
"1199","Agropsar philippensis",1,4,448951.020447356,128,38,170106.721424627,0.3,"Birds_atlas_Japan"
"1200","Lagopus muta",1,4,448951.020447356,128,2,12871.3294706679,0.02,"Birds_atlas_Japan"
"1201","Cyanopica cyanus",1,4,448951.020447356,128,21,106534.939216057,0.16,"Birds_atlas_Japan"
"1202","Prunella collaris",1,4,448951.020447356,128,5,32192.5404498311,0.04,"Birds_atlas_Japan"
"1203","Lagopus muta",2,4,450221.445308138,128,2,12871.3294706679,0.02,"Birds_atlas_Japan"
"1204","Muscicapa sibirica",2,4,450221.445308138,128,5,28205.3294277077,0.04,"Birds_atlas_Japan"
"1205","Larus schistisagus",2,4,450221.445308138,128,32,94382.5946727378,0.25,"Birds_atlas_Japan"
"1206","Sterna hirundo",1,4,448951.020447356,128,3,14479.709244099,0.02,"Birds_atlas_Japan"
"1207","Rostratula benghalensis",2,4,450221.445308138,128,1,6201.72603063411,0.01,"Birds_atlas_Japan"
"1208","Lanius tigrinus",1,4,448951.020447356,128,4,25303.7035397612,0.03,"Birds_atlas_Japan"
"1209","Phalacrocorax capillatus",2,4,450221.445308138,128,24,83191.1394081169,0.19,"Birds_atlas_Japan"
"1210","Gallinago hardwickii",1,4,448951.020447356,128,31,115961.429671923,0.24,"Birds_atlas_Japan"
"1211","Saxicola torquatus",2,4,450221.445308138,128,29,111308.963117721,0.23,"Birds_atlas_Japan"
"1212","Saxicola torquatus",1,4,448951.020447356,128,31,117107.57474024,0.24,"Birds_atlas_Japan"
"1213","Hirundapus caudacutus",2,4,450221.445308138,128,15,75565.9068482178,0.12,"Birds_atlas_Japan"
"1214","Garrulax sannio",2,4,450221.445308138,128,3,19897.1347655183,0.02,"Birds_atlas_Japan"
"1215","Otus sunia",1,4,448951.020447356,128,8,45561.6519861678,0.06,"Birds_atlas_Japan"
"1216","Locustella ochotensis",1,4,448951.020447356,128,13,47477.3918094294,0.1,"Birds_atlas_Japan"
"1217","Nipponia nippon",2,4,450221.445308138,128,1,3253.30656723116,0.01,"Birds_atlas_Japan"
"1218","Charadrius alexandrinus",2,4,450221.445308138,128,8,33457.7177872783,0.06,"Birds_atlas_Japan"
"1219","Phylloscopus ijimae",1,4,448951.020447356,128,4,2999.29997568175,0.03,"Birds_atlas_Japan"
"1220","Turdus celaenops",2,4,450221.445308138,128,3,1305.49767266022,0.02,"Birds_atlas_Japan"
"1221","Phylloscopus ijimae",2,4,450221.445308138,128,3,1305.49767266022,0.02,"Birds_atlas_Japan"
"1222","Turdus celaenops",1,4,448951.020447356,128,4,2999.29997568175,0.03,"Birds_atlas_Japan"
"1223","Locustella pleskei",2,4,450221.445308138,128,1,426.570001920135,0.01,"Birds_atlas_Japan"
"1224","Phalacrocorax pelagicus",2,4,450221.445308138,128,4,14795.3720285311,0.03,"Birds_atlas_Japan"
"1225","Calonectris leucomelas",2,4,450221.445308138,128,3,11730.840210161,0.02,"Birds_atlas_Japan"
"1226","Psittacula krameri",2,4,450221.445308138,128,2,12131.173013228,0.02,"Birds_atlas_Japan"
"1227","Garrulax canorus",1,4,448951.020447356,128,6,36847.9226626838,0.05,"Birds_atlas_Japan"
"1228","Cygnus olor",2,4,450221.445308138,128,6,27194.5859042152,0.05,"Birds_atlas_Japan"
"1229","Ixobrychus sinensis",1,4,448951.020447356,128,5,19734.7424074756,0.04,"Birds_atlas_Japan"
"1230","Streptopelia decaocto",1,4,448951.020447356,128,1,6669.60344003375,0.01,"Birds_atlas_Japan"
"1231","Carduelis spinus",1,4,448951.020447356,128,17,77766.3999156174,0.13,"Birds_atlas_Japan"
"1232","Lanius cristatus",2,4,450221.445308138,128,3,10935.2597210172,0.02,"Birds_atlas_Japan"
"1233","Otus lempiji",2,4,450221.445308138,128,1,6557.01241977673,0.01,"Birds_atlas_Japan"
"1234","Asio otus",2,4,450221.445308138,128,1,4878.14425667755,0.01,"Birds_atlas_Japan"
"1235","Scolopax rusticola",2,4,450221.445308138,128,10,42643.6435772612,0.08,"Birds_atlas_Japan"
"1236","Jynx torquilla",2,4,450221.445308138,128,23,91328.0733556419,0.18,"Birds_atlas_Japan"
"1237","Asio otus",1,4,448951.020447356,128,2,7224.38443108638,0.02,"Birds_atlas_Japan"
"1238","Emberiza schoeniclus",1,4,448951.020447356,128,16,50714.0247988349,0.12,"Birds_atlas_Japan"
"1239","Circus spilonotus",2,4,450221.445308138,128,8,32419.7955553469,0.06,"Birds_atlas_Japan"
"1240","Emberiza yessoensis",1,4,448951.020447356,128,5,19070.3422325043,0.04,"Birds_atlas_Japan"
"1241","Gallinago hardwickii",2,4,450221.445308138,128,25,85421.4904882956,0.2,"Birds_atlas_Japan"
"1242","Larus schistisagus",1,4,448951.020447356,128,26,90014.1223274377,0.2,"Birds_atlas_Japan"
"1243","Poecile palustris",1,4,448951.020447356,128,26,87573.0703068188,0.2,"Birds_atlas_Japan"
"1244","Dryocopus martius",1,4,448951.020447356,128,19,75966.6038482092,0.15,"Birds_atlas_Japan"
"1245","Ixobrychus sinensis",2,4,450221.445308138,128,3,17371.658912957,0.02,"Birds_atlas_Japan"
"1246","Locustella pryeri",1,4,448951.020447356,128,4,17885.607125185,0.03,"Birds_atlas_Japan"
"1247","Emberiza yessoensis",2,4,450221.445308138,128,2,10872.3081551714,0.02,"Birds_atlas_Japan"
"1248","Himantopus himantopus",2,4,450221.445308138,128,5,15918.5737343582,0.04,"Birds_atlas_Japan"
"1249","Locustella pryeri",2,4,450221.445308138,128,4,17885.607125185,0.03,"Birds_atlas_Japan"
"1250","Falco subbuteo",2,4,450221.445308138,128,7,35941.3485056542,0.05,"Birds_atlas_Japan"
"1251","Luscinia calliope",2,4,450221.445308138,128,18,67432.2584015328,0.14,"Birds_atlas_Japan"
"1252","Otus sunia",2,4,450221.445308138,128,1,6381.38799642053,0.01,"Birds_atlas_Japan"
"1253","Histrionicus histrionicus",1,4,448951.020447356,128,2,11182.4293389104,0.02,"Birds_atlas_Japan"
"1254","Emberiza schoeniclus",2,4,450221.445308138,128,13,45537.0151069863,0.1,"Birds_atlas_Japan"
"1255","Picus canus",1,4,448951.020447356,128,16,71832.2506244227,0.12,"Birds_atlas_Japan"
"1256","Dryocopus martius",2,4,450221.445308138,128,21,79615.7657631094,0.16,"Birds_atlas_Japan"
"1257","Tetrastes bonasia",1,4,448951.020447356,128,13,57501.4260622286,0.1,"Birds_atlas_Japan"
"1258","Riparia riparia",2,4,450221.445308138,128,11,35675.2565988505,0.09,"Birds_atlas_Japan"
"1259","Luscinia calliope",1,4,448951.020447356,128,22,83764.9526148433,0.17,"Birds_atlas_Japan"
"1260","Tetrastes bonasia",2,4,450221.445308138,128,15,65795.5113442401,0.12,"Birds_atlas_Japan"
"1261","Uragus sibiricus",2,4,450221.445308138,128,22,82484.0759831634,0.17,"Birds_atlas_Japan"
"1262","Picus canus",2,4,450221.445308138,128,21,81488.1427292337,0.16,"Birds_atlas_Japan"
"1263","Jynx torquilla",1,4,448951.020447356,128,9,39970.6911751102,0.07,"Birds_atlas_Japan"
"1264","Carduelis spinus",2,4,450221.445308138,128,10,39362.5459048566,0.08,"Birds_atlas_Japan"
"1265","Falco subbuteo",1,4,448951.020447356,128,9,35981.3695014996,0.07,"Birds_atlas_Japan"
"1266","Poecile palustris",2,4,450221.445308138,128,24,85162.6818308576,0.19,"Birds_atlas_Japan"
"1267","Uragus sibiricus",1,4,448951.020447356,128,22,82484.0759831634,0.17,"Birds_atlas_Japan"
"1268","Rallus aquaticus",1,4,448951.020447356,128,3,12790.007958624,0.02,"Birds_atlas_Japan"
"1269","Cerorhinca monocerata",1,4,448951.020447356,128,3,9361.31687344472,0.02,"Birds_atlas_Japan"
"1270","Synthliboramphus antiquus",2,4,450221.445308138,128,1,812.412923540161,0.01,"Birds_atlas_Japan"
"1271","Rallus aquaticus",2,4,450221.445308138,128,4,19260.7589450957,0.03,"Birds_atlas_Japan"
"1272","Histrionicus histrionicus",2,4,450221.445308138,128,3,8999.67789580574,0.02,"Birds_atlas_Japan"
"1273","Eophona migratoria",2,4,450221.445308138,128,1,4929.36096240518,0.01,"Birds_atlas_Japan"
"1274","Scolopax rusticola",1,4,448951.020447356,128,9,39318.7693176438,0.07,"Birds_atlas_Japan"
"1275","Locustella lanceolata",2,4,450221.445308138,128,8,37555.7259049588,0.06,"Birds_atlas_Japan"
"1276","Locustella lanceolata",1,4,448951.020447356,128,8,37906.7762429005,0.06,"Birds_atlas_Japan"
"1277","Haliaeetus albicilla",2,4,450221.445308138,128,15,51482.4709882139,0.12,"Birds_atlas_Japan"
"1278","Emberiza aureola",1,4,448951.020447356,128,3,10469.4264047665,0.02,"Birds_atlas_Japan"
"1279","Dendrocopos minor",1,4,448951.020447356,128,6,28200.5022148045,0.05,"Birds_atlas_Japan"
"1280","Pinicola enucleator",1,4,448951.020447356,128,3,11191.1323539409,0.02,"Birds_atlas_Japan"
"1281","Haliaeetus albicilla",1,4,448951.020447356,128,9,30247.501888336,0.07,"Birds_atlas_Japan"
