"","verbatim_name","tp","cell_grouping","Total_area","Total_Ncells","occupancy_Ncells","AOO","relative_occupancy_Ncells","scale"
"863","Aythya ferina",2,"2",83907.5085275841,176,142,71397.8230777255,0.81,0.03125
"864","Aegolius funereus",1,"2",83907.5085275841,176,79,38184.8061165275,0.45,0.03125
"865","Bubo bubo",1,"2",83907.5085275841,176,151,74671.6346542064,0.86,0.03125
"866","Gallinago gallinago",2,"2",83907.5085275841,176,124,59880.6320336367,0.7,0.03125
"867","Parus caeruleus",1,"2",83907.5085275841,176,175,83773.6403648837,0.99,0.03125
"868","Turdus philomelos",2,"2",83907.5085275841,176,176,83907.5085275841,1,0.03125
"869","Motacilla cinerea",1,"2",83907.5085275841,176,170,82009.2752934825,0.97,0.03125
"870","Sylvia curruca",2,"2",83907.5085275841,176,175,83770.9422789278,0.99,0.03125
"871","Strix aluco",3,"2",89635.9803373288,185,178,88311.5270019109,0.96,0.03125
"872","Asio otus",1,"2",83907.5085275841,176,165,81243.2590884186,0.94,0.03125
"873","Asio otus",3,"2",89635.9803373288,185,159,81271.2173490395,0.86,0.03125
"874","Turdus pilaris",1,"2",83907.5085275841,176,173,83367.4635032261,0.98,0.03125
"875","Picus viridis",2,"2",83907.5085275841,176,169,82709.9412362593,0.96,0.03125
"876","Picoides tridactylus",3,"2",89635.9803373288,185,32,15721.6047137268,0.17,0.03125
"877","Ardea cinerea",2,"2",83907.5085275841,176,155,77404.9790662997,0.88,0.03125
"878","Anthus pratensis",2,"2",83907.5085275841,176,143,69965.1667603266,0.81,0.03125
"879","Carduelis flammea",1,"2",83907.5085275841,176,107,52293.9389090641,0.61,0.03125
"880","Phylloscopus collybita",1,"2",83907.5085275841,176,176,83907.5085275841,1,0.03125
"881","Anas clypeata",1,"2",83907.5085275841,176,82,41162.0826964538,0.47,0.03125
"882","Falco tinnunculus",2,"2",83907.5085275841,176,175,83770.9422789278,0.99,0.03125
"883","Remiz pendulinus",1,"2",83907.5085275841,176,132,65896.3136215681,0.75,0.03125
"884","Erithacus rubecula",1,"2",83907.5085275841,176,176,83907.5085275841,1,0.03125
"885","Prunella modularis",2,"2",83907.5085275841,176,176,83907.5085275841,1,0.03125
"886","Emberiza schoeniclus",2,"2",83907.5085275841,176,158,78845.2833089469,0.9,0.03125
"887","Falco tinnunculus",1,"2",83907.5085275841,176,173,83505.6701600809,0.98,0.03125
"888","Buteo buteo",2,"2",83907.5085275841,176,175,83770.9422789278,0.99,0.03125
"889","Cinclus cinclus",1,"2",83907.5085275841,176,145,70678.7047796329,0.82,0.03125
"890","Certhia brachydactyla",2,"2",83907.5085275841,176,155,77225.9192138328,0.88,0.03125
"891","Sylvia borin",1,"2",83907.5085275841,176,175,83362.8515310333,0.99,0.03125
"892","Ciconia nigra",2,"2",83907.5085275841,176,171,81912.685421401,0.97,0.03125
"893","Pica pica",1,"2",83907.5085275841,176,172,83248.5782332709,0.98,0.03125
"894","Ficedula hypoleuca",3,"2",89635.9803373288,185,131,66955.3263582158,0.71,0.03125
"895","Carduelis spinus",1,"2",83907.5085275841,176,165,79864.8287610425,0.94,0.03125
"896","Lullula arborea",2,"2",83907.5085275841,176,110,55591.0363641424,0.62,0.03125
"897","Bubo bubo",3,"2",89635.9803373288,185,149,76333.6995571439,0.81,0.03125
"898","Parus cristatus",1,"2",83907.5085275841,176,170,82416.3035614477,0.97,0.03125
"899","Saxicola rubetra",2,"2",83907.5085275841,176,174,83244.7481876902,0.99,0.03125
"900","Picus canus",1,"2",83907.5085275841,176,162,80075.5968472745,0.92,0.03125
"901","Lullula arborea",3,"2",89635.9803373288,185,119,62050.0051978979,0.64,0.03125
"902","Columba oenas",3,"2",89635.9803373288,185,175,87252.3634740597,0.95,0.03125
"903","Parus caeruleus",2,"2",83907.5085275841,176,176,83907.5085275841,1,0.03125
"904","Podiceps cristatus",2,"2",83907.5085275841,176,138,70186.437457828,0.78,0.03125
"905","Certhia familiaris",3,"2",89635.9803373288,185,178,88182.5908305371,0.96,0.03125
"906","Haliaeetus albicilla",3,"2",89635.9803373288,185,114,58445.4650686372,0.62,0.03125
"907","Anthus trivialis",2,"2",83907.5085275841,176,176,83907.5085275841,1,0.03125
"908","Hippolais icterina",1,"2",83907.5085275841,176,172,83243.662144533,0.98,0.03125
"909","Strix aluco",1,"2",83907.5085275841,176,171,82834.2223409813,0.97,0.03125
"910","Aythya fuligula",1,"2",83907.5085275841,176,153,76830.7647143518,0.87,0.03125
"911","Turdus merula",2,"2",83907.5085275841,176,176,83907.5085275841,1,0.03125
"912","Milvus migrans",3,"2",89635.9803373288,185,99,51669.1808137201,0.54,0.03125
